target_index,length_mm,theta_target_deg,theta_target_rad,image_file,base_px_x,base_px_y,tip_px_x,tip_px_y,depth_scale,target_px_x,target_px_y,target_mm_x,target_mm_y
0,40.95597839355469,19.624328010918617,0.3425091372818796,focused_image.jpg,324.16774193548383,196.18064516129033,316.93333333333334,38.36111111111111,1.5,272.7467532467533,51.96753246753235,45.72287368774414,113.15652465820312
1,39.18110275268555,-9.411352946330254,-0.16425909598073213,focused_image.jpg,324.16774193548383,196.18064516129033,316.93333333333334,38.36111111111111,1.5,348.07142857142867,51.96753246753235,25.642770767211914,112.96818542480469
2,42.57596969604492,-25.88789951107134,-0.4518290828936251,focused_image.jpg,324.16774193548383,196.18064516129033,316.93333333333334,38.36111111111111,1.5,393.52597402597405,53.266233766233654,13.550837516784668,112.5172348022461
3,33.08282470703125,-33.03770111900309,-0.5766166618164188,focused_image.jpg,324.16774193548383,196.18064516129033,316.93333333333334,38.36111111111111,1.5,390.92857142857156,93.52597402597394,14.231359481811523,101.97126770019531
4,29.015762329101562,-11.443794129519262,-0.19973188648050952,focused_image.jpg,324.16774193548383,196.18064516129033,316.93333333333334,38.36111111111111,1.5,345.47402597402606,90.92857142857133,26.420156478881836,102.7633056640625
5,31.098167419433594,27.18337748179215,0.4744394388697579,focused_image.jpg,324.16774193548383,196.18064516129033,316.93333333333334,38.36111111111111,1.5,271.448051948052,93.52597402597394,46.32805633544922,102.24905395507812
