target_index,length_mm,theta_target_deg,theta_target_rad,image_file,center_px_x,center_px_y,side_px,points_per_edge,base_px_x,base_px_y,tip_px_x,tip_px_y,depth_scale,target_px_x,target_px_y,target_mm_x,target_mm_y
0,40.04861831665039,22.589716597351696,0.39426493171619725,focused_image.jpg,314.3051948051949,109.11038961038952,100.0,2,321.78559463986596,197.2680067001675,317.33744855967075,83.75720164609052,1.5,264.3051948051949,59.11038961038952,46.54233169555664,111.54833221435547
1,38.86471939086914,-17.106360087186232,-0.29856230655314403,focused_image.jpg,314.3051948051949,109.11038961038952,100.0,2,321.78559463986596,197.2680067001675,317.33744855967075,83.75720164609052,1.5,364.3051948051949,59.11038961038952,19.847095489501953,111.23977661132812
2,15.65987777709961,-48.0948138239348,-0.8394128543613466,focused_image.jpg,314.3051948051949,109.11038961038952,100.0,2,321.78559463986596,197.2680067001675,317.33744855967075,83.75720164609052,1.5,364.3051948051949,159.11038961038952,20.104572296142578,84.61309814453125
3,18.76682472229004,56.42230622834617,0.9847550152531442,focused_image.jpg,314.3051948051949,109.11038961038952,100.0,2,321.78559463986596,197.2680067001675,317.33744855967075,83.75720164609052,1.5,264.3051948051949,159.11038961038952,47.34715270996094,84.90200805664062
4,40.04861831665039,22.589716597351696,0.39426493171619725,focused_image.jpg,314.3051948051949,109.11038961038952,100.0,2,321.78559463986596,197.2680067001675,317.33744855967075,83.75720164609052,1.5,264.3051948051949,59.11038961038952,46.54233169555664,111.54833221435547
