step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,N_nodes_active,using_upgraded_nodes,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,err_to_center,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6724655706208362,-0.681274592269612,-0.09996463182011839,0.8108192246985996,-0.6816966780987227,-0.10000992016544737,0.8120793457800061,-0.6809478627667224,-0.100010219789297,0.0016836659214678573,82,0.8108581249476213,-0.6821068927981114,-0.10001099784630092,0.0012635019631245174,7.729487593985003e-13,0.0014658204328101858,0.0016836659219803928,0.0004120550072120755,nan,0.0014658204328101858,0.0012601210814064956,0.0007488153320003299,-2.996238496338899e-07,-0.0007573425540691181,0.001011370093791375,-6.719152535583639e-06,77,8,False,-0.6608931422233582,-10.0,-2.338939905166626,-10.0,4.818651831473517,2.099914520027255,4.818651831473517,2.099914520027255,2.099914520027255,3.688751220703125,13.072097778320312,0.0013306222111687173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6714256220483605,-0.693043980287448,-0.10000643956063279,0.8104635379447493,-0.6821161963784855,-0.10000992553314016,0.8112850945453176,-0.6822677459159312,-0.10001072611285289,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000835417566392566,0.0008215566005682629,-0.00015154953744567212,-8.005797127313974e-07,nan,nan,nan,80,8,False,-1.169176697731018,-10.0,-5.36921501159668,-10.0,3.409109439339659,3.5303760820696652,3.409109439339659,3.5303760820696652,3.409109439339659,11.755386352539062,33.31907653808594,0.0013306222111687173,0,-0.0012601210814064936,-0.0007488153320003818,2.996238496386117e-07,-0.0007942512346884589,-0.0013198831492088337,-5.063235558877555e-07,-1.2601210814064936,-0.7488153320003819,0.00029962384963861175,-0.7942512346884589,-1.3198831492088337,-0.0005063235558877555,1.4658204328102105,1.540430638285791,1.0508999620653678,0.8809589225527833,0.4658698467180347,-0.5710678172084518,-0.0008059474055263672,0.7369892576776889,0.7369896983564501,mixed_noise_backlash_delay_or_constraints
2,0.6696454898015509,-0.6914132741218456,-0.099996994985935,0.8100595748235524,-0.681944364730477,-0.1000099334325559,0.810348548606747,-0.6822912101862567,-0.10001132234864397,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00045145057046016185,0.00028897378319459044,-0.0003468454557796763,-1.3889160880714568e-06,nan,nan,nan,84,8,False,-1.9938468933105469,-10.0,-9.571969985961914,-10.0,3.190737008342694,3.7858324630236666,3.190737008342694,3.7858324630236666,3.190737008342694,14.35809326171875,46.8292236328125,0.0013306222111687173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6685053519294052,-0.6899237188954359,-0.09999181918843747,0.8096682186410036,-0.6817478184169149,-0.10000996586873669,0.8099384935006089,-0.6821954844613305,-0.10001158334792222,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005229277072955358,0.00027027485960529063,-0.00044766604441559554,-1.6174791855338988e-06,nan,nan,nan,86,8,False,-2.3820981979370117,-10.0,-11.258952140808105,-10.0,3.1596071382364244,3.8331273556379983,3.1596071382364244,3.8331273556379983,3.1596071382364244,15.805633544921875,50.79600524902344,0.0013306222111687173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6676597533272765,-0.6888337289789348,-0.10001389112930315,0.8092981169673716,-0.681527948419711,-0.10001003766450636,0.8096552080044597,-0.6820778134472307,-0.10001176363174062,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0006556413327863777,0.0003570910370880309,-0.000549865027519747,-1.725967234258996e-06,nan,nan,nan,87,8,False,-2.6664915084838867,-10.0,-12.26079273223877,-10.0,3.1713952804469727,3.835517522155442,3.1713952804469727,3.835517522155442,3.1713952804469727,18.080108642578125,53.94867706298828,0.0013306222111687173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6669818796141638,-0.6877777228637219,-0.10001331495573712,0.8089590788328143,-0.6812817977693472,-0.10001016247153915,0.809192555912859,-0.6819208180347157,-0.10001205808337586,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0006803370094724425,0.00023347708004473056,-0.0006390202653685506,-1.8956118367080554e-06,nan,nan,nan,89,8,False,-3.1775918006896973,-10.0,-13.41758918762207,-10.0,3.124516448468057,3.90025301711637,3.124516448468057,3.90025301711637,3.124516448468057,20.730728149414062,56.405792236328125,0.0013306222111687173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6663436687142369,-0.6863488073959183,-0.09997794294496004,0.8086463640680278,-0.6810133731723377,-0.10001036602119706,0.8087319011105838,-0.6818420915811234,-0.10001235130427183,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0008331211116695953,8.553704255598316e-05,-0.0008287184087857336,-1.985283074767974e-06,nan,nan,nan,91,8,False,-3.819324016571045,-10.0,-14.205063819885254,-10.0,2.8966526948405544,4.066359891695583,2.8966526948405544,4.066359891695583,2.8966526948405544,23.707870483398438,57.659828186035156,0.0013306222111687173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6653140936856716,-0.6843037929829895,-0.10000593269846944,0.8083504324885249,-0.6807074512769155,-0.10001072852264616,0.8083965016881671,-0.6814010251343409,-0.10001256459636723,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0006951021988597363,4.606919964222911e-05,-0.0006935738574254113,-1.8360737210759703e-06,nan,nan,nan,94,8,False,-4.459661960601807,-10.0,-14.669893264770508,-10.0,2.9605606752626272,3.901303352007176,2.9605606752626272,3.901303352007176,2.9605606752626272,24.29315185546875,55.97688293457031,0.0013306222111687173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6627654473677612,-0.6811868373021467,-0.0999913883600719,0.8080695167085341,-0.6803726696148904,-0.10001121888907721,0.8080551182241972,-0.6809456061001595,-0.10001278169054419,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005731173810867551,-1.4398484336930473e-05,-0.0005729364852691265,-1.5628014669727408e-06,nan,nan,nan,96,8,False,-5.23643684387207,-10.0,-15.141757011413574,-10.0,3.0034362571533393,3.7764463678498714,3.0034362571533393,3.7764463678498714,3.0034362571533393,26.652236938476562,55.571922302246094,0.0013306222111687173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6591583675985151,-0.6768512603706272,-0.10000019102470548,0.8077999944172141,-0.680033968433838,-0.10001176460895966,0.8076584400210021,-0.6803689245318773,-0.10001303392326784,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0003636388795228257,-0.00014155439621199584,-0.00033495609803924076,-1.2693143081748959e-06,nan,nan,nan,99,8,False,-6.291909694671631,-10.0,-15.436376571655273,-10.0,3.0829288118543445,3.648298722303366,3.0829288118543445,3.648298722303366,3.0829288118543445,30.178115844726562,55.06438446044922,0.0013306222111687173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
