N_nodes_active,N_sqp_used,beam_left_wall_angle_deg,beam_right_wall_angle_deg,closest_distance_mm,cond_H_beam,cond_H_mpc,dist_left_center_mm,dist_left_edge_mm,dist_right_center_mm,dist_right_edge_mm,err_to_center,hardware_stop,hardware_stop_reason,hierarchy_confidence,hierarchy_enabled,hierarchy_input_clearance_mm,hierarchy_input_curvature_max_ahead_1pm,hierarchy_input_tip_vessel_angle_deg,hierarchy_level,hierarchy_reason,hierarchy_risk,i_ref,jac_cos_xy,jac_dx_pred_x,jac_dx_pred_x_mm,jac_dx_pred_y,jac_dx_pred_y_mm,jac_dx_pred_z,jac_dx_pred_z_mm,jac_dx_real_x,jac_dx_real_x_mm,jac_dx_real_y,jac_dx_real_y_mm,jac_dx_real_z,jac_dx_real_z_mm,jac_err_x_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_err_y_mm,jac_err_z_mm,jac_gain_real_over_pred,jac_interpretation,jac_pred_xy_mm,jac_prev_step,jac_real_xy_mm,left_wall_tan_x,left_wall_tan_y,mag_x,mag_y,mag_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,meas_x,meas_y,meas_z,model_bias_x,model_bias_y,model_bias_z,mpc_eig_cond,mpc_strong_channel_energy,mpc_strong_channel_name,mpc_weak_channel_energy,mpc_weak_channel_name,nom_corr_resid_xy,nom_ref_err_xy,one_step_pred_err_xy,pred0_current_resid_xy,pred_meas_err_x,pred_meas_err_xy,pred_meas_err_y,pred_meas_err_z,pred_ref_err_xy,pred_x,pred_y,pred_z,raw_model_err_xy,right_wall_tan_x,right_wall_tan_y,rollout_steps_used,send_commands,solver_mode_used,sqp_du_final,sqp_du_rel_final,step,using_upgraded_nodes
10,1,0.342071533203125,3.8628997802734375,1.1344861498997716,909.1555739396092,201216.96678680088,7.2345753712126,7.2345753712126,1.1344861498997716,1.1344861498997716,0.0032537868667959786,False,,nan,False,1.1354971088018095,87.20121008002579,175.99130522376404,,,nan,36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-1.1120103597640991,-10.0,0.6695596562766031,-0.6394052951261142,-0.09981581146735691,0.0032537868667959786,36,0.8197963051234117,-0.6814184520791627,-0.10001803965846437,0.821599348339809,-0.6787099166567734,-0.1000168903946674,nan,nan,nan,201216.9667900353,nan,,nan,,nan,nan,nan,nan,0.001072036428066192,0.0011369913774456168,-0.00037879716113609074,-2.2509136505574623e-05,nan,0.8205273119117428,-0.6783311194956373,-0.09999438125816182,nan,-1.8624365329742432,-10.0,1,True,lti,,,0,False
10,1,0.2306976318359375,4.0406494140625,1.162897073828006,631.7047011428157,201234.96367937556,7.206460086325535,7.206460086325535,1.162897073828006,1.162897073828006,0.003216183777235814,False,,nan,False,1.163758369996085,87.20121008002579,175.96692474992386,,,nan,36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-1.1275142431259155,-10.0,0.665560693694208,-0.6434148637385244,-0.09981982846129567,0.003216183777235814,36,0.8197963051234117,-0.6814184520791627,-0.10001803965846437,0.8215648635900054,-0.6787321834702565,-0.10001691235993741,nan,nan,nan,201234.96368706884,nan,,nan,,nan,nan,nan,nan,0.0010385920844120378,0.0011117375626772882,-0.0003965941129975281,-2.4116743242250105e-05,nan,0.8205262715055933,-0.678335589357259,-0.09999279561669516,nan,-1.8901418447494507,-10.0,1,True,lti,,,1,False
10,1,0.267608642578125,4.2177581787109375,1.0915541460927045,326.75238268580154,203041.54761742198,7.268612128638438,7.268612128638438,1.0915541460927045,1.0915541460927045,0.0035026323126433794,False,,nan,False,1.0949397940913443,87.20121008002579,176.36663144659443,,,nan,37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-1.191560983657837,-10.0,0.6615557558010399,-0.647425406619085,-0.09981322467678799,0.0035026323126433794,37,0.8190388746163351,-0.6811986216741969,-0.10001852173910347,0.8214222775062777,-0.678631946045726,-0.10001700308082422,nan,nan,nan,203041.54761646807,nan,,nan,,nan,nan,nan,nan,0.0015354785218554268,0.0016022348984245471,-0.00045767060059631604,-2.830029987134497e-05,nan,0.8198867989844223,-0.6781742754451296,-0.09998870278095287,nan,-1.9946178197860718,-10.0,1,True,lti,,,2,False
10,1,0.2579345703125,4.906768798828125,0.9933585258474693,55.70269512867801,198831.20105790067,7.33375315529571,7.33375315529571,0.9933585258474693,0.9933585258474693,0.0034056804064749166,False,,nan,False,1.008129621400833,87.20121008002579,172.97801137826804,,,nan,37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-1.3829110860824585,-10.0,0.657563682135557,-0.6514358313084394,-0.09981269429097647,0.0034056804064749166,37,0.8190388746163351,-0.6811986216741969,-0.10001852173910347,0.8210679618941931,-0.6784633952027905,-0.10001722855730569,nan,nan,nan,198831.2010578575,nan,,nan,,nan,nan,nan,nan,0.0016859352329587907,0.0016918886843220297,-0.00014180871061086897,-2.803274922855148e-05,nan,0.8193820266612343,-0.6783215864921797,-0.09998919580807714,nan,-2.220897912979126,-10.0,1,True,lti,,,3,False
10,1,2.211700439453125,6.5251922607421875,0.9140543489794197,3.510436081642072,200812.72880743534,7.372382035680346,7.372382035680346,0.9140543489794197,0.9140543489794197,0.003458879188329965,False,,nan,False,0.9347347120801353,60.62868029132962,172.12472852901976,,,nan,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-1.8637388944625854,-10.0,0.653561351523752,-0.6554522445909791,-0.099817694637934,0.003458879188329965,38,0.8182878844175476,-0.6809577127994808,-0.10001899970873476,0.8204113709634383,-0.6782273922818706,-0.10001764643306178,nan,nan,nan,200812.7288173681,nan,,nan,,nan,nan,nan,nan,0.001552703394053112,0.0015639287993173413,0.0001870440039940524,-2.6883949542685914e-05,nan,0.8188586675693852,-0.6784144362858646,-0.0999907624835191,nan,-2.655334949493408,-10.0,1,True,lti,,,4,False
10,1,4.065826416015625,8.172988891601562,1.0219044128006232,3.190158772502102,201049.6873602992,7.250649733060698,7.250649733060698,1.0219044128006232,1.0219044128006232,0.003550420665766593,False,,nan,False,1.044652366973678,60.62868029132962,171.37304264519338,,,nan,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-2.0635859966278076,-10.0,0.6495837904192454,-0.6594464124998821,-0.0998057242029145,0.003550420665766593,39,0.8175459661467616,-0.6806904313821879,-0.10001947188925939,0.8201444105865676,-0.6782710154615278,-0.10001781640801467,nan,nan,nan,201049.68736066387,nan,,nan,,nan,nan,nan,nan,0.0021226102402043256,0.002135031616478977,0.00022996906649497273,-2.7964468376204255e-05,nan,0.8180218003463633,-0.6785009845280228,-0.09998985193963847,nan,-2.8234825134277344,-10.0,1,True,lti,,,5,False
10,1,5.4473419189453125,9.220932006835938,0.8876221785601004,3.227168160963737,200845.44220099543,7.359131998457485,7.359131998457485,0.8876221785601004,0.8876221785601004,0.0036690733294647104,False,,nan,False,0.9279956594534029,60.62868029132962,170.58191596323388,,,nan,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-2.4657347202301025,-10.0,0.6455958516224765,-0.663454540077764,-0.0997854189693397,0.0036690733294647104,40,0.8168147751965278,-0.6803950513602658,-0.10001993722592271,0.8195653139270382,-0.6779667524105993,-0.10001818491383305,nan,nan,nan,200845.44220126347,nan,,nan,,nan,nan,nan,nan,0.0023885415489923734,0.002472932484416635,0.000640518806297008,-2.994656125344941e-05,nan,0.8171767723780459,-0.6786072712168963,-0.0999882383525796,nan,-3.176971435546875,-10.0,1,True,lti,,,6,False
10,1,7.042724609375,10.9581298828125,1.2058324577466095,3.2040078244310006,200693.9026449266,7.01565713595096,7.01565713595096,1.2058324577466095,1.2058324577466095,0.003416432080780334,False,,nan,False,1.2682849754988814,60.62868029132962,169.0635674846527,,,nan,41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-2.858891487121582,-10.0,0.6416020209990747,-0.6674407333549404,-0.09979727786249615,0.003416432080780334,41,0.8160984849373565,-0.6800650331116319,-0.10002039305846812,0.8188796259525514,-0.6780807793939371,-0.10001862149568842,nan,nan,nan,200693.90264427857,nan,,nan,,nan,nan,nan,nan,0.0025248929581233037,0.0025995268466179567,0.0006184297666727012,-2.8821153707767055e-05,nan,0.8163547329944281,-0.6786992091606098,-0.09998980034198066,nan,-3.614042282104492,-10.0,1,True,lti,,,7,False
10,1,9.431777954101562,14.021530151367188,1.6203080116953714,3.1399424144377397,200576.67821008994,6.5407205612036705,6.5407205612036705,1.6203080116953714,1.6203080116953714,0.0027220353517260014,False,,nan,False,1.6976109962312689,60.62868029132962,165.94040874392334,,,nan,41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-3.134950637817383,-10.0,0.6376098962514668,-0.6714190780376574,-0.09978861071188017,0.0027220353517260014,41,0.8160984849373565,-0.6800650331116319,-0.10002039305846812,0.8181308978109577,-0.678254294486853,-0.1000190982411447,nan,nan,nan,200576.6782092308,nan,,nan,,nan,nan,nan,nan,0.001833929414167046,0.0019513794723444804,0.0006667718867351402,-2.8365411831876575e-05,nan,0.8162969683967907,-0.6789210663735882,-0.09999073282931283,nan,-4.03939151763916,-10.0,1,True,lti,,,8,False
10,1,10.718399047851562,15.556869506835938,1.910215711600216,3.182329909035573,200439.72349581675,6.197017299731897,6.197017299731897,1.910215711600216,1.910215711600216,0.0025693133829452043,False,,nan,False,2.0116076153084377,60.62868029132962,162.98679455527,,,nan,42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,-3.3418262004852295,-10.0,0.6336202629111695,-0.6754101410447618,-0.09977088461510497,0.0025693133829452043,42,0.8153905988226607,-0.6797176467195795,-0.10002084353172187,0.8175651245821728,-0.6783491406066958,-0.1000194584729218,nan,nan,nan,200439.72349595075,nan,,nan,,nan,nan,nan,nan,0.0020589006901644558,0.0021605483476082377,0.0006549023670693321,-2.972371693600595e-05,nan,0.8155062238920083,-0.6790040429737652,-0.0999897347559858,nan,-4.310235977172852,-10.0,1,True,lti,,,9,False
