timestamp,commanded_angle_value,wire_length_mm,total_length_mm,angle_deg,tip_x_m,tip_y_m,image_file
1770299916.7434824,-70,,56.40448204203446,-36.567716619284,0.812831376620707,-0.6719256571007309,bending_images_55/img_a-070_20260205_135834_684.jpg
1770299918.5795174,-65,19.358325586862286,56.07909477893125,-34.76718996995163,0.8120651977492569,-0.6735511673381549,bending_images_55/img_a-065_20260205_135837_337.jpg
1770299920.4153132,-60,,56.742493591021876,-32.59969950892136,0.81032981195325,-0.674958945421653,bending_images_55/img_a-060_20260205_135839_172.jpg
1770299922.2592802,-55,,56.16298413721761,-29.718759988139,0.8093569977025274,-0.6776874833496198,bending_images_55/img_a-055_20260205_135841_009.jpg
1770299924.0949938,-50,,56.39478428534169,-26.570108903662003,0.807694020039301,-0.6803049257518204,bending_images_55/img_a-050_20260205_135842_853.jpg
1770299925.9307363,-45,,56.41543303857575,-24.620865996564362,0.8068464292500475,-0.682026552316424,bending_images_55/img_a-045_20260205_135844_689.jpg
1770299927.7675178,-40,,55.89219871349773,-21.99611208017319,0.8063090571370439,-0.6845958229301947,bending_images_55/img_a-040_20260205_135846_525.jpg
1770299929.6028945,-35,,55.78789240342557,-18.971145244557334,0.8053751931944889,-0.6873936983549844,bending_images_55/img_a-035_20260205_135848_361.jpg
1770299931.4387612,-30,19.26493090719528,56.07038503271474,-16.29676610505362,0.8043152815965299,-0.6897958396473236,bending_images_55/img_a-030_20260205_135850_196.jpg
1770299933.2754524,-25,19.09837395373907,55.410401664523235,-13.427843185411945,0.8042371665163657,-0.6926624557185653,bending_images_55/img_a-025_20260205_135852_033.jpg
1770299935.110733,-20,18.97253611481773,55.39088301347526,-10.495019924526389,0.8036685872976607,-0.6954404397813522,bending_images_55/img_a-020_20260205_135853_869.jpg
1770299936.9470818,-15,18.874026859109595,55.15213703101055,-7.549124999042363,0.8034587114666168,-0.6982842142362317,bending_images_55/img_a-015_20260205_135855_704.jpg
1770299938.7829926,-10,18.810341754711548,55.01853860281783,-4.872885963773342,0.8033131420734819,-0.700856319998011,bending_images_55/img_a-010_20260205_135857_541.jpg
1770299940.6188028,-5,18.581613472964214,54.85050235459416,-2.1600627394109324,0.8033212947147327,-0.7034625070592478,bending_images_55/img_a-005_20260205_135859_377.jpg
1770299942.454588,0,,54.42945369911868,1.7469182460053503,0.8037286653944368,-0.7071891609018726,bending_images_55/img_a+000_20260205_135901_213.jpg
1770299944.2920876,5,18.50542779943546,54.70463479204063,5.217060678858047,0.8036548084423116,-0.710504136598654,bending_images_55/img_a+005_20260205_135903_049.jpg
1770299946.1270137,10,18.407098711394212,54.31801133404162,8.379574914187288,0.8043946909561352,-0.7134456757986926,bending_images_55/img_a+010_20260205_135904_885.jpg
1770299947.9628835,15,,54.47875758642273,11.631919645279766,0.8047728905135326,-0.7165140965296856,bending_images_55/img_a+015_20260205_135906_721.jpg
1770299949.7991881,20,,54.91896466133035,14.631000440279138,0.8049947341656927,-0.7194020336189837,bending_images_55/img_a+020_20260205_135908_557.jpg
1770299951.6357255,25,18.349519447145685,54.50484442212803,18.037345519990367,0.8063066238320977,-0.722406599750862,bending_images_55/img_a+025_20260205_135910_393.jpg
1770299953.4722438,30,18.604202619212,54.79407986617942,21.199571626958914,0.8070468490530499,-0.7253443961615695,bending_images_55/img_a+030_20260205_135912_229.jpg
1770299955.309029,35,,55.04574069036307,24.009849650579724,0.8078498852831835,-0.7279276567275604,bending_images_55/img_a+035_20260205_135914_067.jpg
1770299957.1450465,40,,55.25424335483614,27.67936250671528,0.8092018189792834,-0.7311967651470763,bending_images_55/img_a+040_20260205_135915_903.jpg
1770299958.9819202,45,18.48193422189097,55.743807026036166,30.591711611006303,0.810147680223017,-0.7338988577612231,bending_images_55/img_a+045_20260205_135917_739.jpg
1770299960.8181229,50,18.819404499499424,55.921154752924934,33.49590264229437,0.8114987568137365,-0.7363915112669647,bending_images_55/img_a+050_20260205_135919_575.jpg
1770299962.6529582,55,18.70781102530993,56.04343090635557,35.94702084885023,0.812762293673892,-0.7384294564358016,bending_images_55/img_a+055_20260205_135921_411.jpg
1770299964.4909005,60,18.456752461588835,55.97120444220861,39.03176643188175,0.8146545623186164,-0.7407778238155523,bending_images_55/img_a+060_20260205_135923_247.jpg
1770299966.326764,65,,56.04637386322723,42.01726344344394,0.8164935507937644,-0.7430447844376609,bending_images_55/img_a+065_20260205_135925_084.jpg
1770299968.1632938,70,,56.5194403752729,44.035625863748976,0.817500559405718,-0.7448168671535154,bending_images_55/img_a+070_20260205_135926_921.jpg
