k,status,infeasible,solver_mode,rollout_steps,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,rollout_steps_used,rollout_steps_next,rollout_adaptation_reason,adapt_pred_err_xy_mm,adapt_pred_err_xyz_mm,adapt_clearance_mm,adapt_tip_vessel_angle_deg,cond_H_beam,lambda_min_H_beam,lambda_max_H_beam,num_negative_H_beam,num_near_zero_H_beam,stationarity_norm,cond_H_mpc,lambda_min_H_mpc,lambda_max_H_mpc,num_negative_H_mpc,num_near_zero_H_mpc,valid_H_mpc,norm_H_mpc,norm_H_track,norm_H_effort,norm_H_smooth,qp_reg,sqp_status_0,sqp_du_0,sqp_du_rel_0,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL,u_plan_5_vx,u_plan_5_vy,u_plan_5_vz,u_plan_5_wx,u_plan_5_wy,u_plan_5_wz,u_plan_5_dL,u_plan_6_vx,u_plan_6_vy,u_plan_6_vz,u_plan_6_wx,u_plan_6_wy,u_plan_6_wz,u_plan_6_dL,u_plan_7_vx,u_plan_7_vy,u_plan_7_vz,u_plan_7_wx,u_plan_7_wy,u_plan_7_wz,u_plan_7_dL,u_plan_8_vx,u_plan_8_vy,u_plan_8_vz,u_plan_8_wx,u_plan_8_wy,u_plan_8_wz,u_plan_8_dL,u_plan_9_vx,u_plan_9_vy,u_plan_9_vz,u_plan_9_wx,u_plan_9_wy,u_plan_9_wz,u_plan_9_dL
0,solved,0,ltv_oneshot,10,18,18,18,27,-0.050008057101539966,-0.04997319087660756,2.9387422269091352e-08,0.0,0.0,0.3312921627146088,0.09935267163740619,0.6616772405445827,-0.7019249326960942,-0.1,0.0004632121174488895,0.9817215162683983,-0.19032203855599214,0.00041421021564264977,0.02418487525854462,0.7739609702480111,-0.7106402759681493,-0.10000221056862663,-0.9989770745944876,-0.045219114601662475,0.00019002442301654742,5.8522921682471894e-05,0.0585229216824719,5.852297263101407e-05,0.058522972631014074,1,6.29559262208286,99.5420595300936,,22,0.6859512462141798,0.0030001844535985267,3.0001844535985267,0.0009998155464014734,0.9998155464014734,51.909905036424135,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,10,1,"bad:prediction_error,low_clearance,tip_angle",2.682793843983136,2.6827938801783175,0.9998155464014734,51.909905036424135,3.833305799622576,2.295868724524982e-09,9.084097476855951e-09,0,0,8.180839922845829e-17,17104709.58252062,2.0009999999951046e-06,34.22652387454002,0,0,True,34.62938269132236,34.6292068646372,0.10954451223132997,3.8157568056677834e-07,1e-09,solved,6.29559262208286,99.5420595300936,-0.050008057101539966,-0.04997319087660756,2.9387422269091352e-08,0.0,0.0,0.3312921627146088,0.09935267163740619,0.7801461758017822,-0.7100373073779952,-0.10000412631895494,nan,nan,nan,0.7801457791133092,-0.7099787858007736,-0.10000420354147552,nan,nan,nan,5.8522921682471894e-05,0.0585229216824719,5.852297263101407e-05,0.058522972631014074,-0.050007055209852755,0.05002298314340315,2.9317295779581892e-08,0.0,0.0,2.0943960233217562,0.04812537138759709,0.7791843332448994,-0.7101094008140093,-0.10000380820239649,nan,nan,nan,0.7791832400414582,-0.7097953571179544,-0.10000408728598169,nan,nan,nan,0.0003140455987999197,0.31404559879991967,0.00031404572280680344,0.31404572280680343,-0.050005155712938246,0.05001920348824057,2.918828206619237e-08,0.0,0.0,2.0943958707876815,0.04564217007079506,0.7782725851286171,-0.7101916575575565,-0.10000346995945349,nan,nan,nan,0.7782703659593315,-0.7096018859756054,-0.10000396857463342,nan,nan,nan,0.000589775757037795,0.5897757570377951,0.000589775967810322,0.5897759678103219,-0.02115810014705028,0.05001555250114427,2.9018745922042825e-08,0.0,0.0,2.0943957226607113,0.041959862816252746,0.7774350040716593,-0.7102834313177817,-0.10000307097886554,nan,nan,nan,0.7774311391679188,-0.7093982134088053,-0.10000381321109034,nan,nan,nan,0.0008852263461135519,0.8852263461135519,0.0008852266572817526,0.8852266572817526,0.01854460118591948,0.050012008324587055,2.9552585477994946e-08,0.0,0.0,2.0943955797346496,0.03740274928365541,0.7766891367604164,-0.710382509410699,-0.10000259758411072,nan,nan,nan,0.7766830559775394,-0.7091842172454226,-0.10000360274527557,nan,nan,nan,0.0011983075937685272,1.1983075937685272,0.0011983080153417504,1.1983080153417505,-0.050008057101539966,-0.04997319087660756,2.9387422269091352e-08,0.0,0.0,0.3312921627146088,0.09935267163740619,-0.050007055209852755,0.05002298314340315,2.9317295779581892e-08,0.0,0.0,2.0943960233217562,0.04812537138759709,-0.050005155712938246,0.05001920348824057,2.918828206619237e-08,0.0,0.0,2.0943958707876815,0.04564217007079506,-0.02115810014705028,0.05001555250114427,2.9018745922042825e-08,0.0,0.0,2.0943957226607113,0.041959862816252746,0.01854460118591948,0.050012008324587055,2.9552585477994946e-08,0.0,0.0,2.0943955797346496,0.03740274928365541,0.036253270532652565,0.05000886328570007,2.875142461665539e-08,0.0,0.0,2.0943954535515914,0.0325774102557207,0.03884552753627409,0.05000622867819065,2.5869597684734992e-08,0.0,0.0,2.0943953483503956,0.028382885704468733,0.031222118200160093,0.05000409788801795,2.0960870308617126e-08,0.0,0.0,2.094395263670377,0.0257258463541655,0.018138106333511643,0.05000240076689266,1.4544427235543347e-08,0.0,0.0,2.0943951965648435,0.025041828726275406,0.005395670464346392,0.05000105260572839,7.336913458517172e-09,0.0,0.0,2.094395166201655,0.025032966690894436
1,solved,0,ltv_oneshot,10,25,25,25,34,-0.04460432953565349,0.10000105260571392,0.0,0.0,0.0,4.1887902685948495,0.012373373255309907,0.6527563746374524,-0.6819247221749503,-0.1,0.00028752679541595177,0.8516718516521735,-0.5240750623410635,0.0005508755852386703,0.03159781926712978,0.7683923265526298,-0.7015068092705865,-0.10001898719448644,-0.853583464983302,0.5209559037997545,-0.00046325293424484743,6.148752447043131e-05,0.06148752447043131,6.153710012325672e-05,0.06153710012325672,1,6.021388920646655,0.9088283825290672,,32,0.8353234197555551,0.0030438570171514617,3.0438570171514616,0.0009561429828485383,0.9561429828485384,28.5671244043828,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,10,1,bad:low_clearance,1.1757915764250144,1.1757967264293125,0.9561429828485384,28.5671244043828,1495.634811868582,3.1757668819924914e-09,4.8992509842741624e-06,0,0,4.8862973808257386e-14,47671881.38999912,2.0010000011247424e-06,95.39143471500682,0,0,True,96.38933947460434,96.38927471247871,0.10954451223132997,3.8157568056677834e-07,1e-09,solved,6.021388920646655,0.9088283825290672,-0.04460432953565349,0.10000105260571392,0.0,0.0,0.0,4.1887902685948495,0.012373373255309907,0.7737051158173778,-0.710350412916658,-0.10000445080688196,nan,nan,nan,0.7737111692610615,-0.710289224098357,-0.10000198118624756,nan,nan,nan,6.148752447043131e-05,0.06148752447043131,6.153710012325672e-05,0.06153710012325672,-0.04460432953565272,0.10000105260571956,0.0,0.0,0.0,4.18879026859485,0.0872961037048614,0.7720592760762562,-0.7078161729653097,-0.10001129233576236,nan,nan,nan,0.7719676292252475,-0.7077944390355766,-0.10000919154282746,nan,nan,nan,9.418868828823264e-05,0.09418868828823264,9.421211351208077e-05,0.09421211351208077,-0.044604329535651986,0.10000105260572024,0.0,0.0,0.0,4.18879026859485,0.010655885849662048,0.7718782907127822,-0.7075074414168928,-0.10001190670714613,nan,nan,nan,0.7717786005367409,-0.7074343816567279,-0.10000841117554334,nan,nan,nan,0.00012359554908862393,0.12359554908862393,0.00012364496955276664,0.12364496955276665,-0.04460432953565112,0.10000105260572022,0.0,0.0,0.0,4.18879026859485,0.049889638466963454,0.7710724417473365,-0.7061235629380601,-0.10001361696921417,nan,nan,nan,0.7708896076974009,-0.7059462776240092,-0.1000103423063162,nan,nan,nan,0.0002546730696284539,0.2546730696284539,0.00025469412205835195,0.25469412205835196,-0.04460432953565039,0.10000105260572052,0.0,0.0,0.0,4.18879026859485,0.03671524581713385,0.7705328777875695,-0.7052038336285693,-0.10001522959782569,nan,nan,nan,0.7702701875617445,-0.7048788423327509,-0.10001130616678862,nan,nan,nan,0.00041788215695545683,0.41788215695545683,0.0004179005747936316,0.41790057479363163,-0.04460432953565349,0.10000105260571392,0.0,0.0,0.0,4.1887902685948495,0.012373373255309907,-0.04460432953565272,0.10000105260571956,0.0,0.0,0.0,4.18879026859485,0.0872961037048614,-0.044604329535651986,0.10000105260572024,0.0,0.0,0.0,4.18879026859485,0.010655885849662048,-0.04460432953565112,0.10000105260572022,0.0,0.0,0.0,4.18879026859485,0.049889638466963454,-0.04460432953565039,0.10000105260572052,0.0,0.0,0.0,4.18879026859485,0.03671524581713385,-0.044604329535649814,0.10000105260572097,0.0,0.0,0.0,4.18879026859485,0.03126061780652517,-0.04460432953564932,0.10000105260572138,0.0,0.0,0.0,4.188790268594852,0.03404697737354421,-0.04460432953564829,0.10000105260572188,0.0,0.0,0.0,3.998442734907174,0.03241451625755076,-0.04460432953564972,0.10000105260572441,0.0,0.0,0.0,1.9607078995888352,0.03619913425153489,-0.04460432953565178,0.10000105260572673,0.0,0.0,0.0,0.7331809835136056,0.03979570764617245
2,solved,0,ltv_oneshot,10,35,35,35,44,-0.09459132340653023,0.14999803844222998,-2.0295289448150713e-08,0.0,0.0,0.7296766912905819,0.09515906726145976,0.6347721429150127,-0.6524027273361733,-0.1,0.00024770877792403164,0.8123334090836182,-0.583192975224341,0.0005698911561286044,0.04189476977179855,0.7629254185847567,-0.6920074012010043,-0.1000257114055418,-0.6372095691515701,0.7706904491592118,-0.0004433468649361422,2.3304050410136876e-05,0.023304050410136876,2.3311888099945815e-05,0.023311888099945815,1,0.23535439198215027,0.10025271531896739,,43,0.7954962605101895,0.0030216568735347196,3.0216568735347193,0.0009783431264652805,0.9783431264652805,9.547591448402175,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,10,1,bad:low_clearance,0.27084368502466966,0.27084485959294025,0.9783431264652805,9.547591448402175,7572.293338996286,3.091981989590697e-09,2.4170523957973953e-05,0,0,6.254216179656382e-13,22045403.225490525,2.001000004453849e-06,44.11285195239344,0,0,True,44.60867789036676,44.608540860768976,0.10954451223132997,3.8157568056677834e-07,1e-09,solved,0.23535439198215027,0.10025271531896739,-0.09459132340653023,0.14999803844222998,-2.0295289448150713e-08,0.0,0.0,0.7296766912905819,0.09515906726145976,0.7673248114357721,-0.6996550963834438,-0.10002036218831149,nan,nan,nan,0.7673126882662209,-0.699635193933204,-0.10002096663952226,nan,nan,nan,2.3304050410136876e-05,0.023304050410136876,2.3311888099945815e-05,0.023311888099945815,-0.09459165220872752,0.14999809766160804,-2.19768036228906e-08,0.0,0.0,0.7111636706760893,0.044487143748283185,0.7668168261688737,-0.698771022367464,-0.10002099899940127,nan,nan,nan,0.7668149100225891,-0.6987693223894146,-0.1000216221641352,nan,nan,nan,2.5615506929840897e-06,0.0025615506929840895,2.636261792450904e-06,0.002636261792450904,-0.09459229878830928,0.14999822015601944,-2.5388958967713308e-08,0.0,0.0,0.7018890226160335,0.044173195327248886,0.7662984159790085,-0.6978687724904256,-0.10002159085327719,nan,nan,nan,0.7663153554013962,-0.6979000004246918,-0.10002226309698174,nan,nan,nan,3.55264395818775e-05,0.035526439581877504,3.5532799227799364e-05,0.035532799227799367,-0.09459324153129912,0.14999840773559492,-3.053182007585157e-08,0.0,0.0,0.6990336474407424,0.043227022778462444,0.7657927266083686,-0.6969871237934427,-0.10002207257791537,nan,nan,nan,0.765815913303497,-0.6970305957033569,-0.10002285841001653,nan,nan,nan,4.9268953536279744e-05,0.04926895353627975,4.927522008729437e-05,0.04927522008729437,-0.09459444971416156,0.1499986594992874,-3.735479465248989e-08,0.0,0.0,0.6999386796847009,0.04206493604278688,0.7653551661183785,-0.6962244786697557,-0.10002257001004652,nan,nan,nan,0.7653171045734973,-0.6961621283746663,-0.10002345829308076,nan,nan,nan,7.30495756077689e-05,0.0730495756077689,7.305497617016969e-05,0.07305497617016969,-0.09459132340653023,0.14999803844222998,-2.0295289448150713e-08,0.0,0.0,0.7296766912905819,0.09515906726145976,-0.09459165220872752,0.14999809766160804,-2.19768036228906e-08,0.0,0.0,0.7111636706760893,0.044487143748283185,-0.09459229878830928,0.14999822015601944,-2.5388958967713308e-08,0.0,0.0,0.7018890226160335,0.044173195327248886,-0.09459324153129912,0.14999840773559492,-3.053182007585157e-08,0.0,0.0,0.6990336474407424,0.043227022778462444,-0.09459444971416156,0.1499986594992874,-3.735479465248989e-08,0.0,0.0,0.6999386796847009,0.04206493604278688,-0.09459588598612204,0.14999897203032134,-4.576651490652251e-08,0.0,0.0,0.7031713685962953,0.04321215303671821,-0.09459750901690432,0.14999934040416457,-5.5556405359071293e-08,0.0,0.0,0.7092057450467572,0.050001769058813796,-0.09459927655014269,0.14999975934615062,-6.655960807265388e-08,0.0,0.0,0.7139131313882849,0.050074073503154036,-0.09460114339329118,0.15000022075101946,-7.854683026370327e-08,0.0,0.0,0.7161018257134089,0.051064558346165745,-0.04785480552649664,0.12611002591244727,-9.125209687641457e-08,0.0,0.0,0.718414867654643,0.05138360613034546
3,solved,0,ltv_oneshot,10,45,45,45,45,-0.09785802264596595,0.17611131070003047,-1.1593395115380168e-09,0.0,0.0,0.08964326489704517,0.010128471889634439,0.6152014926462018,-0.617181081365761,-0.1,0.00021589616508510014,0.7789274209616828,-0.6271137749550819,0.0005826872354838073,0.05,0.7622383029941071,-0.6900356161559711,-0.09886142546415476,-0.45290842116692914,0.8821932884284976,0.12887576920349722,4.4403326289264e-05,0.044403326289264,4.4403667749231595e-05,0.044403667749231594,1,4.616462647441425,1.992235972753173,,44,1.0,0.0028771561561418777,2.877156156141878,0.0011228438438581224,1.1228438438581223,7.96931817142818,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,10,1,"bad:beam_hessian_indefinite,prediction_error",2.5283094796423504,5.572643060463386,1.1228438438581223,7.96931817142818,131036.71453318174,-9.71018245565073e-09,5.9511318117271207e-05,3,0,4.261988319707015e-06,13581894.699544901,2.0010000263444653e-06,27.1773716515971,0,0,True,27.44299748840446,27.442776319904603,0.10954451223132997,3.8157568056677834e-07,1e-09,solved,4.616462647441425,1.992235972753173,-0.09785802264596595,0.17611131070003047,-1.1593395115380168e-09,0.0,0.0,0.08964326489704517,0.010128471889634439,0.7628214271579786,-0.6918253094265626,-0.1000258288110518,nan,nan,nan,0.7627991631124956,-0.6917868911019729,-0.10002600294902385,nan,nan,nan,4.4403326289264e-05,0.044403326289264,4.4403667749231595e-05,0.044403667749231594,-0.09785786152780707,0.17611131181044665,-1.1679942683226171e-09,0.0,0.0,-0.7480056407652591,-0.004999146039059326,0.7628759268284774,-0.6919176955460568,-0.10002574913100273,nan,nan,nan,0.7629870380803031,-0.691760641037238,-0.10002506485006249,nan,nan,nan,0.00019238458623959393,0.19238458623959392,0.00019238580317420758,0.1923858031742076,-0.097857798386441,0.17611123802757328,-1.18152718282025e-09,0.0,0.0,0.22649730762045087,0.07631964507259179,0.7620944141618164,-0.6904662525648333,-0.10002685625057021,nan,nan,nan,0.7629244091981411,-0.6898536673375931,-0.10002795226195307,nan,nan,nan,0.0010315776369020546,1.0315776369020546,0.0010315782191367647,1.0315782191367648,-0.0978567107629926,0.17610988531851152,-1.2028556274513263e-09,0.0,0.0,2.81280992160654,0.09999670912556242,0.7620451698774935,-0.6885532869210113,-0.10002875689564372,nan,nan,nan,0.7629577200719254,-0.6897361149462493,-0.10002873279793957,nan,nan,nan,0.0014939310541809863,1.4939310541809863,0.001493931054375339,1.493931054375339,-0.09785614426424873,0.17610932707997753,-1.2295438139157273e-09,0.0,0.0,2.812809916536864,-0.00499668759767293,0.7620579322332697,-0.6885159475598794,-0.10002908885910192,nan,nan,nan,0.7630559023729897,-0.6894172029292948,-0.1000295395893824,nan,nan,nan,0.0013446953709568422,1.344695370956842,0.0013446954464972896,1.3446954464972896,-0.09785802264596595,0.17611131070003047,-1.1593395115380168e-09,0.0,0.0,0.08964326489704517,0.010128471889634439,-0.09785786152780707,0.17611131181044665,-1.1679942683226171e-09,0.0,0.0,-0.7480056407652591,-0.004999146039059326,-0.097857798386441,0.17611123802757328,-1.18152718282025e-09,0.0,0.0,0.22649730762045087,0.07631964507259179,-0.0978567107629926,0.17610988531851152,-1.2028556274513263e-09,0.0,0.0,2.81280992160654,0.09999670912556242,-0.09785614426424873,0.17610932707997753,-1.2295438139157273e-09,0.0,0.0,2.812809916536864,-0.00499668759767293,-0.09785536815750367,0.17610956814744344,-1.2603546780271466e-09,0.0,0.0,1.5503386951025093,0.09999290047619178,-0.09785378304273576,0.1761094996642358,-3.4775373806496485e-09,0.0,0.0,-1.375980189832243,0.09999990968720573,-0.09782600061096154,0.1760898033018165,-5.70425799294342e-10,0.0,0.0,-1.3759799090800264,-0.004995143339415035,-0.09785560922955228,0.1761101339367937,-1.0660841287287275e-10,0.0,0.0,1.089118995332932,0.03929317406266704,-0.09785521481234155,0.17611022053380512,5.500160146565721e-10,0.0,0.0,0.4375979252774524,0.027494000580107522
