s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
1.250000000000000026e-03,7.968828225295588874e-01,-7.112739626964291739e-01,-1.000007957746808646e-01,-1.797801892746860765e-06,9.999233434216049377e-01,-1.237749562836757550e-02,3.238507322245997850e-04
2.500000000000000052e-03,7.956332057977522076e-01,-7.112430213279438140e-01,-1.000016052838174907e-01,-6.728338620044256981e-06,9.996638832078428294e-01,-2.592321800844251539e-02,3.276165939675884133e-04
3.749999999999999861e-03,7.943848860991635785e-01,-7.111782350604841652e-01,-1.000024236139583356e-01,-1.163118693159198862e-05,9.992089247646193106e-01,-3.976701001513598815e-02,3.308321402503856118e-04
5.000000000000000104e-03,7.931388399105021580e-01,-7.110788961725683643e-01,-1.000032488836823663e-01,-1.679034530388983490e-05,9.985385921410401266e-01,-5.404228665679736837e-02,3.331305724221658780e-04
6.250000000000000347e-03,7.918961416098098116e-01,-7.109439878864990403e-01,-1.000040782245427001e-01,-2.122561121057343995e-05,9.976194757595240326e-01,-6.895846254976550904e-02,3.340322417803095892e-04
7.499999999999999722e-03,7.906580300626466773e-01,-7.107720021056287418e-01,-1.000049076580037388e-01,-2.669463271685818399e-05,9.964030087096847899e-01,-8.474038077712242600e-02,3.337475586133823997e-04
8.750000000000000833e-03,7.894259826714509209e-01,-7.105609131574417425e-01,-1.000057333703992662e-01,-3.136715635157759249e-05,9.948227851175223124e-01,-1.016243813973427002e-01,3.321637023683931666e-04
1.000000000000000021e-02,7.882018017345187033e-01,-7.103081675060503031e-01,-1.000065515112783798e-01,-3.699877050415352925e-05,9.927909181344812817e-01,-1.198585961822488388e-01,3.292749692683697273e-04
1.124999999999999958e-02,7.869877172132706544e-01,-7.100106811612181268e-01,-1.000073576777242984e-01,-4.518639313299613189e-05,9.901929569213544502e-01,-1.397061207021368656e-01,3.253611754252679848e-04
1.250000000000000069e-02,7.857865119783244978e-01,-7.096648410825682207e-01,-1.000081473215459760e-01,-5.322117456528640427e-05,9.868818292516612356e-01,-1.614439524372573431e-01,3.201278464817767285e-04
1.375000000000000007e-02,7.846016726089755089e-01,-7.092665257822170499e-01,-1.000089156618408637e-01,-6.233353958379856882e-05,9.826694996695343187e-01,-1.853659962859035559e-01,3.129771419058063149e-04
1.499999999999999944e-02,7.834375742353099081e-01,-7.088111419563796201e-01,-1.000096556582728141e-01,-7.117732264643247949e-05,9.773175220450759371e-01,-2.117790451378382399e-01,3.034435149689983539e-04
1.625000000000000056e-02,7.822997003754035283e-01,-7.082937034733459702e-01,-1.000103593752695724e-01,-8.395231533967558064e-05,9.705251264665523125e-01,-2.409997650933663471e-01,2.916745337011053497e-04
1.750000000000000167e-02,7.811949028050262367e-01,-7.077089625933900008e-01,-1.000110164877081459e-01,-9.770366444126068822e-05,9.619155379833420616e-01,-2.733466875458519518e-01,2.768536111820950329e-04
1.874999999999999931e-02,7.801316990256267347e-01,-7.070516214607494021e-01,-1.000116154947514185e-01,-1.121922991452456154e-04,9.510218320686849580e-01,-3.091235921709414303e-01,2.590462191193742018e-04
2.000000000000000042e-02,7.791205926814807059e-01,-7.063166631756867542e-01,-1.000121446880598425e-01,-1.273911687241300185e-04,9.376907350818279863e-01,-3.474708794112908450e-01,2.389023559458387054e-04
2.125000000000000153e-02,7.781724328542636293e-01,-7.055021125387648251e-01,-1.000125940675706815e-01,-1.429008164908149043e-04,9.228760718356014969e-01,-3.850969853145448374e-01,2.179777409926290759e-04
2.249999999999999917e-02,7.772931821932952401e-01,-7.046136204781847656e-01,-1.000129594069899958e-01,-1.569025815105253030e-04,9.083497718382830266e-01,-4.182112243776577309e-01,1.979582268494181879e-04
2.375000000000000028e-02,7.764804338617525836e-01,-7.036639152249252183e-01,-1.000132448992136769e-01,-1.681938727380511464e-04,8.955675746043471053e-01,-4.449254523350902879e-01,1.813629611153094528e-04
2.500000000000000139e-02,7.757253305893228035e-01,-7.026677631280962011e-01,-1.000134638718444269e-01,-1.770157963933880428e-04,8.848921706753051231e-01,-4.657958637387330514e-01,1.681274580903264527e-04
2.624999999999999903e-02,7.750177451266802020e-01,-7.016373152713047956e-01,-1.000136296754583348e-01,-1.835642340562281677e-04,8.765537462753030251e-01,-4.813039280847771217e-01,1.581299064599228730e-04
2.750000000000000014e-02,7.743468788671674652e-01,-7.005825932955880297e-01,-1.000137553233958337e-01,-1.880019123908865887e-04,8.706954108348137211e-01,-4.918225730122011696e-01,1.512684169357345293e-04
2.875000000000000125e-02,7.737016025326836077e-01,-6.995120240813244017e-01,-1.000138534362262077e-01,-1.904642333052197322e-04,8.673740151746210936e-01,-4.976567690547790690e-01,1.474353771880856294e-04
2.999999999999999889e-02,7.730707582364917396e-01,-6.984328876362367877e-01,-1.000139361757265144e-01,-1.912162419956172504e-04,8.663488664049350252e-01,-4.994392693040909936e-01,1.462608237637142772e-04
