s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.099273166922001055e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
2.000000000000000042e-03,7.961328228335223800e-01,-7.099285899312841597e-01,-1.000012732394893744e-01,4.268699882241486225e-06,9.999813486343223090e-01,6.099549569849396086e-03,3.128263180671133812e-04
4.000000000000000083e-03,7.941329720429833872e-01,-7.099529876798452710e-01,-1.000025244172745020e-01,8.020421004380105047e-06,9.999715616569109233e-01,7.535395014973231276e-03,3.059984966245929373e-04
6.000000000000000125e-03,7.921331995462358444e-01,-7.099831284125455166e-01,-1.000037481347044732e-01,8.900638969405512971e-06,9.999852903267758553e-01,5.415833090738292853e-03,2.963153486452636039e-04
8.000000000000000167e-03,7.901333172224392909e-01,-7.100047914367975110e-01,-1.000049331858467450e-01,1.028314721912467746e-05,9.999999184579352329e-01,-2.850233345168558100e-04,2.859022188616455913e-04
1.000000000000000021e-02,7.881333178743528123e-01,-7.100036513553122930e-01,-1.000060768063526923e-01,9.346558360020093472e-06,9.999532335336408506e-01,-9.667212343769340799e-03,2.750704605557937861e-04
1.200000000000000025e-02,7.861336919969857950e-01,-7.099649843246265135e-01,-1.000071773981592860e-01,5.611900711483904143e-06,9.997378859175984900e-01,-2.289302257105949728e-02,2.625777567596705568e-04
1.400000000000000029e-02,7.841357886347039008e-01,-7.098734362425709321e-01,-1.000082279477784858e-01,1.366395709276048625e-06,9.991921479203876855e-01,-4.018694224559939826e-02,2.473970978508189221e-04
1.600000000000000033e-02,7.821422488408333873e-01,-7.097128183353601516e-01,-1.000092169563739086e-01,-4.641895628790370041e-06,9.980857522682110572e-01,-6.184478656585967737e-02,2.312407302590111543e-04
1.799999999999999864e-02,7.801575481652239796e-01,-7.094659127297727741e-01,-1.000101390003785978e-01,-6.554306376779089385e-06,9.976354098924402614e-01,-6.872799847301559739e-02,2.260789173966289590e-04
