k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err
10,44,-0.10519336964549582,-0.045029622229726556,0.0006566045066841834,3.5785508172030554e-07,-2.1557767253105142e-05,-1.5708166755615989,0.04862159170851141,0.6661083291290991,-0.6824436667665645,-0.09,0.0197174867812746,-0.9995951551711874,0.006038151047664751,0.019603244763195193,0.04432332847179529,0.8139750199640963,-0.7024265444282926,-0.09799590082194662,-0.9945468836728483,0.09257673399258523,0.04802129215141842,solved,0,5.468145576819754e-05
11,44,-0.09022502869419874,0.019183325705685577,0.0005710858682856062,-4.971594952566805e-07,-2.7920582790134033e-05,0.9448742698285812,0.037582543923476305,0.6652060788421571,-0.6822518335095077,-0.09,0.019624652432404355,-0.9995554708182675,0.010760522006192735,0.019696317938471927,0.044699153911030055,0.8136295046784782,-0.7020943548739966,-0.097918550279572,-0.9933110604317981,0.1039726493559169,0.05022773546327281,solved,0,8.920970908403489e-05
12,44,-0.006531327882255646,0.007709098500625682,0.00010369882433887118,4.404899217633984e-07,-2.793870627748398e-05,-1.5701003020831257,0.01952623502683283,0.6651407655633346,-0.6821747425245014,-0.09,0.019778675788238054,-0.999609141319631,0.002913256591095401,0.019541788821099068,0.044894416261298385,0.8134184123015532,-0.7022579569063112,-0.09792580014205252,-0.9939380762831235,0.0980886025617777,0.049656082830618675,solved,0,8.918172355534105e-05
13,45,-0.010805651139022914,-0.0660911163421482,0.00013004526859584692,-4.962888018254068e-07,-2.7939754792867336e-05,1.563076833068422,0.05060403070415245,0.6650327090519443,-0.6828356536879229,-0.09,0.01962534464265101,-0.9995558426285449,0.010725414733868094,0.019695908041603247,0.04540045656833991,0.8129297290171057,-0.7020586244373168,-0.09787385471260497,-0.9933122495568854,0.10375312332599904,0.050656335046470435,solved,0,0.00015944226832401357
14,45,-0.08912450265952007,0.013815100559250766,0.0005615074996148207,4.97254443509622e-07,-3.539720396362446e-05,-1.5698684915411825,0.010408477586452256,0.6641414640253491,-0.6826975026823303,-0.09,0.019779342788721347,-0.9996092334349663,0.00287930535515391,0.019541433700655912,0.04550454134420443,0.8128086217204695,-0.7022409220595032,-0.09788715248006691,-0.9939886494412027,0.09738494695494442,0.05002736139990431,solved,0,0.00011143562854299225
15,45,0.07578819254042245,-0.004713799262528669,-0.00034794903764180944,-5.531579407618993e-07,-3.156941978873906e-05,1.56493139400563,0.02636714475437104,0.6648993459507534,-0.6827446406749555,-0.09,0.019625831528805118,-0.9995561005484812,0.010700733579079528,0.019695758273980162,0.04576821279174814,0.8125650467734339,-0.7020188854326539,-0.09784626524436137,-0.9932306626949872,0.10434788066855151,0.05103303324767469,solved,0,0.0001114755620533341
16,46,-0.08842856831755998,-0.07238843035202445,0.0005570229640740853,4.461519440775954e-07,-3.523120085895952e-05,-1.5708161771014093,0.04806607981531042,0.6640150602675778,-0.6834685249784758,-0.09,0.019779920809550253,-0.999609311154717,0.002849886370845895,0.01954118556366226,0.04624887358990125,0.8120712480046813,-0.7021471171067455,-0.09783932216107666,-0.9938435567207538,0.09862184366829396,0.05048481668886734,solved,0,7.32335601405542e-05
17,46,-0.0969603120200318,0.008983745029755548,0.0005783109234514531,-7.476695888639803e-07,-4.7610475487257606e-05,0.6015963536125433,0.04939683176506467,0.6630454571473775,-0.6833786875281782,-0.09,0.01972104882598387,-0.9995962119772153,0.005856670745232684,0.019600832680966164,0.046742841907551895,0.8115657976338008,-0.7022652331788362,-0.09783101073390217,-0.9943746039233512,0.09338442184257649,0.0499849660338595,solved,0,9.443207842303836e-06
18,47,-0.098708594259371,-0.5539489544964088,-0.05301416630030534,9.53184328877626e-07,-5.662202387190682e-05,-1.5708421941122395,0.047357323884946886,0.6620583712047838,-0.6889181770731423,-0.09,0.019874394461144147,-0.9996113736868061,-0.001994474203105095,0.01944561938927804,0.04721641514640136,0.8110820227104136,-0.7023763864372584,-0.09782305346891466,-0.9948372686214048,0.08857915394596096,0.04952315062797088,solved,0,0.000764188025623832
19,47,-0.0860885851645477,-0.001130513969841587,0.0003990064939081072,-1.1183047609649112e-06,-6.615710358858702e-05,1.0001340204570541,0.049646167710268536,0.6611974853531384,-0.6889294822128407,-0.09,0.019776898993847443,-0.9996088425659663,0.003004249928303667,0.019545091774786923,0.047712876823504044,0.8105768088752399,-0.7024754565556974,-0.09781322179733777,-0.9952347131188524,0.08424284118047894,0.04910203165935552,solved,0,9.183656167934922e-05
20,48,-0.0016373071828461533,0.004805119134897342,7.102122682061327e-05,1.0304272935156128e-06,-7.1163051203082e-05,-1.5708207203207534,0.051080567697139215,0.6611811122813099,-0.6888814310214917,-0.09,0.01992980282522771,-0.999601599708684,-0.004846800362022664,0.019389516379690257,0.048223682500475436,0.8100583955519652,-0.702564639274939,-0.09780212548983325,-0.995578810099717,0.08031182721727582,0.04871183931504062,solved,0,9.153377074655784e-05
21,48,-0.0815205515993116,0.029472996544272306,0.0005119981961424493,-1.3707736653696434e-06,-8.172226171283828e-05,0.942954528338569,0.05144876217235999,0.6603659067653168,-0.6885867010560489,-0.09,0.019838155660796216,-0.9996133333076205,-0.00013387795420161667,0.019483673429298472,0.04873817012219903,0.8095371626336791,-0.702646480821454,-0.0977904859905304,-0.9958792550087022,0.0767291252773098,0.04834408730642485,solved,0,6.0550894117866275e-05
22,49,-0.01710823888302284,-0.026543979284051566,0.0001533034677066278,1.2358336400771193e-06,-8.723179381399913e-05,-1.570824688761106,0.04886521985370655,0.6601948243764866,-0.6888521408488895,-0.09,0.01999057550453246,-0.9995814416610452,-0.007984888154507925,0.0193276987503518,0.0492268223207361,0.8090423006369084,-0.7027251104663584,-0.09777993188545124,-0.9961445703750063,0.07343655703768878,0.04799028029554009,solved,0,2.0757513998168112e-05
23,49,-0.08404734537741214,0.014525116059480857,0.0005194126455827511,-1.6468036365204978e-06,-9.879614707359024e-05,0.8834894287081415,0.05293730123959226,0.6593543509227124,-0.6887068896882946,-0.09,0.01990498947353823,-0.999606952164764,-0.0035692364574559676,0.019416310901932972,0.049756195333132025,0.8085404118292935,-0.7023647021232805,-0.09768954009235276,-0.9952073138294055,0.08395752268405748,0.05013518609933606,solved,0,8.729290374803298e-05
24,50,-0.01764994362420235,-0.03143438768667402,0.00015385124775931666,1.4548898104182214e-06,-0.00010479896169419449,-1.5708252743321498,0.048742327151374,0.6591778514864705,-0.6890212335651613,-0.09,0.020056877527058738,-0.999548077530908,-0.011420095264805403,0.019259901149103763,0.05024361860464577,0.8080455132699021,-0.7024489786740878,-0.0976810724977885,-0.9955286957968821,0.08034911030726291,0.04966524255241464,solved,0,2.689632489399306e-05
25,50,-0.08403310452662932,0.01465218344246084,0.0005156356905950049,-1.9713802235130663e-06,-0.00011827347029974046,0.8260985902145671,0.03327390980342816,0.6583375204412042,-0.6888747117307367,-0.09,0.01997713716678785,-0.999586710208881,-0.0072913953479902495,0.01934317239454624,0.05057635770268005,0.8077343668256894,-0.7021780828479427,-0.09762054637474273,-0.9947893650413611,0.0882314389268155,0.05108162473443255,solved,0,8.53294791840029e-05
26,50,-0.005803474914809324,0.0068153656009079305,9.152089935180777e-05,1.4000834731924353e-06,-0.00011300250169015838,-1.570802150036139,0.017420972495319206,0.6582794856920561,-0.6888065580747276,-0.09,0.02012844382006323,-0.9994986031941965,-0.01514186566925216,0.019186241588367715,0.05075056742763324,0.8075499126080837,-0.7022984583220465,-0.09762993091714757,-0.9951551290234864,0.08434687121851675,0.050516081537420494,solved,0,8.54754399873512e-05
27,51,-0.010039493558669904,-0.08741495512432812,0.0001174412554888586,-1.6948431896269422e-06,-0.00011069484596612865,1.5632740878587494,0.052161999001652935,0.6581790907564694,-0.6896807076259709,-0.09,0.01997784684807094,-0.999586413620301,-0.007329042638377128,0.01934353832742646,0.051272187417649766,0.807043893581766,-0.7020951135943179,-0.09758273431966874,-0.9946371560444283,0.08984620384677021,0.05123072779276216,solved,0,0.0001546660949513491
28,51,-0.09003803646127098,0.013810723949621153,0.0005449084757994206,2.0254570172274675e-06,-0.0001531864808067056,-1.5707802209899058,-0.0030958000498647656,0.6572787103918567,-0.6895426003864746,-0.09,0.02012915588154283,-0.9994980086506594,-0.015179403832740261,0.019186805000983454,0.05124122941715112,0.8070636943588412,-0.7022310573596542,-0.0976025802086678,-0.9949795016610772,0.08629620876884472,0.05068289283770603,solved,0,0.00011249473478095819
29,51,0.08422089107474257,0.0027433641599997004,-0.000385164576789843,-1.7341402349178137e-06,-0.00011044641609914477,1.5706726980962251,0.05808267157002398,0.6581209193026041,-0.6895151667448747,-0.09,0.019977838694941005,-0.9995863843596654,-0.007329606535806926,0.01934484509839094,0.05182205613285136,0.8069857440661179,-0.7023414509371687,-0.09761538931853844,-0.9952341670225279,0.08357730957409296,0.050237298049670136,solved,0,0.000422990401818371
30,51,-0.10046974680142781,-0.08097708965935313,0.0006070437031566435,2.414789717426045e-06,-0.00014702619264126944,-1.5708119874375097,0.02932821957151016,0.6571162218345898,-0.6903249376414682,-0.09,0.020129163210544337,-0.9994979731070741,-0.015180125582456506,0.01918807782438657,0.05211533832856646,0.806178038030218,-0.702360690340686,-0.09758777128137977,-0.9953431076367909,0.0824089073709097,0.050008699901804295,solved,0,5.279425585236844e-05
31,52,-0.00781291208933713,-0.0009671325699110055,9.686556345961438e-05,-2.420662400605379e-06,-0.00014689922117285274,0.6725513717218347,0.04974535236052482,0.6570380927136965,-0.6903346089671673,-0.09,0.020064501433378408,-0.9995433550090749,-0.01181899244042542,0.019256392630135767,0.052612791852171714,0.8056766831101969,-0.702404014940295,-0.09757552634774547,-0.995447424469998,0.08128526424260131,0.04977078393051534,solved,0,2.2218929432467668e-05
32,52,-0.08952540136878342,-0.05067968338308978,0.0005376091038162066,1.6881169776835978e-06,-0.00016170589104385602,-1.5708214518344255,0.0495600445698994,0.6561428387000087,-0.6908414058009982,-0.09,0.020215121676037992,-0.9994196833328356,-0.019669083971406365,0.01909901982415379,0.05310839229787071,0.8051778817758207,-0.7024396493744373,-0.09756257067225547,-0.9955231738728869,0.08047577251752397,0.049570760734140844,solved,0,3.275358182096534e-05
33,53,-0.014846528698671818,-0.007532287949770213,8.480322862727639e-05,-2.7770243073597027e-06,-0.00016920507680468202,0.6942436883956034,0.05061542295651227,0.6559943734130219,-0.6909167286804959,-0.09,0.02014867263229427,-0.9994819218283805,-0.016199785770151808,0.01916992098066949,0.05361454652743584,0.8046691013755635,-0.702468321655437,-0.09754852261762026,-0.9955814231253283,0.07986042684934434,0.049395770579946784,solved,0,4.474773174152004e-05
34,53,-0.08706143914197413,-0.017254680987752638,0.0003785517747606256,1.8734071305277515e-06,-0.0001848457397627896,-1.5708215656863784,0.04890509036049164,0.6551237590216021,-0.6910892754903735,-0.09,0.020298606648220738,-0.9993238429988235,-0.024049262636054686,0.01901200538780506,0.054103597431040755,0.8041983440487187,-0.7022236159816825,-0.09748324347756801,-0.9949416865214051,0.08670706014736784,0.05072401938473426,solved,0,0.00029902413147743956
35,54,-0.0415797098569773,-0.30153114397194736,0.00026869280090483595,-3.1546929888438807e-06,-0.0001930297121379026,0.6555372390029935,0.05003080279861306,0.6547079619230324,-0.6941045869300929,-0.09,0.020236143362179302,-0.999397282787625,-0.020773689244141948,0.01907939972130712,0.05460390545902689,0.8037067912521074,-0.7021022787704304,-0.09744667863482263,-0.9946570523968442,0.08967749471066144,0.05113995560851559,solved,0,0.0001667265868045216
36,54,-0.09739182529297546,-0.07115282849684257,-0.0025107678574670224,2.101705214514814e-06,-0.00021790042314109037,-1.5708204241883033,0.04292272147993258,0.6537340436701026,-0.6948161152150614,-0.09,0.02038535709521023,-0.9992032800765297,-0.02862235797966222,0.018920965199723028,0.055033132673826216,0.8032679887422004,-0.7023611807470378,-0.09727150294219118,-0.9951812511596596,0.08086044898766703,0.05546048259623619,solved,0,0.0002966893969439767
37,54,-0.005437800029298692,0.0056143238911378355,7.652048143367409e-05,-3.5531144257198747e-06,-0.00021773289064580745,0.6076396796264028,0.023324030141096123,0.6536796656698096,-0.69475997197615,-0.09,0.020327728541018285,-0.9992856084638403,-0.02558647527261883,0.018983899824296258,0.05526637297523718,0.8030302278228475,-0.7024059909222267,-0.0972829256606258,-0.995388344300275,0.07880018648890146,0.054704429806657406,solved,0,7.742854081545372e-05
38,55,0.007206753114644499,0.005829200811877099,1.779873993040795e-05,1.9888579818375064e-06,-0.0002096611063365701,-1.5699634588176055,0.008555931229183092,0.653751733200956,-0.6947016799680312,-0.09,0.02047610398029421,-0.9990539536196286,-0.033429836974485344,0.018824795420849957,0.05535193228752901,0.802939451915865,-0.7024646888253365,-0.09730216603475217,-0.9955874440119561,0.07675836894554756,0.053979571344715614,solved,0,7.781104772103703e-05
39,55,0.0007836241659776346,-0.006056815702320109,5.216091862471723e-05,-3.1446178179811166e-06,-0.00020036480935533448,1.5695196547679937,0.048911184835823,0.6537595694426158,-0.6947622481250544,-0.09,0.020327696360885137,-0.999285513209926,-0.025588734794530856,0.018985902692514448,0.05584104413588724,0.802509117137801,-0.7024867055613302,-0.09730010991549357,-0.9957160094887648,0.07546049049558695,0.05343540794207142,solved,0,0.0001292753769895435
40,55,-0.09775329440941707,0.012042037506212246,0.0005691479520387806,3.962791094253866e-06,-0.00024552965140193025,-1.5699706835178542,-0.0026603220536348857,0.6527820364985216,-0.6946418277499923,-0.09,0.020476093474225115,-0.9990538358164353,-0.03343213522653251,0.018826977205512532,0.05581444091535089,0.8024699634082852,-0.7025378189537047,-0.09731844272537815,-0.9958366337802881,0.0742383925927868,0.05289669069406699,solved,0,0.00011176054560195229
41,56,-0.001167327847710447,-0.007166594104938592,5.841159728913269e-05,-3.542398899138958e-06,-0.00022571760803449933,0.5711834235904963,0.049289110268509684,0.6527703632200446,-0.6947134936910416,-0.09,0.020422186330413452,-0.9991452199381478,-0.03057881125560254,0.018886505299564885,0.05630733201803599,0.8019761983296044,-0.7025365068596874,-0.0973087690569181,-0.995867616512052,0.07406091139377398,0.052561124285235405,solved,0,8.871249494088309e-05
42,56,-0.10302114447816679,-0.1718851631986093,0.0005839562784409477,3.940586864869788e-06,-0.00025303479450254504,-1.570856681800908,0.05087613223781643,0.6517401517752629,-0.6964323453230277,-0.09,0.02056987585249703,-0.998874205100062,-0.03842538256438077,0.018726787442411283,0.05681609334041415,0.8014674970503892,-0.7025226798795371,-0.09729646924700953,-0.9958526388431794,0.07444323496675505,0.05230417265152519,solved,0,2.8190895662333904e-05
43,56,-0.015466565265385894,0.004613035233647806,0.0001309187844634539,-4.468076292421025e-06,-0.0002740261573564683,0.49275512285458156,0.01542336005270749,0.651585486122609,-0.6963862149706912,-0.09,0.02052359990246858,-0.9989658196485822,-0.035964295123006584,0.018778777840561596,0.05697032694094123,0.8013122729354687,-0.7025298516419356,-0.09730233134898987,-0.9958314616704196,0.07492139393492825,0.05202388565075736,solved,0,7.311970170492931e-05
44,56,0.007978157454179902,0.006062017158595817,1.0771392991824213e-05,1.9188459138276903e-06,-0.0002527230982697665,-1.5708023294297588,0.01009762888749604,0.6516652676971508,-0.6963255947991053,-0.09,0.02067041826465581,-0.9986525239390405,-0.04380902016438007,0.018618270359664124,0.05707130322981619,0.8012107041689307,-0.7025322727610986,-0.09730994981990938,-0.9957878895847062,0.07567540724994842,0.05176593178907589,solved,0,7.370419667291063e-05
45,57,-0.0032541767685891256,-0.06495405703566921,7.11171430556798e-05,-2.714151330171186e-06,-0.0002525442158365764,1.5650433142471827,0.04944055566806916,0.651632725929465,-0.696975135369462,-0.09,0.020524026020316912,-0.998964736685739,-0.03599311269795465,0.01878070958782021,0.05756570878649688,0.8008517561500731,-0.7025045181301353,-0.09730282680728196,-0.9957051573396235,0.07688441663495996,0.05157544111277803,solved,0,0.0001938896028884699
46,57,-0.09055360485765072,0.004882197706999843,0.0005213182332682733,3.060104534007363e-06,-0.00028414104898090274,-1.5707468465358538,0.034720417296677554,0.6507271898808885,-0.696926313392392,-0.09,0.020670854385815177,-0.9986512237695613,-0.04383755442212452,0.01862036156484849,0.05791291295946366,0.8003724032005441,-0.7024616633331238,-0.0972890588529011,-0.9956063465953727,0.0782637974304532,0.05140798216988728,solved,0,0.0001119347604536175
47,57,-0.007705448932996192,0.0075779400499545145,9.055630547470816e-05,-4.770008350052561e-06,-0.0002940455386347868,0.36512493122193146,0.014878264146566893,0.6506501353915586,-0.6968505339918925,-0.09,0.020636737897495153,-0.9987295635565282,-0.04201435091959925,0.018659534933694967,0.05806169560092933,0.8002240549116721,-0.7024473905877023,-0.09729331422719596,-0.9955446306841073,0.07920083979844994,0.05116752184017575,solved,0,6.890082404310099e-05
48,57,0.00034475195678218795,0.006982987902609382,4.936750421130538e-05,3.354778178082396e-06,-0.0003207477321052765,-1.5707967644698164,-0.004393319367804391,0.6506535829111264,-0.6967807041128664,-0.09,0.020782600963407078,-0.998368753455289,-0.049857013072214997,0.018498482879555675,0.05801776240725129,0.8002673593218235,-0.7024510667793716,-0.09730779437809346,-0.9955141978420262,0.0797619164180552,0.05088731260605337,solved,0,6.829061298645161e-05
49,59,-0.046099486172668194,-0.8133415724052023,0.0002910256469260502,-1.6563553097710284e-06,-0.0002830423267368143,1.5573765592609412,0.2021470431568721,0.6501925880493997,-0.7049141198369184,-0.09,0.020637847996336656,-0.9987266860782127,-0.042081429185327854,0.01866116456793383,0.06003923283882001,0.7983180486666414,-0.7028822173704226,-0.09726687509848883,-0.9964917282979856,0.06730401463708827,0.049743391997576596,solved,0,0.001792940773928463
50,60,-0.37857490415134165,-0.14702452942538724,0.004222498708696944,3.036480495801464e-06,-0.0004977348165536046,-1.5708186899302417,0.05743007792278379,0.6464068390078863,-0.7063843651311723,-0.09,0.02078368691886987,-0.9983653272811296,-0.04992419441210337,0.01850098519549484,0.060613533618047846,0.7975976730096984,-0.7048215404595427,-0.09703002645422001,-0.9983989851850636,0.014476689248473422,0.0546799035280643,solved,0,0.00034149646654220363
51,61,0.08503562264038685,0.0060495180997884365,-0.00038728696753843417,-6.429000097498693e-06,-0.00039828734210218186,-1.5707926312449165,0.05213837443616885,0.6472571952342902,-0.7063238699501744,-0.09,0.02092821895423773,-0.9979424005585005,-0.057763740507402274,0.018339168507173615,0.06113491736240954,0.7970771810037881,-0.7047057251839683,-0.09702379597947518,-0.9983677099099104,0.018118534556344493,0.054163036424959114,solved,0,1.2352157589736895e-08
52,61,-0.07593662408859422,-0.007287024168915314,0.0004339721867559897,2.1523561554109616e-06,-0.00042136584369906833,-1.5708017995417471,0.051828380755216216,0.6464978289934042,-0.7063967401918635,-0.09,0.021071497030221736,-0.9974579103120076,-0.06559977083263846,0.018176337244168676,0.0616532011699617,0.7965600939043352,-0.7045933291947293,-0.09701629410727601,-0.9983260219102122,0.02140290676792108,0.05373145781396605,solved,0,3.0644950472285106e-05
53,62,-0.013422455897160021,0.0003794253625680491,0.00011089342245633163,-4.2861866155683455e-06,-0.00043306585370176716,-0.06842745080944626,0.051802361028361235,0.6463636044344326,-0.7063929459382378,-0.09,0.02107755117731744,-0.9974353688983117,-0.06594108051306675,0.018171285255193098,0.06217122478024532,0.7960435648350748,-0.7044838429823278,-0.09700676894491221,-0.9982753542762902,0.024400896242180448,0.053393944479929,solved,0,3.907264260138468e-05
54,62,-0.08478296572905808,-0.014762763779335181,0.00047150169468971963,4.939635559969317e-07,-0.00045779350379807315,-1.5708024399435376,0.05307741822087313,0.6455157747771421,-0.7065405735760311,-0.09,0.02121946864771691,-0.9968866670288759,-0.07377288393591948,0.018007466399944636,0.06270199896245404,0.79551462270192,-0.7043747407382929,-0.09699428407875492,-0.99821530298112,0.027232095094850257,0.05314717199490143,solved,0,3.328522752304571e-05
55,62,-0.007168513017749838,0.0009793755131326488,7.624495475422979e-05,-6.539697196306737e-06,-0.0004574264529903817,0.2603567798530766,0.051946206246107934,0.6454440896469645,-0.7065307798208997,-0.09,0.02119580751979371,-0.9969818181775025,-0.072475139900983,0.018037351895391778,0.06322146102491512,0.7949973325602435,-0.7042632876292007,-0.09698034663829437,-0.9981447305118386,0.030022751887075077,0.05296915442572313,solved,0,4.8796295905422376e-05
56,63,-0.007602411652886862,0.0021765253703253874,8.088639191190146e-05,4.364640752338966e-06,-0.00047017123063078115,-1.570806177986391,0.05363668299451626,0.6453680655304357,-0.7065090145671965,-0.09,0.021336669625648452,-0.996381809520949,-0.08030319949647584,0.0178726700768151,0.06375782785486028,0.7944635992219028,-0.7041454922444291,-0.09696378156060836,-0.9980609097136504,0.032893489226433176,0.05284353194167667,solved,0,6.352157611686868e-05
57,63,-0.08418474934187513,0.007658409772593739,0.00046456119374709904,-7.910884724846795e-06,-0.0004955451484285876,0.15459976575040493,0.018511348671333635,0.6445262180370169,-0.7064324304694706,-0.09,0.021322609318713957,-0.9964435426686566,-0.07953302718286537,0.017891623540311024,0.06394294134157362,0.7943057212488972,-0.7033533055300946,-0.09689333091435544,-0.9972073859684382,0.05122350410319626,0.05434686741095791,solved,0,5.9598533491381125e-05
58,63,-0.006491259446475918,0.00768853024438723,7.264102338074294e-05,5.3416575062430305e-06,-0.0004830852448627865,-1.570788240105764,0.005499026161375654,0.6444613054425522,-0.7063555451670267,-0.09,0.021462304509400728,-0.9957881252343751,-0.08735655378373021,0.01772601586326338,0.06399793160318738,0.7942530299936258,-0.7032748348669062,-0.09690624139049409,-0.9971406857233791,0.052869013731951145,0.05399370576391432,solved,0,5.949145046126315e-05
59,63,-0.0005577476249743299,0.007718814906430874,4.457200581348704e-05,-5.611014409190311e-06,-0.0004824455658578834,1.556505880171905,0.026785189455215068,0.6444557279663025,-0.7062783570179624,-0.09,0.021323464045280942,-0.9964377749823469,-0.07960428843896156,0.017894907975903512,0.06426578349773954,0.7939931576282574,-0.7031778356696895,-0.0969067481305435,-0.997047826992687,0.05487892708750593,0.05370227230653251,solved,0,0.00010654711142540275
60,63,-5.362329371818061e-05,0.007740435794387876,4.212886356579685e-05,5.59918916136287e-06,-0.00048602556658980075,-1.5700596215138602,-0.0035247593026732416,0.6444551917333653,-0.7062009526600185,-0.09,0.021463120364752463,-0.9957821162521514,-0.08742414010940108,0.01772938641710153,0.06423053590471281,0.7940206513067352,-0.7032425768385174,-0.09692343589214569,-0.9971333844181643,0.053633011867231954,0.05337146912749182,solved,0,6.129063535642833e-05
61,63,1.2115863221673604e-05,-0.14912339647997555,4.196915591822023e-05,-7.558959355728621e-06,-0.00048164310611112165,1.569196393477514,0.0514524651165051,0.6444553128919975,-0.7076921866248183,-0.09,0.021323108551383137,-0.9964373458199604,-0.07960869322176098,0.01789963297116197,0.06474506055587786,0.7938023261289674,-0.7032607378471871,-0.09692405485552442,-0.9971657166601627,0.053255139115520364,0.053145307181450205,solved,0,0.00029510730838845206
