k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err
0,39,0.1846262997586781,0.9364479108356172,0.048845085217517924,1.4214109917720684e-16,-1.9984176971315725e-06,0.11277732269073926,-0.001994860378250842,0.6799790850205399,-0.6661654134233069,-0.09,0.0196672293623783,-0.9995764093392332,0.008597784331341545,0.019654009420097197,0.04098005139621749,0.8183783257981458,-0.7018025751363146,-0.09811816762408046,-0.9900741181994126,0.13087772540718612,0.05122754594841034,solved,0,0.00013642291950694414
1,40,-0.6450776357570043,0.2512288488487601,0.004383367414796091,-7.221285554347682e-11,0.00016586396410950684,1.1167798651266816,-0.003562773617898752,0.6735283086629699,-0.6636531249348193,-0.09,0.019557170181461914,-0.9995128334040435,0.014179171635618772,0.0197626933094124,0.040944423660038504,0.8174319737262598,-0.7018168030355367,-0.09808558089899398,-0.9907758776068136,0.1256818533505495,0.05066786053130062,solved,0,1.8102659604830794e-05
2,40,-1.0000187156802278,-1.0000123258629903,-0.9780519854342618,4.402312032837802e-09,-1.0684790299456756e-05,-1.5707639229635635,-0.003372809422200553,0.6635281215061676,-0.6736532481934492,-0.09,0.019711778829368313,-0.9995933658013092,0.006328820494919005,0.01960854029588654,0.040910695565816495,0.8174798071792497,-0.7019038195746296,-0.09809749047810318,-0.9913117377098839,0.12156601213768464,0.050226918794115505,solved,0,6.518566542936136e-05
3,41,0.5553156963037186,-0.13075090291772376,-0.0004701407750344811,-1.6531121654547837e-08,-2.470142751078687e-06,1.5708019969931273,0.0507688272950055,0.6690812784692047,-0.6749607572226264,-0.09,0.019557166774877576,-0.9995128294161995,0.014179360615312714,0.01976276278014042,0.04141838383876655,0.816935249154637,-0.7019601095304341,-0.09808058588080444,-0.9919008438261876,0.1168232281426316,0.04985026964051066,solved,0,0.0003281331940301738
4,41,-0.007178506053997706,-0.1601601517164176,-0.0007681667463201072,3.087900095141503e-08,-4.5499016955277525e-06,-1.5708147627210343,0.04731305246103727,0.6690094934086648,-0.6765623587397905,-0.09,0.019711780650352805,-0.9995933655101936,0.006328756007198288,0.019608574119455,0.041891514363376924,0.8164718116459676,-0.7018534519285533,-0.09804604834875214,-0.9916371961773772,0.11885580303822871,0.05028885802648288,solved,0,0.0002966955839020882
5,42,-0.02675769121852379,-0.15674860043264294,0.0019532906042551397,-1.2520430397093036e-07,-7.815140787368812e-06,1.5708063934893124,0.04945590944225653,0.6687419164964795,-0.678129844744117,-0.09,0.01955716752171698,-0.9995128288065545,0.01417931756162,0.019762823764169643,0.04238607345779949,0.8159677387489592,-0.7019214795275278,-0.09803173797767692,-0.9921796810683352,0.11440285199286669,0.04991460638966356,solved,0,0.00010188932763253516
6,42,-0.15262362916845054,-0.3961451265892667,0.0010027391229217835,1.729344142963073e-07,-1.1625284848466821e-05,-1.5707889827519572,0.05076698754777707,0.667215680204795,-0.6820912960100096,-0.09,0.01971178056012815,-0.9995933630336115,0.006328841129223534,0.01960867298582949,0.04289374333327726,0.8154506357452754,-0.7019916360809165,-0.09801707977614485,-0.9926729234835399,0.1102024647216185,0.049556873911925835,solved,0,1.595493070038863e-05
7,43,-0.019839441944395787,-0.0017580907461679169,0.00017384393628318002,-2.517858191494764e-07,-1.386584234394667e-05,1.511677530997087,0.0350138442495715,0.6670172857853511,-0.6821088769174714,-0.09,0.019563008143165746,-0.9995169734591811,0.01388390115507677,0.01975717004292896,0.04324388177577297,0.8150890455113498,-0.7020911821629944,-0.09801123292099834,-0.9931744906354067,0.105767495778168,0.04916978734869545,solved,0,0.00010775638037991137
8,43,0.0057568005851710196,0.004885751744244037,3.6648532981450436e-05,2.2179428955600613e-07,-1.3978726122766944e-05,-1.5698260508200321,0.009181908615763028,0.6670748537912028,-0.6820600194000289,-0.09,0.019717482606670673,-0.9995951581007724,0.006038213767237098,0.01960308025920603,0.0433357008619306,0.814983079290463,-0.70223271815163,-0.09801933857643216,-0.9937061355641954,0.10086290747791735,0.048731817503289844,solved,0,0.00010913781382397877
9,43,0.008540903435124522,0.0066648855761672595,2.647656868282031e-05,-2.1666127339064121e-07,-1.1596044887889423e-05,1.5708047726171726,0.05014116927795794,0.6671602628255541,-0.6819933705442672,-0.09,0.019562912256500992,-0.9995169029976354,0.01388878987932489,0.01975739359703049,0.04383711255471018,0.8144715989822456,-0.7023245213055641,-0.09800685724713598,-0.9941308750769524,0.09676399316458083,0.04837905378960788,solved,0,0.00010892894285500755
