s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
1.666666666666666557e-03,7.964661560317608524e-01,-7.112742279545716251e-01,-1.000010610329078037e-01,-1.591636180881268421e-07,9.999999482771594339e-01,2.274120855503301364e-04,2.274409737458800754e-04
3.333333333333333114e-03,7.947994897099129874e-01,-7.112749859946969622e-01,-1.000018191695683928e-01,-1.591705480855015087e-07,9.999999761728506353e-01,1.543343284240045210e-04,1.543864889486759899e-04
4.999999999999999237e-03,7.931328232020938840e-01,-7.112755004423642058e-01,-1.000023337912678417e-01,-1.591765785617734275e-07,9.999999906161083363e-01,9.683517658430492142e-05,9.690565823743009239e-05
6.666666666666666227e-03,7.914661565979863589e-01,-7.112758232262317293e-01,-1.000026568101769764e-01,-1.591814203388006481e-07,9.999999972656523628e-01,5.224850488050696820e-05,5.233320087296737050e-05
8.333333333333333218e-03,7.897994899495486276e-01,-7.112759973878863828e-01,-1.000028312542071279e-01,-1.591842765990005773e-07,9.999999996568053051e-01,1.847737888994602175e-05,1.857284798421166916e-05
9.999999999999998473e-03,7.881328232851698701e-01,-7.112760589791394805e-01,-1.000028931637101937e-01,-1.591868563710412358e-07,9.999999999638233827e-01,-6.065080228162658725e-06,-5.961777940708975316e-06
1.166666666666666546e-02,7.864661566187443054e-01,-7.112760387622085734e-01,-1.000028732911138335e-01,-1.591883652509400318e-07,9.999999994947819104e-01,-2.253098982988691146e-05,-2.242243138582945919e-05
1.333333333333333245e-02,7.847994899554456838e-01,-7.112759636589210954e-01,-1.000027985496639571e-01,-1.591886999999278241e-07,9.999999989977814696e-01,-3.171333123011623080e-05,-3.160184435088593264e-05
1.499999999999999944e-02,7.831328232954604118e-01,-7.112758579478338783e-01,-1.000026932101660687e-01,-1.591886063856617345e-07,9.999999988092609371e-01,-3.456305404565549122e-05,-3.445066004025281755e-05
