placement,placement_label,distance_m,distance_mm,zrot_rad,zrot_deg,Bnorm_tip_T,Fnorm_N,Tnorm_Nm,J_norm,Jtrans_norm,Jrot_norm,cond_xyz,manip_xyz,sigma1_xyz,sigma2_xyz,sigma3_xyz,cond_xy,manip_xy,sigma1_xy,sigma2_xy,theta_y_deg,theta_z_deg,theta_total_deg
front,In front,0.2,200.0,-3.141592653589793,-180.0,0.007340504076846466,0.0008537616121316634,5.05304741888158e-07,3.5211968332686427,3.3507765890287677,0.22370756810484269,5543039.778001989,2.4176568617405586e-06,2.376571115249462,2.372690152500402,4.287487029555661e-07,94.85644009938021,0.05934924981239273,2.3726901525004025,0.025013485115133533,-8.289001109498182e-08,0.7165867642872302,0.7165867734488099
front,In front,0.2,200.0,-3.0787608005179976,-176.4,0.00703435048636542,0.0007562389159218487,2.648518287033266e-05,4.3611721399303285,2.320668701451401,0.15304134180350917,3344.036173551074,0.0010041269853868487,2.2245184093391663,0.6785589717859282,0.0006652196010717558,34.597917896108626,0.013351543703609343,0.6796584530805029,0.019644490027446043,-34.9173775216789,-0.8101709155593426,34.92289443803903
front,In front,0.2,200.0,-3.0159289474462017,-172.8,0.00691605372170354,0.0007240929234117894,3.0429105436356934e-05,3.2889724396294593,1.325264576977196,0.0855022424101502,1613.8128167623092,0.0004774194983122658,1.2246228545169806,0.5137461637880518,0.0007588382257205418,88.91491333546985,0.0029695254197173874,0.5138434541196825,0.005779046898251888,-39.19123914691127,-0.4726906134681454,39.19267569291588
front,In front,0.2,200.0,-2.9530970943744053,-169.2,0.0067995959682409495,0.0006971158627066836,3.311986072834007e-05,2.816071392566566,0.9572008481855119,0.06060721437241921,1063.7082061976432,0.00029790190266450043,0.8561745680032442,0.43228596952457543,0.0008048960824169499,153.24859372572524,0.0012195263982868116,0.4323085767699417,0.0028209627655289326,-41.85100568804808,-0.34562956407472006,41.8516514614674
front,In front,0.2,200.0,-2.8902652413026098,-165.6,0.00667815246201276,0.0006730496540571019,3.506791205794783e-05,2.526470124037117,0.7577579603731287,0.047233400337350205,796.6255734509712,0.00020626616274094838,0.6566907346949974,0.38103112739608874,0.0008243405140136564,218.44042609109704,0.0006646687853982679,0.3810387548424039,0.0017443600603649155,-43.59063321622982,-0.2748721629780928,43.5909965477419
front,In front,0.2,200.0,-2.827433388230814,-162.0,0.006548820587410541,0.0006508563983708709,3.649376398507851e-05,2.321992431939846,0.6297054315950869,0.038768189376906584,639.5824956084124,0.00015046739981791957,0.5285380921697216,0.3444977580621372,0.0008263798584214563,271.6718735324813,0.0004368535932997186,0.3445008478235303,0.0012680769758903344,-44.70654540173724,-0.22795632975919486,44.706776819535484
front,In front,0.2,200.0,-2.7646015351590183,-158.4,0.006410208382344756,0.0006299462071743374,3.751859584262596e-05,2.1652263287035383,0.5390581715291223,0.03289607634337057,536.3561223337239,0.00011300144026612419,0.4377235803363091,0.316327781453465,0.000816106243798882,305.76395866494806,0.000327259397108454,0.31632914625463326,0.0010345534105321496,-45.35937404447309,-0.1936317275541872,45.35953357401107
front,In front,0.2,200.0,-2.7017696820872223,-154.8,0.006261708058750824,0.0006099445475297248,3.821922166068972e-05,2.0382817052941515,0.47064704677422275,0.02858126367496009,463.28613648166044,8.628382353847831e-05,0.36912856866752297,0.2933751799915817,0.0007967615251144801,323.3134952465887,0.0002662102123176703,0.2933757900965287,0.000907403478078678,-45.64913532735809,-0.16692897388896255,45.64925149556657
front,In front,0.2,200.0,-2.638937829015426,-151.2,0.0061032180670247,0.0005906022051554079,3.864928946594802e-05,1.9313826464450214,0.4166168258689411,0.025285303956255115,408.69086269628593,6.647534941389992e-05,0.3149486808999609,0.2738898697011454,0.0007706281437811628,330.91562958949,0.00022669161026733276,0.27389011835820165,0.000827673563494024,-45.644147403328056,-0.1453003908765054,45.64423544947516
front,In front,0.2,200.0,-2.5761059759436304,-147.6,0.005935021998988607,0.000571754534057484,3.884908328545202e-05,1.8387022746799033,0.37246905211135833,0.0226975284949633,366.12258481085155,5.1411131342598696e-05,0.270725322062333,0.2568182738916925,0.0007394390111230007,333.9231844096336,0.00019751746092113508,0.2568183395462458,0.0007690940657513586,-45.39445928027995,-0.12729716996006205,45.394528059083996
front,In front,0.2,200.0,-2.5132741228718345,-144.0,0.005757737183478147,0.000553302002213696,3.8850599839098784e-05,1.7565629652044041,0.3354351918359231,0.0206240896078557,342.7424127206163,3.976720707279446e-05,0.24149123739000333,0.23371693737868438,0.0007045852174322322,335.4360977829289,0.00017385726795796913,0.24149120798700355,0.0007199320812015885,-44.938889150005295,-0.11202768386473907,44.93894414474282
front,In front,0.2,200.0,-2.450442269800039,-140.4,0.005572303551855228,0.0005352022983881364,3.868033290035726e-05,1.6825623730642185,0.3037199337619549,0.018936354535245177,340.9165875017031,3.0680059405570874e-05,0.22746984581618385,0.2021420484106681,0.0006672302086651841,336.986921498147,0.0001535445199877161,0.22746976744959133,0.0006750106693705682,-44.30884193882036,-0.09890601325145305,44.308886719973884
front,In front,0.2,200.0,-2.387610416728243,-136.8,0.005379992755352721,0.0005174675087811105,3.8360936928904915e-05,1.6151009501034568,0.2761124747968215,0.017544475642904626,341.2987278231489,2.355494875160298e-05,0.2144614133036686,0.17479077412915808,0.0006283686278924435,339.2561225855905,0.00013557206771743418,0.21446131125386655,0.0006321516311021339,-43.53067470497037,-0.0875251886860669,43.53071169479525
front,In front,0.2,200.0,-2.3247785636564466,-133.2,0.005182433701732446,0.0005001647591097632,3.7912222451161264e-05,1.5531113343073695,0.251773638112966,0.01638308256326042,343.4956729398019,1.796321115876164e-05,0.20227130029603804,0.15081228252984213,0.0005888612760821775,342.5009758265317,0.0001194555249046604,0.20227118887206044,0.0005905711316119164,-42.62711684301623,-0.07758851672268517,42.62714774238424
front,In front,0.2,200.0,-2.261946710584651,-129.6,0.004981649389324013,0.0004834183971348506,3.735176705487557e-05,1.4958877288551333,0.23011075808446207,0.015403035094956719,347.2046818289071,1.358375687394122e-05,0.190772804617519,0.12959031443604277,0.0005494534336709393,346.7746330309599,0.00010495064105142298,0.19077269206301828,0.0005501345078086672,-41.61816114593907,-0.06887052919050608,41.61818718515317
front,In front,0.2,200.0,-2.199114857512855,-126.0,0.004780101044022491,0.00046741228432657715,3.669529638896919e-05,1.442972580352243,0.21070068022693897,0.014566515028423179,352.18028683134077,1.0168463464594735e-05,0.17988734639955772,0.11066725674406223,0.0005107819861754665,352.03291194825357,9.192157070130158e-05,0.17988723747069013,0.0005109955102639163,-40.52163472500712,-0.06119385875791024,40.52165681754271
front,In front,0.2,200.0,-2.1362830044410597,-122.40000000000002,0.004580735443485903,0.00045239096926926554,3.5956910171261905e-05,1.394074186642736,0.19323997363300927,0.013843981744751484,358.2138301464712,7.521071305473245e-06,0.16957056029537,0.09369602037750614,0.0004733780385476288,358.1855071669717,8.02772293729536e-05,0.16957045767736403,0.0004734151837090301,-39.35353410368976,-0.05441497858918643,39.35355294381646
front,In front,0.2,200.0,-2.0734511513692633,-118.79999999999998,0.0043870257760158125,0.0004386576959922418,3.5149231592884855e-05,1.3490085452944964,0.17751129569029261,0.013212214959330164,365.12068087828754,5.483944722196344e-06,0.15980202605591415,0.07840882371260788,0.0004376690623810047,365.1204631405528,6.994036156386267e-05,0.15980193117235866,0.000437669063513548,-38.12824992190985,-0.04841519279860171,38.12826604855084
front,In front,0.2,200.0,-2.0106192982974678,-115.2,0.004202992886295252,0.00042656741320544174,3.428350208906636e-05,1.3076517678810755,0.1633592392405318,0.012652936923807263,372.73631113707677,3.929393006708291e-06,0.15057708708790632,0.06459655953946122,0.0004039775106121346,372.71982771410404,6.0832377076642354e-05,0.15057700057925696,0.00040399514429577795,-36.85869472893093,-0.043094693603885535,36.85870856850479
front,In front,0.2,200.0,-1.9477874452256716,-111.6,0.004033184285940782,0.0004165124955117569,3.3369654323317064e-05,1.2699058829889485,0.1506728244682315,0.012151848807173937,380.9174573509433,2.7538822160922346e-06,0.1419006615104712,0.05209636217514116,0.0003725233873430395,380.87098545306395,5.286770684559799e-05,0.14190058352567336,0.0003725686359565456,-35.55639316664099,-0.03836853659921609,35.556405062434976
