Condition,Steps,Step min,Step max,Mean measured-reference error [mm],Max measured-reference error [mm],Mean predicted-measured error [mm],Median predicted-measured error [mm],Max predicted-measured error [mm],Mean one-step prediction error [mm],Max one-step prediction error [mm],Mean raw model error [mm],Median raw model error [mm],Max raw model error [mm],Mean prediction-reference error [mm],Max prediction-reference error [mm],Mean wall clearance [mm],Minimum wall clearance [mm],Mean Jacobian gain,Median Jacobian gain,Mean Jacobian directional cosine,Mean Jacobian XY error [mm],Max Jacobian XY error [mm],Final reference index
With boundary conditions,30,0,29,0.0017815691113164834,0.0031691524135278,0.0010278304793095395,0.0008272408694041499,0.0023633230289381,0.00209013637341246,0.0035546132296131,0.00126741405246105,0.0015354235991794,0.0016893513934369,0.000424921153804627,0.0016808618430679,2.6390693525014934,0.7774572274026497,0.9624864040563038,0.9188615988536009,0.9138353488420696,0.6101089589937414,1.2534774503481496,1474
Without boundary conditions,30,0,29,0.0011958284286569501,0.0017625590901454,0.0011199976837049333,0.00106296887106435,0.0021175495429766,0.00120379160863906,0.0016502639504873,0.0017605334849634666,0.0010444751585326501,0.0046731509755744,6.19365352872858e-07,3.699576512626433e-06,2.709346822123421,1.8896661982479657,0.6431190710369987,0.6503359290746823,0.892244504872106,0.758156149740996,1.462294475371437,1208
