Condition,Steps,Step min,Step max,Mean measured-reference error [mm],Max measured-reference error [mm],Mean predicted-measured error [mm],Median predicted-measured error [mm],Max predicted-measured error [mm],Mean one-step prediction error [mm],Max one-step prediction error [mm],Mean raw model error [mm],Median raw model error [mm],Max raw model error [mm],Mean prediction-reference error [mm],Max prediction-reference error [mm],Mean wall clearance [mm],Minimum wall clearance [mm],Mean Jacobian gain,Median Jacobian gain,Mean Jacobian directional cosine,Mean Jacobian XY error [mm],Max Jacobian XY error [mm],Final reference index
With boundary conditions,30,0,29,0.0017815691113164834,0.0031691524135278,0.0010278304793095395,0.0008272408694041499,0.0023633230289381,0.00209013637341246,0.0035546132296131,0.00126741405246105,0.0015354235991794,0.0016893513934369,0.000424921153804627,0.0016808618430679,2.6390693525014934,0.7774572274026497,0.9624864040563038,0.9188615988536009,0.9138353488420696,0.6101089589937414,1.2534774503481496,1474
Without boundary conditions,37,0,36,0.001583585927544475,0.0032030558634684,0.0013085093783541946,0.0011715263455429,0.0027321737946633,0.0015031413082222573,0.0028676656925141,0.0032451889553883374,0.0019297831214258,0.0086851396927157,9.46272007689651e-05,0.0007528427047608,2.5473953882704534,1.6119170765370257,0.5983060503393784,0.5378467478181228,0.8646782748435459,0.9856934979977945,1.8513598201440191,1382
