controller,key,rep,run_dir,stop_reason,steps,n_track,rms_track_mm,mean_track_mm,max_track_mm,p95_track_mm,mean_hold_mm,final_mm,duration_s
naive_inverse_jacobian_ltv,inv_ltv,1,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/inv_ltv_rep1_20260916T144156Z,path_complete,234,212,0.9835085010807548,0.785245283018868,2.609,2.0389,0.6214090909090909,0.746,49.6432
mpc_ltv_offline,ltv,1,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/ltv_rep1_20260916T144348Z,path_complete,232,211,1.4679339012328263,1.2824976303317535,3.204,2.7235,0.5674285714285715,0.514,51.2937
naive_inverse_jacobian_ltv,inv_ltv,2,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/inv_ltv_rep2_20260916T144537Z,path_complete,233,212,1.4223450391439336,1.2058254716981134,3.179,2.7148,0.2403333333333333,0.151,47.2994
mpc_ltv_offline,ltv,2,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/ltv_rep2_20260916T145017Z,path_complete,232,211,1.4638207715375657,1.2824170616113746,3.099,2.7675,0.7710476190476189,0.684,41.764
naive_inverse_jacobian_ltv,inv_ltv,3,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/inv_ltv_rep3_20260916T145157Z,path_complete,234,212,1.2997777821685013,1.085245283018868,2.935,2.5274999999999994,0.15372727272727274,0.124,46.7141
mpc_ltv_offline,ltv,3,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/ltv_rep3_20260916T145342Z,path_complete,233,211,1.4456396704822532,1.2596398104265403,3.079,2.7409999999999997,0.595090909090909,0.601,49.1361
naive_inverse_jacobian_ltv,inv_ltv,4,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/inv_ltv_rep4_20260916T145529Z,path_complete,233,212,1.417589678039107,1.2054764150943396,3.01,2.7468,0.2707142857142857,0.091,48.2035
mpc_ltv_offline,ltv,4,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/ltv_rep4_20260916T145715Z,path_complete,232,211,1.5402207926292235,1.3766303317535542,3.273,2.7729999999999997,0.6988095238095239,0.627,47.2769
naive_inverse_jacobian_ltv,inv_ltv,5,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/inv_ltv_rep5_20260916T145901Z,path_complete,233,212,1.4721964481941503,1.2585330188679245,3.116,2.86235,0.20247619047619048,0.269,48.1057
mpc_ltv_offline,ltv,5,close_loop_logs/pilot_invltv_vs_ltv_ushape10x15mm_2026-09-16/runs/ltv_rep5_20260916T150220Z,path_complete,234,212,1.6230639584463538,1.434518867924528,3.47,2.9986999999999995,0.8013181818181817,0.737,42.6968
