controller,key,rep,run_dir,stop_reason,steps,n_track,rms_track_mm,mean_track_mm,max_track_mm,p95_track_mm,mean_hold_mm,final_mm,duration_s
naive_inverse_jacobian_ltv,inv_ltv,1,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/inv_ltv_rep1_20260916T140359Z,path_complete,285,263,1.1501759709968535,0.9562319391634981,2.816,2.3709,0.5995454545454545,0.539,48.5166
mpc_ltv_offline,ltv,1,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/ltv_rep1_20260916T140545Z,path_complete,284,263,1.4043637802850177,1.205148288973384,3.342,2.7285999999999984,0.8876190476190479,0.873,47.5291
naive_inverse_jacobian_ltv,inv_ltv,2,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/inv_ltv_rep2_20260916T140727Z,path_complete,285,263,1.4101954466380293,1.1668022813688215,3.236,2.8375999999999997,0.24763636363636363,0.402,59.5107
mpc_ltv_offline,ltv,2,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/ltv_rep2_20260916T140924Z,path_complete,285,263,1.3040543155078614,1.1250266159695819,3.08,2.6389,0.9470909090909089,0.982,53.0382
naive_inverse_jacobian_ltv,inv_ltv,3,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/inv_ltv_rep3_20260916T141112Z,path_complete,284,263,1.3835626259493838,1.1458821292775667,3.331,2.8513999999999995,0.10500000000000002,0.044,49.9945
mpc_ltv_offline,ltv,3,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/ltv_rep3_20260916T141300Z,path_complete,284,263,1.3691333316547036,1.1862775665399239,3.024,2.755199999999996,1.1187619047619048,1.156,48.7757
naive_inverse_jacobian_ltv,inv_ltv,4,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/inv_ltv_rep4_20260916T141442Z,path_complete,284,263,1.377936304796432,1.1149543726235742,3.392,2.8316999999999997,0.08985714285714286,0.057,53.4045
mpc_ltv_offline,ltv,4,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/ltv_rep4_20260916T141634Z,path_complete,284,262,1.2202833249412903,1.04537786259542,2.876,2.33235,0.8925909090909088,0.83,54.431
naive_inverse_jacobian_ltv,inv_ltv,5,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/inv_ltv_rep5_20260916T141822Z,path_complete,285,263,1.3625547800059674,1.119216730038023,3.338,2.8291,0.1428636363636364,0.221,55.9969
mpc_ltv_offline,ltv,5,close_loop_logs/pilot_invltv_vs_ltv_rectangle10x15mm_2026-09-16/runs/ltv_rep5_20260916T142017Z,path_complete,283,262,1.1871870226369379,1.028591603053435,2.597,2.1860999999999997,1.0603809523809524,1.05,51.7635
