N_sqp,Np,bend_angle_deg,error,final_i_ref,final_infeasible,final_status,final_tip,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,rollout_steps,run_name,solver_mode,success
5,5,-30.0,,40,0,solved,"[0.7611312603094424, -0.7000849978268282, -0.10000225960603211]",no_contact,run_experiment_2_extra/bend_m30_jac_no_contact_plant_contact_1_lti_rollout1_Np5_sqp5/log.csv,14164.624578238818,10733.676185520313,1.0,14,0,True,1,bend_m30_jac_no_contact_plant_contact_1_lti_rollout1_Np5_sqp5,lti,True
5,5,-30.0,,41,0,solved,"[0.760668913769454, -0.6987281444206682, -0.10000223510065989]",no_contact,run_experiment_2_extra/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout1_Np5_sqp5/log.csv,13504.732529505656,10632.139873325516,1.0,14,0,True,1,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout1_Np5_sqp5,ltv_oneshot,True
5,5,-30.0,,41,0,solved,"[0.7597471191478257, -0.7008399214202009, -0.10000357187739123]",no_contact,run_experiment_2_extra/bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13504.732529505656,10293.164544849813,5.0,13,0,True,1,bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5,sqp_full,True
5,5,-30.0,,40,0,solved,"[0.7610197074410927, -0.7004557975550623, -0.10000176278444667]",contact,run_experiment_2_extra/bend_m30_jac_contact_plant_contact_1_lti_rollout1_Np5_sqp5/log.csv,13504.78293254997,10678.042413726043,1.0,14,0,True,1,bend_m30_jac_contact_plant_contact_1_lti_rollout1_Np5_sqp5,lti,True
5,5,-30.0,,41,0,solved,"[0.7604057007767536, -0.6990973505458768, -0.10000169351706406]",contact,run_experiment_2_extra/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout1_Np5_sqp5/log.csv,13504.78293254997,11352.207915895535,1.0,14,0,True,1,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout1_Np5_sqp5,ltv_oneshot,True
5,5,-30.0,,41,0,solved,"[0.7597518635097655, -0.7007326204658347, -0.10000675376754953]",contact,run_experiment_2_extra/bend_m30_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13504.78293254997,10749.175465675859,5.0,13,0,True,1,bend_m30_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5,sqp_full,True
5,5,-60.0,,41,0,solved,"[0.7646013003064798, -0.6948603176524415, -0.10002157726387484]",no_contact,run_experiment_2_extra/bend_m60_jac_no_contact_plant_contact_1_lti_rollout1_Np5_sqp5/log.csv,314001.6540549247,23808.9936346763,1.0,21,0,True,1,bend_m60_jac_no_contact_plant_contact_1_lti_rollout1_Np5_sqp5,lti,True
5,5,-60.0,,41,0,solved,"[0.7653494748680931, -0.6943570159665104, -0.10001466050867056]",no_contact,run_experiment_2_extra/bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout1_Np5_sqp5/log.csv,35484.92399006312,9320.852286349125,1.0,22,0,True,1,bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout1_Np5_sqp5,ltv_oneshot,True
5,5,-60.0,,40,0,solved,"[0.7680794046860828, -0.6935289145731184, -0.1000126267640843]",no_contact,run_experiment_2_extra/bend_m60_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13504.732529505656,7708.037832835021,5.0,13,0,True,1,bend_m60_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5,sqp_full,True
5,5,-60.0,,41,0,solved,"[0.7644266715811554, -0.6945655621958489, -0.10002444762889537]",contact,run_experiment_2_extra/bend_m60_jac_contact_plant_contact_1_lti_rollout1_Np5_sqp5/log.csv,33027.43488449772,12879.58537468388,1.0,23,0,True,1,bend_m60_jac_contact_plant_contact_1_lti_rollout1_Np5_sqp5,lti,True
