Condition,Steps,Step min,Step max,Mean measured-reference error [mm],Max measured-reference error [mm],Mean predicted-measured error [mm],Median predicted-measured error [mm],Max predicted-measured error [mm],Mean one-step prediction error [mm],Max one-step prediction error [mm],Mean raw model error [mm],Median raw model error [mm],Max raw model error [mm],Mean prediction-reference error [mm],Max prediction-reference error [mm],Mean wall clearance [mm],Minimum wall clearance [mm],Mean Jacobian gain,Median Jacobian gain,Mean Jacobian directional cosine,Mean Jacobian XY error [mm],Max Jacobian XY error [mm],Final reference index
With boundary conditions,20,0,19,0.0015957802447436498,0.0033676885748647,0.001224675501921255,0.00114756137035505,0.0017073382922705,0.00047115768780814203,0.001242591564904,0.001327355730757125,0.00145930609237485,0.0022587361252721,0.0004025173075311783,0.0017926605425715,2.9589753895443307,2.0313274959424064,1.0190942178914648,0.8473835947057655,0.9446454623642024,0.4711576878082056,1.2425915649041137,1425
Without boundary conditions,25,0,24,0.001535285451919708,0.0032550952809834,0.001286158436903288,0.001214710647667,0.0023531759788687,0.0006744591309074915,0.00127000823629,0.004501692001628672,0.0029635324190038,0.0108556359167961,0.0002615487629650412,0.0017820626665349,2.757221029408099,2.085542000517023,0.7185400095421982,0.6927570493094959,0.8818521194910917,0.6744591309075464,1.2700082362901122,1429
