angle_deg,magnet_x,magnet_y,magnet_z,cos_wrapper_success,cos_wrapper_tip_x,cos_wrapper_tip_y,cos_wrapper_tip_z,cos_wrapper_message,der_wrapper_success,der_wrapper_tip_x,der_wrapper_tip_y,der_wrapper_tip_z,der_wrapper_message,der_wrapper_W,cos_bvp_direct_success,cos_bvp_direct_tip_x,cos_bvp_direct_tip_y,cos_bvp_direct_tip_z,cos_bvp_direct_message,cos_bvp_direct_B_tip,cos_bvp_direct_theta_y,cos_bvp_direct_theta_z,cos_bvp_direct_theta_total,tipdiff_cos_wrapper_vs_der_wrapper,tipdiff_cos_wrapper_vs_cos_bvp_direct,tipdiff_der_wrapper_vs_cos_bvp_direct
0.0,0.6731328220229531,-0.7112731669220016,-0.1,True,0.7831328239444717,-0.7112780895594668,-0.10000492466539607,wrapper run complete,False,0.783138527210698,-0.7116118638814378,-0.10045736602866191,Iteration limit reached,-0.0006763587941047148,True,0.7831328238073753,-0.7112779170564233,-0.10000475164260016,The algorithm converged to the desired accuracy.,0.04409077468859051,-3.1414209303218428,-3.141420784318099,3.141349696955451,0.0005622641838555211,2.44323979016308e-07,0.0005625058161626487
-5.0,0.6736084847614849,-0.7003786990785444,-0.1,True,0.7831408105119351,-0.7108302296303817,-0.10000490643591599,wrapper run complete,False,0.7831328749644901,-0.7113929096845353,-0.10047129210110564,Iteration limit reached,-0.0006726433023692077,True,0.7831411818288896,-0.7108141715722341,-0.10000475762015096,The algorithm converged to the desired accuracy.,0.04405520883828965,3.096827502060327,-3.141420137619024,3.0968271705278063,0.0007308812522906532,1.6063039995032627e-05,0.0007434118835112128
-10.0,0.675031852896427,-0.6895671447136353,-0.1,True,0.7831648151608994,-0.7103855014774706,-0.10000487819646757,wrapper run complete,False,0.7831347725358986,-0.7112360351288021,-0.10057218657781485,Iteration limit reached,-0.0006627714670438147,True,0.783166287981654,-0.7103538016294129,-0.10000477768084531,The algorithm converged to the desired accuracy.,0.04394969040542355,3.0521376703243313,-3.1414179788384966,3.0521375015972616,0.0010228141820052452,3.17342034916379e-05,0.0010494198526451977
-15.0,0.6773920937368196,-0.6789207862841865,-0.1,True,0.7832042214776904,-0.7099474717868559,-0.10000499484426739,wrapper run complete,False,0.7831469482746227,-0.7110244776076032,-0.10068335558515107,Iteration limit reached,-0.0006470277757157704,True,0.7832075222259111,-0.7099001463097162,-0.1000048111430858,The algorithm converged to the desired accuracy.,0.043774338271763746,3.0079422499489272,-3.1414143570973034,3.007942133828749,0.0012741252106780948,4.7440799650098165e-05,0.0013146150124050257
-20.0,0.6806712444247146,-0.668520649006293,-0.1,True,0.7832580249750669,-0.709519309847757,-0.10000506824662254,wrapper run complete,False,0.7831946192157003,-0.7105116129776754,-0.1009628894590922,Iteration limit reached,-0.0006280527773440398,True,0.7832638586916437,-0.7094565104545372,-0.1000048582790723,The algorithm converged to the desired accuracy.,0.04352935638110258,2.9644933343920856,-3.141409218279452,2.9644932433060425,0.0013806184364347383,6.307012069317578e-05,0.0014268353728625791
-25.0,0.6848443486433718,-0.6584458842044143,-0.1,True,0.7833248578070555,-0.7091040812371684,-0.10000506877808475,wrapper run complete,False,0.783223218361516,-0.7101024954405124,-0.10096787579247082,Iteration limit reached,-0.0006066858285983682,True,0.7833338742855329,-0.7090261568555317,-0.10000491938038306,The algorithm converged to the desired accuracy.,0.043215040917804634,2.9220506973006555,-3.141402496615649,2.9220506201184597,0.001390740394638648,7.844442910280251e-05,0.001448459365884736
-30.0,0.6898796465498983,-0.6487731669220017,-0.1,True,0.7834029466035276,-0.7087050220334786,-0.10000506687664446,wrapper run complete,False,0.7832612673431254,-0.7097410365422736,-0.10095341063265194,Iteration limit reached,-0.0005803811658955228,True,0.7834157661685615,-0.7086122723710401,-0.10000499482951279,The algorithm converged to the desired accuracy.,0.04283180253546046,2.8808825888052603,-3.1413941078657484,2.8808825198329093,0.0014116497280912857,9.363143874207827e-05,0.0014823869187785335
-35.0,0.6957388164868292,-0.639576112378121,-0.1,True,0.7834902043920988,-0.7083251088464282,-0.10000525197269637,wrapper run complete,False,0.7833049629688419,-0.7093741926433234,-0.1009165579540043,Iteration limit reached,-0.0005503098781738578,True,0.7835073663892209,-0.7082179885164093,-0.10000508509271312,The algorithm converged to the desired accuracy.,0.04238017901142491,2.841270844176938,-3.141383953291102,2.841270780009205,0.0014019164701813852,0.0001084865295670819,0.0014861217663921784
-40.0,0.7023772666330808,-0.6309247157111844,-0.1,True,0.7835842167507869,-0.7079672718064353,-0.10000526555600545,wrapper run complete,False,0.783402679767781,-0.7089464800169176,-0.10103920541836597,Iteration limit reached,-0.0005149676627791265,True,0.7836061671179749,-0.707846369071327,-0.10000519072875581,The algorithm converged to the desired accuracy.,0.041860865943939035,2.803508005940349,-3.141371927339778,2.803507944276055,0.0014355612263686549,0.0001228791909781962,0.0015234295430464689
-45.0,0.7097444743746346,-0.6228848192736832,-0.1,True,0.7836822948391803,-0.7076343383211228,-0.10000539378053086,wrapper run complete,False,0.7834105964405934,-0.7088351836872169,-0.10103049278544882,Iteration limit reached,-0.0004753527951127327,True,0.7837093529813298,-0.7075003986171385,-0.10000531232251174,The algorithm converged to the desired accuracy.,0.04127476779215825,2.767905889842811,-3.1413579171175403,2.767905828943766,0.001602085385660871,0.00013664550484877687,0.0017093570825092981
