case,run_id,run_name,n_steps,final_step,final_i_ref,final_meas_ref_idx,mean_meas_ref_err_xy_mm,median_meas_ref_err_xy_mm,p95_meas_ref_err_xy_mm,max_meas_ref_err_xy_mm,mean_one_step_pred_err_xy_mm,median_one_step_pred_err_xy_mm,p95_one_step_pred_err_xy_mm,max_one_step_pred_err_xy_mm,mean_pred_meas_err_xy_mm,median_pred_meas_err_xy_mm,max_pred_meas_err_xy_mm,mean_raw_model_err_xy_mm,mean_nom_corr_resid_xy_mm,min_closest_distance_mm,mean_closest_distance_mm,mean_jac_pred_xy_mm,mean_jac_real_xy_mm,mean_jac_gain_real_over_pred,median_jac_gain_real_over_pred,p05_jac_gain_real_over_pred,p95_jac_gain_real_over_pred,mean_jac_gain_abs_err_from_1,mean_jac_cos_xy,mean_jac_angle_xy_deg,median_jac_angle_xy_deg,p95_jac_angle_xy_deg,max_jac_angle_xy_deg,mean_jac_err_xy_mm,median_jac_err_xy_mm,max_jac_err_xy_mm,mean_jac_err_xyz_mm,median_jac_err_xyz_mm,max_jac_err_xyz_mm
BC,0,Proper-Research,23,22.0,160.0,165.0,1.1284642188155958,1.1176161378094,1.2616451842685799,1.2828740228023001,0.4143964296971775,0.3901840219892,0.8514460266748001,0.9446942180853,1.079975085307309,1.1015178302702,1.2700776844279,0.925443462122339,0.0006891545796507641,2.6515975873123807,3.029986635088864,1.0794630533601273,0.9501998258772472,0.8896164858761261,0.901641681303657,0.5030520838512403,1.2518243963207458,0.21080068891935835,0.9221906141071052,19.18135147039747,16.08194434394919,48.25833625157598,51.450250249394905,0.4325133111327338,0.3944919104902578,0.9446942180853546,0.4428193428627429,0.4029399301730796,0.9446945346594796
BC,1,Proper-Research,25,24.0,161.0,166.0,1.21196791891784,1.1972517012468,1.42836525349004,1.8763195785386,0.5321227270450392,0.4888610251917,1.0895475372205599,1.4746083716051002,1.116334021569904,1.1251111494267,1.4348336689879,1.0131457112958577,8.720902946317647e-05,1.8217136122336228,2.870425662895425,1.121457566383638,1.041767820600766,0.917021410437649,0.8675689117716311,0.3990204587277725,1.6310265816832257,0.29830903958146665,0.9180904837079066,20.6875446249278,22.942801278334475,37.11297850810614,39.71221616844903,0.5423880926315905,0.5035544833023156,1.4746083716052063,0.6070555601175432,0.5483263739701423,1.6150105968376784
No BC,0,Proper-Research,28,27.0,166.0,171.0,1.2359476795590396,1.23169439713435,1.50263388434252,1.6287518108646,0.7068114142612922,0.72912572840115,1.03701931732195,1.5029525568855,1.23014695907395,1.23169478931585,1.5283032474133,5.229721612397832,1.3272038146605848e-07,2.148625861494793,2.7629252577571606,1.223022223041231,0.9323868790402765,0.7614517580054883,0.6759874770618397,0.33724195891381115,1.3827150303881781,0.39070843367629426,0.8557145956164933,28.19879780520766,26.50306606189301,51.45917679397274,53.2668994235917,0.7208493349010984,0.7346131997698147,1.5029525568856126,0.7208527468375384,0.7346165909860941,1.5029533038045635
No BC,1,Proper-Research,26,25.0,161.0,166.0,1.267839640742281,1.2159370126577,1.668910527711625,1.7688105679535,0.7386830488708331,0.74877238505485,1.1303165468729,1.6611598985454,1.2618916511989116,1.2159370669429999,1.7189280707931,4.997842496569415,1.53118527132596e-07,2.078439147847348,2.739866255516408,1.267871451810335,0.9656554839373825,0.7488958049582952,0.5810207561852507,0.27767745995038495,1.4498601842076821,0.40633098465248507,0.8688530055505561,26.725943542093287,24.371061842148467,44.90459364562943,61.63211675528216,0.7538263295744868,0.7520888782934069,1.6611598985455056,0.7538289321632248,0.7520890127857474,1.6611604815394632
