case,n_steps,final_step,final_i_ref,final_meas_ref_idx,mean_meas_ref_err_xy_mm,median_meas_ref_err_xy_mm,p95_meas_ref_err_xy_mm,max_meas_ref_err_xy_mm,mean_one_step_pred_err_xy_mm,median_one_step_pred_err_xy_mm,p95_one_step_pred_err_xy_mm,max_one_step_pred_err_xy_mm,mean_pred_meas_err_xy_mm,median_pred_meas_err_xy_mm,max_pred_meas_err_xy_mm,mean_raw_model_err_xy_mm,mean_nom_corr_resid_xy_mm,min_closest_distance_mm,mean_closest_distance_mm,mean_jac_pred_xy_mm,mean_jac_real_xy_mm,mean_jac_gain_real_over_pred,median_jac_gain_real_over_pred,p05_jac_gain_real_over_pred,p95_jac_gain_real_over_pred,mean_jac_gain_abs_err_from_1,mean_jac_cos_xy,mean_jac_angle_xy_deg,median_jac_angle_xy_deg,p95_jac_angle_xy_deg,max_jac_angle_xy_deg,mean_jac_err_xy_mm,median_jac_err_xy_mm,max_jac_err_xy_mm,mean_jac_err_xyz_mm,median_jac_err_xyz_mm,max_jac_err_xyz_mm
BC,48.0,24.0,161.0,166.0,1.1719557292855145,1.1492968454180499,1.3766797647490299,1.8763195785386,0.4759351760381051,0.44974488610069996,0.937413905739315,1.4746083716051002,1.0989120312774103,1.11172479099305,1.4348336689879,0.9711217169002134,0.0003756412722613956,1.8217136122336228,2.9468819620714477,1.1013732340680458,0.9979744318199526,0.9039147073864858,0.891663491068001,0.4633240919262359,1.5809715850608448,0.25645721969958873,0.9200514156379581,19.967191377108946,19.650446628455242,39.10579026953218,51.450250249394905,0.489839284088659,0.4707434257490156,1.4746083716052063,0.5285078040391603,0.4970638130210239,1.6150105968376784
No BC,54.0,25.0,161.0,166.0,1.2513030682768962,1.23169439713435,1.5748168295922846,1.7688105679535,0.7221097988738723,0.73965261399775,1.1278261837349,1.6611598985454,1.2454314404674502,1.23169478931585,1.7189280707931,5.118076112184151,1.4254171086105803e-07,2.078439147847348,2.751822775196798,1.2445843522571463,0.9483814006254238,0.755415242117415,0.6747133332864359,0.29929978140490343,1.4378671709061337,0.3982192754917706,0.8620311388540236,27.490694794094978,26.420030109215546,51.35826482717446,61.63211675528216,0.7367036592633044,0.7450739600210043,1.6611598985455056,0.7367066820902723,0.7450742636792305,1.6611604815394632
BC_minus_NoBC,-6.0,-1.0,0.0,0.0,-0.07934733899138169,-0.08239755171630003,-0.19813706484325477,0.10750901058509998,-0.2461746228357672,-0.28990772789705,-0.1904122779955849,-0.18655152694029975,-0.14651940919003992,-0.11996999832279998,-0.28409440180520007,-4.146954395283938,0.0003754987305505345,-0.25672553561372524,0.19505918687464963,-0.14321111818910048,0.04959303119452885,0.14849946526907087,0.21695015778156512,0.16402431052133248,0.1431044141547111,-0.14176205579218187,0.05802027678393451,-7.523503416986031,-6.7695834807603035,-12.25247455764228,-10.181866505887257,-0.24686437517464538,-0.2743305342719887,-0.1865515269402993,-0.20819887805111204,-0.24801045065820654,-0.046149884701784716
