k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_0,p_now_1,p_now_2,p_now_3,p_now_4,p_now_5,p_now_6,p_now_7,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,tip_vessel_angle_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,sqp_iters_done,sqp_converged,sqp_du_final,sqp_du_rel_final,sqp_tol_u,sqp_tol_rel_u,i_closest,frame_path,sqp_du_0,sqp_du_rel_0,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_applied_5_vx,u_applied_5_vy,u_applied_5_vz,u_applied_5_wx,u_applied_5_wy,u_applied_5_wz,u_applied_5_dL,x_rollout_5_x,x_rollout_5_y,x_rollout_5_z,x_rollout_5_tx,x_rollout_5_ty,x_rollout_5_tz,x_pred_5_x,x_pred_5_y,x_pred_5_z,x_pred_5_tx,x_pred_5_ty,x_pred_5_tz,rollout_err_xy_5_m,rollout_err_xy_5_mm,rollout_err_xyz_5_m,rollout_err_xyz_5_mm,u_applied_6_vx,u_applied_6_vy,u_applied_6_vz,u_applied_6_wx,u_applied_6_wy,u_applied_6_wz,u_applied_6_dL,x_rollout_6_x,x_rollout_6_y,x_rollout_6_z,x_rollout_6_tx,x_rollout_6_ty,x_rollout_6_tz,x_pred_6_x,x_pred_6_y,x_pred_6_z,x_pred_6_tx,x_pred_6_ty,x_pred_6_tz,rollout_err_xy_6_m,rollout_err_xy_6_mm,rollout_err_xyz_6_m,rollout_err_xyz_6_mm,u_applied_7_vx,u_applied_7_vy,u_applied_7_vz,u_applied_7_wx,u_applied_7_wy,u_applied_7_wz,u_applied_7_dL,x_rollout_7_x,x_rollout_7_y,x_rollout_7_z,x_rollout_7_tx,x_rollout_7_ty,x_rollout_7_tz,x_pred_7_x,x_pred_7_y,x_pred_7_z,x_pred_7_tx,x_pred_7_ty,x_pred_7_tz,rollout_err_xy_7_m,rollout_err_xy_7_mm,rollout_err_xyz_7_m,rollout_err_xyz_7_mm,u_applied_8_vx,u_applied_8_vy,u_applied_8_vz,u_applied_8_wx,u_applied_8_wy,u_applied_8_wz,u_applied_8_dL,x_rollout_8_x,x_rollout_8_y,x_rollout_8_z,x_rollout_8_tx,x_rollout_8_ty,x_rollout_8_tz,x_pred_8_x,x_pred_8_y,x_pred_8_z,x_pred_8_tx,x_pred_8_ty,x_pred_8_tz,rollout_err_xy_8_m,rollout_err_xy_8_mm,rollout_err_xyz_8_m,rollout_err_xyz_8_mm,u_applied_9_vx,u_applied_9_vy,u_applied_9_vz,u_applied_9_wx,u_applied_9_wy,u_applied_9_wz,u_applied_9_dL,x_rollout_9_x,x_rollout_9_y,x_rollout_9_z,x_rollout_9_tx,x_rollout_9_ty,x_rollout_9_tz,x_pred_9_x,x_pred_9_y,x_pred_9_z,x_pred_9_tx,x_pred_9_ty,x_pred_9_tz,rollout_err_xy_9_m,rollout_err_xy_9_mm,rollout_err_xyz_9_m,rollout_err_xyz_9_mm
0,16,16,0,0.0013429752373513828,1.3429752373513828,-0.010193333275349513,-0.772770137918473,1.1872032955606037e-06,0.0,0.0,-0.031130671664050175,0.010002819664420052,0.6620823203003474,-0.658021002524615,-0.1,-0.0005333062581664645,-0.9999994414608976,0.0008549516503594774,-0.000318935735681498,0.017000398823124954,0.7812539284489047,-0.7081351228294509,-0.10000713810217231,-0.9855634568235955,0.1693061975400028,-0.00028991114252595107,solved,0,1.5278992430448546e-05,0.015278992430448547,1.5279002465256186e-05,0.015279002465256186,4.506128464638723,16,0.10553101259178957,0.0013388390564439692,1.3388390564439692,0.002661160943556031,2.6611609435560313,0.5092861485513848,0.5092860999969394,0.5185313242749631,1.0181532047354425,1.018153301804387,1.356301808957215,0.9997198328958007,0.5183860488554042,-0.09993495492316523,-0.49938500764591937,5.412317649199474e-06,-0.0999349549396511,-0.49938495812495987,5.4621053374726e-06,-0.08968571978185125,-0.5107163652913194,-1.2049136785541315e-05,-0.1962255506210419,-0.9805587861880236,1.0627262619637878e-05,-0.19622556936121302,-0.9805587824367501,1.0725023395504855e-05,-0.1729610451350348,-0.9849286656026597,-2.3237047062468277e-05,1,0,2.4703325020227815,390.59386415496664,1e-05,0.001,16,rollout_10_90_ltv_onshot_sqp/frames/frame_000000.png,2.4703325020227815,390.59386415496664,-0.010193333275349513,-0.772770137918473,1.1872032955606037e-06,0.0,0.0,-0.031130671664050175,0.010002819664420052,0.7820431381022769,-0.7104425285462111,-0.10000450930371245,-0.9987665154281964,-0.04965321114357456,-7.92625380640399e-05,0.7820328888671191,-0.7104311971390448,-0.10000449179247033,-0.9999999936159486,-7.981353050377999e-05,-7.998689136908112e-05,1.5278992430448546e-05,0.015278992430448547,1.5279002465256186e-05,0.015279002465256186,-0.00858156878391527,-0.2294818087109527,1.13755739830294e-06,0.0,0.0,-0.00924768927064296,0.01000311972507937,0.7819503374069975,-0.710600264611765,-0.10000451239523626,-0.9979148116458153,-0.06454473475286662,-7.689979976674899e-05,0.7819328853304618,-0.7105799225866785,-0.1000044794185702,-0.9999999937535088,-7.894788875009335e-05,-7.912150933651734e-05,2.6802480482734554e-05,0.026802480482734554,2.68025007692915e-05,0.026802500769291502,-0.0066883057103676044,0.1698604468975804,1.0578996797957443e-06,0.0,0.0,0.006832626774956472,0.01000340378631373,0.7818451622809386,-0.7104955583700318,-0.10000448653248584,-0.9985361879311935,-0.054087671415201384,-7.206054077044041e-05,0.7818328308301771,-0.710469493067405,-0.10000446673271554,-0.999999993889404,-7.808332610629632e-05,-7.825717909931924e-05,2.883512925072883e-05,0.02883512925072883,2.8835136048528384e-05,0.028835136048528383,-0.0046027998735854985,0.5029051982164071,9.539474363368603e-07,0.0,0.0,0.02023894496120473,0.010003678259495129,0.7817347219730748,-0.7101589448350152,-0.10000444800020628,-0.9997647461404539,-0.021689813110435188,-6.619628589322183e-05,0.7817327335312334,-0.7101416132969101,-0.1000044543833536,-0.9999999940236372,-7.721984482193345e-05,-7.739393602048005e-05,1.7445231842714558e-05,0.01744523184271456,1.7445233010499797e-05,0.017445233010499796,-0.002269350971158547,0.7940821264667937,8.234843624643502e-07,0.0,0.0,0.03195586187441889,0.010003966111797543,0.7816366275407142,-0.7096073717513666,-0.1000044330567603,-0.9995312762066637,0.030614114247886567,-6.23978806670635e-05,0.7816325984084512,-0.7096223856519587,-0.10000443757144342,-0.9999999941562238,-7.635736198609819e-05,-7.653172866402685e-05,1.5545131642478657e-05,0.015545131642478657,1.5545132298065364e-05,0.015545132298065364,0.00043971789296594853,1.000000010382926,6.604629979585629e-07,0.0,0.0,0.04198757942698143,0.01000428437673247,0.7815721389497612,-0.7089112695814498,-0.10000448471301383,-0.9953944711651666,0.09586366698478034,-6.42343321494965e-05,0.7815324354584211,-0.7089665656441981,-0.10000441737810349,-0.9999999942871636,-7.549597677783061e-05,-7.567053738418489e-05,6.807364967489847e-05,0.06807364967489847,6.807368297698425e-05,0.06807368297698425,0.003590862028565275,1.0000000078083955,4.601857133235186e-07,0.0,0.0,0.04942051071372792,0.01000462586919575,0.7815403444628016,-0.7082458314464527,-0.10000461216892614,-0.9875142446478318,0.15752971583500847,-7.243316773637362e-05,0.7814322691774024,-0.7083086353724427,-0.10000440034428626,-0.9999999944164603,-7.463562946113607e-05,-7.481044106684748e-05,0.0001249984017253283,0.12499840172532829,0.00012499858120620656,0.12499858120620656,0.006885029390734218,1.0000000052571751,2.2932941842202364e-07,0.0,0.0,0.05092257987989426,0.0100049426113595,0.7814477882655232,-0.7081865260352795,-0.1000057748571977,-0.9864888063280718,0.16382858285660795,-0.0001744379883075697,0.7813320998413811,-0.7076487531225213,-0.10000437138830748,-0.9999999945440966,-7.377650829363336e-05,-7.395156346819735e-05,0.0005500759194665565,0.5500759194665565,0.000550077709875526,0.5500777098755261,0.009168161263307571,1.0000000027175417,8.65991431605364e-09,0.0,0.0,0.0444749831385788,0.010005147856256235,0.7813511096852488,-0.7081593303339295,-0.10000664034292098,-0.9859540403691217,0.1670166708112416,-0.00024889944518256807,0.781231928608641,-0.7069871266150837,-0.10000434678647581,-0.9999999946701464,-7.291815143042966e-05,-7.309343606272681e-05,0.0011782468703533421,1.1782468703533422,0.001178249102651308,1.178249102651308,0.00720141577824841,0.7260355656411116,-8.026281195129064e-08,0.0,0.0,0.029197633136984116,0.010003894051845692,0.7812539284489047,-0.7081351228294509,-0.10000713810217231,-0.9855634568235955,0.1693061975400028,-0.00028991114252595107,0.7811318028258607,-0.7065054461318108,-0.10000432442174817,-0.9999999947945456,-7.20610160431788e-05,-7.223654729166577e-05,0.0016342462503047559,1.634246250304756,0.0016342486724585962,1.6342486724585963
1,18,18,2,0.0030480398793335025,3.0480398793335026,-0.03721865675649654,0.0019632544685112344,2.373484801474882e-06,0.0,0.0,-0.0005794186342669116,0.009999864928383772,0.6638204328168434,-0.6556435283549125,-0.1,-0.000533290018120896,-0.9999993966327609,0.0009058689450057073,-0.0003189628897957073,0.018000409014718652,0.7802900958752297,-0.7078561952988842,-0.10000723944193687,-0.9798559660201029,0.19970534870360604,-0.00024403684516199816,solved,0,4.6499548039597996e-09,4.649954803959799e-06,4.85487415344564e-09,4.85487415344564e-06,2.7256160986102165,17,0.547293370413864,0.003014332096618059,3.014332096618059,0.0009856679033819413,0.9856679033819413,0.10013053186197295,0.10013043596332671,0.10012695565383273,0.9999642845386545,0.9999652422416772,0.002060627753648457,0.9999999993532688,0.10012695558907751,-0.0978261921229656,0.02135787447376641,-2.726985588242505e-05,-0.0978260925228458,0.021357880543249053,-2.7687863557446235e-05,-0.09782203421460078,0.021360150392113475,-2.9083472158353274e-05,-0.976986642374138,0.21330031985855846,-0.00027234306435139843,-0.9769865833668707,0.21330058475997735,-0.0002765179567138513,-0.9769800107855,0.21333066857601832,-0.00029046595862659684,1,0,0.1307639294649037,20.675592641865833,1e-05,0.001,18,rollout_10_90_ltv_onshot_sqp/frames/frame_000001.png,0.1307639294649037,20.675592641865833,-0.03721865675649654,0.0019632544685112344,2.373484801474882e-06,0.0,0.0,-0.0005794186342669116,0.009999864928383772,0.7811561064146901,-0.7081137626790588,-0.10000716718564447,-0.985395658757374,0.17028009968844826,-0.00028870783291449044,0.7811561023563819,-0.7081137649489077,-0.10000716579003587,-0.9855278910557108,0.16951310281369347,-0.0002896994255090316,4.6499548039597996e-09,4.649954803959799e-06,4.85487415344564e-09,4.85487415344564e-06,-0.016261701470454692,0.011244472555155632,2.4750195674973828e-06,0.0,0.0,5.3350429046380986e-05,0.0099999376944005,0.7810591899855139,-0.7080851948257184,-0.10000729150119145,-0.985151055738359,0.17168957310933114,-0.00029641715925947333,0.7810583076656642,-0.7080922229491987,-0.10000720169430984,-0.9854923657692145,0.1697195133357319,-0.00028948865085470375,7.083290758652178e-06,0.007083290758652178,7.083860052795524e-06,0.007083860052795524,0.0016095170893865017,0.02059751374692619,2.6400153764729553e-06,0.0,0.0,0.0006466074267989377,0.009999977632784542,0.7809640967392854,-0.708044371253703,-0.10000731896126294,-0.9846738591266013,0.17440557366151915,-0.00029500597019912073,0.7809605414993112,-0.7080705202828755,-0.100007244731926,-0.9854568810983532,0.16992543015942338,-0.00028927675508973064,2.638960890085091e-05,0.02638960890085091,2.638971329769106e-05,0.026389713297691058,0.016166890195820904,0.028929031929272313,2.7908214051949095e-06,0.0,0.0,0.0011588391980997834,0.009999985541270224,0.7808690909351935,-0.7080034322273367,-0.10000735383185545,-0.9841886795015883,0.17712299837669257,-0.00029425663972882705,0.7808627997088944,-0.7080486850559421,-0.10000729508395473,-0.9854214373046757,0.17013085357682212,-0.0002890702488417133,4.568805122930765e-05,0.04568805122930765,4.5688088999734706e-05,0.045688088999734706,0.027340491179182178,0.034995483082784676,2.8416819327089945e-06,0.0,0.0,0.0015443648899891623,0.009999998948401721,0.7807741671198304,-0.7079624223135931,-0.10000739508585631,-0.983695516480904,0.17984172035902307,-0.00029406406500499013,0.7807650767498707,-0.7080267492357711,-0.10000734817589574,-0.9853860339426016,0.1703357879896868,-0.00028886121636100486,6.496605069500288e-05,0.06496605069500289,6.496606763111097e-05,0.06496606763111097,0.03524713318751194,0.03787202801655384,2.7158362437547006e-06,0.0,0.0,0.0017729388970710652,0.01000004711853104,0.7806820563946982,-0.7079086972526645,-0.10000746534627607,-0.9823477938329235,0.18706342844291976,-0.0002927298557586002,0.7806673662233742,-0.7080047462706857,-0.10000740348132639,-0.9853506708047821,0.17054023637044965,-0.0002886577159127666,9.716591478683973e-05,0.09716591478683972,9.716593448135719e-05,0.09716593448135719,0.03998612979158929,0.036796006586909326,2.3589235501621116e-06,0.0,0.0,0.001818210467492792,0.010000109403517577,0.7805900167497346,-0.7078691124343974,-0.10000706083011962,-0.9799813247807031,0.19908928794251388,-0.00024188344477600523,0.7805696613780203,-0.707982710904604,-0.10000746001875353,-0.9853153483111979,0.17074419807360178,-0.00028845551711493384,0.00011540777092939532,0.11540777092939532,0.00011540846131223321,0.1154084613122332,0.041362074594777316,0.031462274346260914,1.7586007348650022e-06,0.0,0.0,0.0016657008502771276,0.010000083486997957,0.7804902055683037,-0.7078642851462313,-0.10000711276557989,-0.9798841029108694,0.19956724792022534,-0.00024170251954168132,0.7804719560006906,-0.7079606803011326,-0.10000751251272483,-0.9852800660830741,0.17094767705675037,-0.0002882502976711651,9.810745438801765e-05,0.09810745438801766,9.810826878646291e-05,0.09810826878646291,0.03797888432204096,0.022298031838274376,9.890128624019443e-07,0.0,0.0,0.0013094912270816663,0.009999953636638545,0.7803901771984981,-0.7078604173910609,-0.1000071721567199,-0.9798523768729511,0.19972295997958342,-0.00024247354884033304,0.780374586678504,-0.707935477533518,-0.10000765246817422,-0.985234607703622,0.17120946157456013,-0.0002967329425247663,7.666217645865478e-05,0.07666217645865478,7.666368109131645e-05,0.07666368109131645,0.027600489516238835,0.011589320399607618,3.039234801470108e-07,0.0,0.0,0.000793380091572037,0.010001060768444137,0.7802900958752297,-0.7078561952988842,-0.10000723944193687,-0.9798559660201029,0.19970534870360604,-0.00024403684516199816,0.7802794616867144,-0.7078944578960978,-0.10000769418135516,-0.9851405506325637,0.1717498406060541,-0.00029622822995888266,3.9712873365086504e-05,0.039712873365086505,3.9715476817607786e-05,0.03971547681760779
2,20,20,2,0.0028338720043239577,2.8338720043239576,0.17730806143802139,0.23952293726685586,1.2796474087126277e-05,0.0,0.0,0.011100309064708196,0.010148767047130379,0.6929523438464021,-0.631405403469651,-0.1,-0.0005330817238937749,-0.9999985923950266,0.00155854816964368,-0.0003193108894864932,0.01902069225814371,0.7793210714248946,-0.7075856648663155,-0.10000923187789663,-0.9672685910657316,0.25375451440545843,-0.0003451906204926374,solved,0,2.1281245517127157e-07,0.00021281245517127157,2.1581505158961313e-07,0.00021581505158961312,37.76467770551732,20,0.41821352887262847,0.0028030130105578307,2.8030130105578306,0.0011969869894421694,1.1969869894421694,0.1004305663280173,0.1004301872396058,0.10038412094136522,0.9995375373419643,0.9995413102424007,0.12209374831149958,0.9999977295526835,0.10038389302450722,-0.09880087234239782,0.018018377273267577,-0.00015606981030784852,-0.09879995034645095,0.018021314027727442,-0.00015672024483714964,-0.09871708801278967,0.01821733181961438,-0.0001925949631859103,-0.9837729284499229,0.17941128813729448,-0.0015540070718919109,-0.9837674613782662,0.17944120710172817,-0.0015604894220026427,-0.9833934599123573,0.18147622999314003,-0.001918579964438856,1,0,1.2528156536691357,198.08754766403726,1e-05,0.001,20,rollout_10_90_ltv_onshot_sqp/frames/frame_000002.png,1.2528156536691357,198.08754766403726,0.17730806143802139,0.23952293726685586,1.2796474087126277e-05,0.0,0.0,0.011100309064708196,0.010148767047130379,0.7801913787872169,-0.7078379779670646,-0.10000743203690006,-0.9791837730325834,0.20297554967875808,-0.0002546807414979806,0.7801912959248832,-0.7078381739848565,-0.10000739616218171,-0.979846162092899,0.19975344580398807,-0.000243969771823844,2.1281245517127157e-07,0.00021281245517127157,2.1581505158961313e-07,0.00021581505158961312,0.2560264218078922,0.26958395037038896,1.251682949926019e-05,0.0,0.0,0.013408243669574185,0.010162769330244082,0.7800933270276191,-0.7078167026054999,-0.10000764382399423,-0.9782670797162248,0.20734861919147923,-0.00026620081970910985,0.7800929769238749,-0.7078174842108597,-0.10000769217749493,-0.9798363009396498,0.19980181162733335,-0.00024378543769505804,8.564342182168254e-07,0.0008564342182168254,8.57798129610307e-07,0.000857798129610307,0.3214583111643883,0.29051225678892184,1.1965932041944596e-05,0.0,0.0,0.015187055229190437,0.010177216326753944,0.779995954671886,-0.7077925422756588,-0.10000786852651947,-0.9771025581475237,0.21276868538974755,-0.0002781709615769911,0.7799950155666493,-0.7077946256045673,-0.10000802407905164,-0.9798263965616308,0.19985037706568648,-0.00024369602483578467,2.2852085214598208e-06,0.0022852085214598206,2.2904965786524267e-06,0.0022904965786524267,0.37070690115101046,0.30161979834593367,1.1162278877007144e-05,0.0,0.0,0.016370015807370106,0.010191968190552785,0.7798992351124109,-0.7077658669210615,-0.10000810006204024,-0.9757003257080339,0.21910908280943553,-0.0002902475569625228,0.7798972964814126,-0.7077701055845894,-0.10000845117505876,-0.9798164431318851,0.19989917071513844,-0.00024354831416795546,4.660961129493742e-06,0.004660961129493742,4.674167198809467e-06,0.004674167198809467,0.3946095778623774,0.2987949151303253,1.0137672361855348e-05,0.0,0.0,0.01666014093398641,0.010206739443246331,0.7798029840779533,-0.7077376290742627,-0.1000083294564778,-0.974119908682745,0.22603166227518337,-0.0003019222380152954,0.7797995794390346,-0.7077449189498136,-0.10000856682926673,-0.9798064421934487,0.19994818470416778,-0.00024345374137551556,8.045735001514826e-06,0.008045735001514826,8.04923583674393e-06,0.00804923583674393,0.3965629782366371,0.28457999868268163,8.941864801941361e-06,0.0,0.0,0.01620533945373461,0.010220994685901902,0.7797069666326638,-0.7077088680697443,-0.10000854983133099,-0.9724374510117678,0.23316368925636566,-0.00031286114596504035,0.7797017100336939,-0.7077197568605579,-0.1000088609093669,-0.9797963934313115,0.1999974205293447,-0.00024331174012303286,1.2091219876911281e-05,0.012091219876911282,1.2095220860167974e-05,0.012095220860167974,0.36826721253273853,0.2563405115924324,7.648724016000245e-06,0.0,0.0,0.01478008146102106,0.010233634182443727,0.7796107523979451,-0.707681166465452,-0.10000875298271868,-0.9707904543090226,0.2399287179910477,-0.0003226540780531144,0.7796034461606158,-0.7076957328975712,-0.10000917144464995,-0.9797862948301667,0.20004688780746135,-0.0002431903017797733,1.629607463758277e-05,0.016296074637582772,1.6301446530341818e-05,0.016301446530341816,0.3112336022085418,0.2158748023410063,6.373195233033771e-06,0.0,0.0,0.012467324167550566,0.010242730388096638,0.779514141073893,-0.7076500691678022,-0.10000899007413001,-0.9694070824815274,0.24545833762372696,-0.000336044118318801,0.7795045791207036,-0.707673848509448,-0.10000939574391701,-0.9797761498710934,0.2000965693403633,-0.0002430678798591334,2.5629827114300957e-05,0.02562982711430096,2.563303739093438e-05,0.02563303739093438,0.2218895451161599,0.16443029691450803,5.277633757317715e-06,0.0,0.0,0.00926092014024016,0.010243501084100038,0.7794182825907291,-0.7076148818975441,-0.10000913116513134,-0.9680634273346691,0.2507051730455216,-0.00034185562607087484,0.7794049453275872,-0.7076551899076726,-0.10000953844516028,-0.9797659570386906,0.200146472363781,-0.0002429575944047607,4.245725225023214e-05,0.04245725225023214,4.245920566451773e-05,0.04245920566451773,0.0951284914381095,0.10255302109309208,4.580439216105011e-06,0.0,0.0,0.0050965416183998006,0.01020000366403597,0.7793210714248946,-0.7075856648663155,-0.10000923187789663,-0.9672685910657316,0.25375451440545843,-0.0003451906204926374,0.7793046832489227,-0.7076410816505384,-0.10000968062394587,-0.9797557155930952,0.20019660034730452,-0.00024284160193765596,5.778920561228533e-05,0.05778920561228533,5.779094789251769e-05,0.057790947892517694
