k,status,infeasible,solver_mode,Np,N_sqp,rollout_steps,i_ref,tip_x,tip_y,tip_z,clearance_mm,tip_vessel_angle_deg,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,controller_solve_ms,controller_rollout_ms,controller_step_ms,qp_build_ms,osqp_ms,candidate_validation_ms,forward_calls,jacobian_calls,forward_time_ms,jacobian_time_ms,sqp_iterations,osqp_iterations,osqp_setup_performed,hessian_reused
0,solved,0,sqp_full,15,50,10,33,0.782347919971338,-0.713995608820601,-0.10000810125962292,5.058241324716019,22.68576756606001,-0.5000548063690925,-0.4999951594768434,0.0,0.0,-0.37141980667545554,5.235987751850721,-0.008147180995547088,82668.7428340083,1343.7317500356585,84012.47458404396,82380.42725028936,287.7030842937529,0.0,220,210,28382.700620917603,45089.05666670762,14,75,0,0
1,solved,0,sqp_full,15,50,10,40,0.7799515474551773,-0.7149391044330955,-0.10000231441570369,5.9907374008872845,24.03690945530571,0.23200621627971438,-0.4999978649533929,0.0,0.0,0.12155252107663461,5.235987028572518,0.07099411228638437,13159.555291989818,1233.3374170120806,14392.892709001899,13134.976959088817,24.456166080199182,0.0,55,45,6580.37075237371,6198.570997570641,3,25,0,0
2,solved,0,sqp_full,15,50,10,46,0.7775267801898013,-0.7149386036485041,-0.10000163520012302,5.988477769315212,21.246180878691884,-0.1802717101432772,0.2501110471261292,0.0,0.0,0.00015051351108299812,-0.015023590641453408,0.038583252917253445,13574.640791979618,1416.8600830016658,14991.500874981284,13564.697791123763,9.8093330161646,0.0,55,45,6999.11891517695,6314.585957443342,3,25,0,0
3,solved,0,sqp_full,15,50,10,52,0.7751042935628972,-0.7148600937157794,-0.1000005408629705,5.985866124124266,22.73757503911006,-0.05575452216025774,0.23136457873173397,0.0,0.0,5.4462090757557626e-05,-0.015370461438214331,0.03885495577150573,13090.38700000383,1323.463874985464,14413.850874989294,13081.551374052651,8.719375007785857,0.0,55,45,6728.81095809862,6056.8872092990205,3,25,0,0
4,solved,0,sqp_full,15,50,10,58,0.7726908445429383,-0.7146343625208351,-0.0999992416274682,5.983036218870361,21.79832892400478,-0.014868397436940486,0.1927351735065763,0.0,0.0,0.00011912174363377115,-0.012638543077496876,0.038372584253591704,11668.227834044956,1181.969124940224,12850.19695898518,11658.462999970652,9.649000014178455,0.0,55,45,6442.428709822707,4887.533456785604,3,25,0,0
5,solved,0,sqp_full,15,50,10,64,0.7702796750491493,-0.7143825792326939,-0.09999935900923987,5.981610771692022,19.486829259901203,0.009250090841602247,0.1477831890721952,0.0,0.0,5.161022326807189e-05,-0.009418247285164275,0.038382462895077483,13279.46112502832,1736.422208021395,15015.883333049715,13269.658541074023,9.665666962973773,0.0,55,45,8862.243249663152,4608.299709274434,3,25,0,0
6,solved,0,sqp_full,15,50,10,70,0.7678685338409335,-0.7141307372929806,-0.09999694656534969,5.977655059918914,17.536584202990607,0.0205840573116772,0.10662740876182655,0.0,0.0,2.2620270772292815e-05,-0.006534922288287862,0.03872178150009129,12952.350875013508,1415.2871660189703,14367.638041032478,12942.572251078673,9.667417034506798,0.0,55,45,7861.0293719684705,4877.138832001947,3,25,0,1
7,solved,0,sqp_full,15,50,10,76,0.7654569995034259,-0.7138781240187791,-0.09999545701286809,5.974611534048813,15.879694009247606,0.025016914730049397,0.07796063331091097,0.0,0.0,1.5340649633858242e-05,-0.004550522317912438,0.038990688713825855,7577.537542092614,1343.7482500448823,8921.285792137496,7566.892751026899,10.360541054978967,0.0,40,30,5393.77379079815,2490.1522076688707,2,25,0,1
8,solved,0,sqp_full,15,50,10,82,0.7630460091335189,-0.7136261139858291,-0.09999456094163246,5.972168634630625,14.464515130451847,0.026240568569074908,0.0575477818222431,0.0,0.0,1.2528111986688673e-05,-0.0033242714852284245,0.03917312238453269,7142.449207953177,1415.9234589897096,8558.372666942887,7136.039959033951,6.328416056931019,0.0,40,30,5224.412621813826,2300.9269582107663,2,25,0,1
9,solved,0,sqp_full,15,50,10,88,0.7606351801515803,-0.7133759546095448,-0.09999321052325182,5.969279041918644,13.252191711354165,0.026502049133897747,0.043145779337223085,0.0,0.0,1.0488274568591814e-05,-0.00290574378247821,0.03935981879102579,7578.23541702237,1467.0199999818578,9045.255417004228,7570.809917175211,7.325000013224781,0.0,40,30,5617.61449999176,2370.067166048102,2,25,0,0
10,solved,0,sqp_full,15,50,10,94,0.7582237689670849,-0.713124098106056,-0.09999212472201904,5.966649546147391,12.213111139121764,0.026156149605175878,0.03280771389941316,0.0,0.0,6.556504030729308e-06,-0.0023268088229877904,0.0395129786774132,7866.821167059243,1490.717833978124,9357.539001037367,7852.51041688025,14.146375004202127,0.0,40,30,5971.133919432759,2295.8923340775073,2,25,0,1
11,solved,0,sqp_full,15,50,10,99,0.758224025943356,-0.713123339499011,-0.0999919675052822,5.966502695355486,12.187092639982406,0.021542546427749734,-0.0016949881274854312,0.0,0.0,3.5048520742729467e-06,0.0004661798207214628,-3.477117069169438e-05,3641.5299579966813,1538.0120830377564,5179.542041034438,3638.657124945894,2.826749929226935,0.0,25,15,3772.373750107363,973.9909589989111,1,25,0,1
