s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.099273166922001055e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
2.777777777777777884e-03,7.953550453709660184e-01,-7.099290850798168906e-01,-1.000017683881796737e-01,-1.584331374231282089e-07,9.999999692120932204e-01,1.771428280189138026e-04,1.737705561052221316e-04
5.555555555555555768e-03,7.925772679352759420e-01,-7.099300692064559604e-01,-1.000027337802842364e-01,-1.585476007465792366e-07,9.999999943518279588e-01,7.771027083134335420e-05,7.250815745834159000e-05
8.333333333333333218e-03,7.897994902202555290e-01,-7.099305009301164482e-01,-1.000031366034473956e-01,-1.588968047766283897e-07,9.999999999645040605e-01,8.139861513790249792e-06,2.170148953951618435e-06
1.111111111111111154e-02,7.870217124428720012e-01,-7.099305461515673654e-01,-1.000031486598376568e-01,-1.589810211294561575e-07,9.999999981028216967e-01,-4.044368685282844367e-05,-4.646116312216955462e-05
1.388888888888888985e-02,7.842439346861738159e-01,-7.099303214644596682e-01,-1.000028905422295222e-01,-1.586754994050396344e-07,9.999999940729681347e-01,-7.413518858968912021e-05,-7.973714495575879397e-05
1.666666666666666644e-02,7.814661569742518132e-01,-7.099299096023735656e-01,-1.000024475580281458e-01,-1.582849653168981300e-07,9.999999900905944816e-01,-9.705051693421784423e-05,-1.019803072794276067e-04
1.944444444444444475e-02,7.786883793065784154e-01,-7.099293704329300292e-01,-1.000018810006857578e-01,-1.582078489546236421e-07,9.999999870081734965e-01,-1.118690105965412861e-04,-1.160558153719300483e-04
2.222222222222222307e-02,7.759106016731541766e-01,-7.099287489385367467e-01,-1.000012362460659665e-01,-1.580999174898786293e-07,9.999999851204384171e-01,-1.201867011746188052e-04,-1.237507777740261457e-04
2.500000000000000139e-02,7.731328240607047153e-01,-7.099280812347599223e-01,-1.000005487416496669e-01,-1.580530887361789603e-07,9.999999844880377298e-01,-1.229025200677679678e-04,-1.261700047540809111e-04
