x,y,z
7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01
7.971328224282377972e-01,-7.112738035415436810e-01,-1.000006366197446622e-01
7.961328228335223800e-01,-7.112744401610857636e-01,-1.000012732394893328e-01
7.951328232388070738e-01,-7.112750767806277352e-01,-1.000019098592339895e-01
7.941328236440917676e-01,-7.112757134001698178e-01,-1.000025464789786461e-01
7.931328240493763504e-01,-7.112763500197119004e-01,-1.000031830987233167e-01
7.921328244546610442e-01,-7.112769866392539830e-01,-1.000038197184679734e-01
7.911328248599456270e-01,-7.112776232587960656e-01,-1.000044563382126300e-01
7.901328252652303208e-01,-7.112782598783380372e-01,-1.000050929579573006e-01
7.891328256705150146e-01,-7.112788964978801198e-01,-1.000057295777019573e-01
7.881328260757995974e-01,-7.112795331174222024e-01,-1.000063661974466139e-01
7.871328264810842912e-01,-7.112801697369642850e-01,-1.000070028171912706e-01
7.861328268863688740e-01,-7.112808063565062566e-01,-1.000076394369359412e-01
7.851328272916535678e-01,-7.112814429760483392e-01,-1.000082760566805978e-01
7.841328276969382616e-01,-7.112820795955904218e-01,-1.000089126764252545e-01
7.831328281022228444e-01,-7.112827162151325044e-01,-1.000095492961699251e-01
7.821328285075075382e-01,-7.112833528346745871e-01,-1.000101859159145817e-01
7.811328289127922320e-01,-7.112839894542165586e-01,-1.000108225356592384e-01
7.801328293180768148e-01,-7.112846260737586412e-01,-1.000114591554039090e-01
7.791328297233615086e-01,-7.112852626933007238e-01,-1.000120957751485656e-01
7.781328301286462024e-01,-7.112858993128428065e-01,-1.000127323948932223e-01
7.771328305339307851e-01,-7.112865359323848891e-01,-1.000133690146378929e-01
7.761328309392154789e-01,-7.112871725519268606e-01,-1.000140056343825495e-01
7.751328313445001728e-01,-7.112878091714689432e-01,-1.000146422541272062e-01
7.741328317497847555e-01,-7.112884457910110259e-01,-1.000152788738718768e-01
7.731328321550694493e-01,-7.112890824105531085e-01,-1.000159154936165334e-01
7.721328325603541431e-01,-7.112897190300950800e-01,-1.000165521133611901e-01
7.711328329656387259e-01,-7.112903556496371626e-01,-1.000171887331058468e-01
7.701328333709234197e-01,-7.112909922691792453e-01,-1.000178253528505173e-01
7.691328337762081135e-01,-7.112916288887213279e-01,-1.000184619725951740e-01
7.681328341814926963e-01,-7.112922655082634105e-01,-1.000190985923398307e-01
7.671328345867773901e-01,-7.112929021278053821e-01,-1.000197352120845012e-01
7.661328349920620839e-01,-7.112935387473474647e-01,-1.000203718318291579e-01
7.651328353973466667e-01,-7.112941753668895473e-01,-1.000210084515738146e-01
7.641328358026313605e-01,-7.112948119864316299e-01,-1.000216450713184851e-01
7.631328362079159433e-01,-7.112954486059737125e-01,-1.000222816910631418e-01
7.621328366132006371e-01,-7.112960852255156841e-01,-1.000229183108077985e-01
7.611328370184852199e-01,-7.112967218450577667e-01,-1.000235549305524690e-01
7.601328374237699137e-01,-7.112973584645998493e-01,-1.000241915502971257e-01
7.591328378290546075e-01,-7.112979950841419319e-01,-1.000248281700417824e-01
7.581328382343391903e-01,-7.112986317036839035e-01,-1.000254647897864529e-01
7.571328386396649623e-01,-7.112992683232259861e-01,-1.000261014095310819e-01
