k,status,infeasible,solver_mode,rollout_steps,solver_mode_used,N_sqp_used,rollout_steps_used,rollout_steps_next,rollout_adaptation_reason,hierarchy_enabled,hierarchy_solver_mode,hierarchy_rollout_steps,hierarchy_N_sqp,hierarchy_confidence,hierarchy_risk,hierarchy_level,hierarchy_reason,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,adapt_pred_err_xy_mm,adapt_pred_err_xyz_mm,adapt_clearance_mm,adapt_tip_vessel_angle_deg,cond_H_beam,lambda_min_H_beam,lambda_max_H_beam,num_negative_H_beam,num_near_zero_H_beam,stationarity_norm,cond_H_mpc,lambda_min_H_mpc,lambda_max_H_mpc,num_negative_H_mpc,num_near_zero_H_mpc,valid_H_mpc,norm_H_mpc,norm_H_track,norm_H_effort,norm_H_smooth,qp_reg,path_idx_nearest,curvature_local_1pm,curvature_max_ahead_1pm,curvature_mean_ahead_1pm,curvature_lookahead_points,sqp_status_0,sqp_du_0,sqp_du_rel_0,sqp_status_1,sqp_du_1,sqp_du_rel_1,sqp_status_2,sqp_du_2,sqp_du_rel_2,sqp_status_3,sqp_du_3,sqp_du_rel_3,sqp_status_4,sqp_du_4,sqp_du_rel_4,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL,beam_eig_logged,beam_eig_failed,beam_eig_lambda_min,beam_eig_lambda_max,beam_eig_cond,beam_soft_direction_index,beam_soft_direction_absmax,beam_soft_dir_0,beam_soft_dir_1,beam_soft_dir_2,beam_soft_dir_3,beam_soft_dir_4,beam_soft_dir_5,beam_soft_dir_6,beam_soft_dir_7,beam_soft_dir_8,beam_soft_dir_9,beam_soft_dir_10,beam_soft_dir_11,beam_soft_dir_12,beam_soft_dir_13,beam_soft_dir_14,beam_soft_dir_15,beam_soft_dir_16,beam_soft_dir_17,beam_soft_dir_18,beam_soft_dir_19
0,solved,0,lti,5,lti,5,5,1,bad:tip_angle,False,,,,nan,nan,,,18,18,18,22,-0.05,-0.05000000000000218,0.0,0.0,0.0,-2.0943951023931953,0.099355835157713,0.6630031658057055,-0.7089273166922001,-0.1,0.0005287584410438384,0.9998880771916409,-0.014948142173359078,0.00032642009668386486,0.02144990563552916,0.7766829307796498,-0.7099508850314666,-0.10000286664494895,-0.9999990810990657,-0.0013496185191755534,0.00012779231993475927,0.00022985119151926314,0.22985119151926314,0.0002298512130379219,0.22985121303792191,1,4.462029257774421,99.77400737753436,,21,0.5047724047538077,0.0005589705544716259,0.5589705544716259,0.003441029445528374,3.441029445528374,41.6008883870596,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.4709256337913812,0.47092569741944373,3.441029445528374,41.6008883870596,2.8336627887530246,1.87417850620366e-09,5.494156171385339e-09,0,0,6.5192237882895106e-18,4719137.629082062,2.0009999999992576e-06,9.442994395789704,0,0,True,9.573279067787476,9.572963160947028,0.07745966744054612,2.4819347291981716e-07,1e-09,16,47.09211363082122,155.41949702483305,94.68983728089529,10,solved,4.462029257774421,99.77400737753436,,nan,nan,,nan,nan,,nan,nan,,nan,nan,-0.05,-0.05000000000000218,0.0,0.0,0.0,-2.0943951023931953,0.099355835157713,0.7801458115777418,-0.7098750326727025,-0.10000430182500725,nan,nan,nan,0.780145739380704,-0.7101048838528831,-0.10000420236557235,nan,nan,nan,0.00022985119151926314,0.22985119151926314,0.0002298512130379219,0.22985121303792191,-0.05,-0.05000000000000218,0.0,0.0,0.0,-2.0943951023931953,0.04813330899330585,0.7791835395856672,-0.7098072123731026,-0.10000433431924133,nan,nan,nan,0.7791831055337202,-0.7102781378068612,-0.10000408951692233,nan,nan,nan,0.0004709256337913812,0.4709256337913812,0.0004709256974194437,0.47092569741944373,0.04351718913762138,0.049999999999997824,0.0,0.0,0.0,1.5267011677094113,0.04564376045155747,0.7782705598507706,-0.7098181430507927,-0.10000390431249055,nan,nan,nan,0.7782702033893533,-0.7101340292955604,-0.10000384457935332,nan,nan,nan,0.0003158864458917828,0.3158864458917828,0.0003158864515394573,0.31588645153945727,0.05,0.04999999999999886,0.0,0.0,0.0,2.0943951023931953,0.04195976465912212,0.7774310437750453,-0.7098806413655296,-0.10000338952395212,nan,nan,nan,0.7774309756581236,-0.7099604165417536,-0.10000359906299758,nan,nan,nan,7.977520530511894e-05,0.07977520530511893,7.977548049423111e-05,0.07977548049423111,0.05,0.049999999999999586,0.0,0.0,0.0,2.0943951023931953,0.03740261251475952,0.7766829307796498,-0.7099508850314666,-0.10000286664494895,nan,nan,nan,0.7766828909792177,-0.7097868162115808,-0.10000336595091398,nan,nan,nan,0.00016406882471331236,0.16406882471331236,0.00016406958447333963,0.16406958447333964,-0.05,-0.05000000000000218,0.0,0.0,0.0,-2.0943951023931953,0.099355835157713,-0.05,-0.05000000000000218,0.0,0.0,0.0,-2.0943951023931953,0.04813330899330585,0.04351718913762138,0.049999999999997824,0.0,0.0,0.0,1.5267011677094113,0.04564376045155747,0.05,0.04999999999999886,0.0,0.0,0.0,2.0943951023931953,0.04195976465912212,0.05,0.049999999999999586,0.0,0.0,0.0,2.0943951023931953,0.03740261251475952,False,False,nan,nan,nan,-1,nan,,,,,,,,,,,,,,,,,,,,
1,solved,0,lti,5,lti,5,5,1,"bad:prediction_error,low_clearance,tip_angle",False,,,,nan,nan,,,24,24,24,28,0.0393153125328851,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.0609130240460612,0.6637894720563632,-0.6989273166922001,-0.1,0.00044933724625633917,0.9749302301934943,-0.22250991015973126,0.00042922209591420615,0.02465575655511408,0.7734774306665091,-0.7100406854390565,-0.10000465676685713,-0.9999514647083798,-0.009852169901648047,5.455084689641973e-05,0.00040068006041407776,0.4006800604140778,0.0004006801255395676,0.4006801255395676,1,4.685750151670041,0.9998134421141673,,23,0.13784556326826763,0.0030075994592452812,3.0075994592452813,0.0009924005407547188,0.9924005407547188,55.97139605192311,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,2.345482456361935,2.3454832259001774,0.9924005407547188,55.97139605192311,4.584452032963658,2.5125594233289124e-09,1.1877153359518584e-08,0,0,1.9033631757534978e-14,4719140.585913254,2.000999999991487e-06,9.443000312372247,0,0,True,9.574285552542186,9.57396965152353,0.07745966744054612,2.4819347291981716e-07,1e-09,22,136.03937922659358,136.03937922659358,29.258028807014753,10,solved,4.685750151670041,0.9998134421141673,,nan,nan,,nan,nan,,nan,nan,,nan,nan,0.0393153125328851,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.0609130240460612,0.7754655395515238,-0.7101094306870819,-0.10000196306913249,nan,nan,nan,0.7754645346679886,-0.7097087518867661,-0.10000219151819618,nan,nan,nan,0.00040068006041407776,0.4006800604140778,0.0004006801255395676,0.4006801255395676,1.1699567726014395e-27,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.025722317861470907,0.7749534911651712,-0.7102800979508358,-0.10000135425710514,nan,nan,nan,0.7749502984646185,-0.7094723084263405,-0.10000178897470292,nan,nan,nan,0.0008077958338721645,0.8077958338721645,0.0008077959508444044,0.8077959508444045,1.7365935770777384e-24,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.0250559068915231,0.7744565439832868,-0.710463584303144,-0.10000074954398983,nan,nan,nan,0.7744497511444551,-0.709239997489888,-0.10000137076659925,nan,nan,nan,0.0012236056686014262,1.2236056686014263,0.0012236058262982707,1.2236058262982707,2.1423713441413177e-27,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.02506349665954665,0.7739601921025564,-0.7106247142676696,-0.10000042265042805,nan,nan,nan,0.7739493724969387,-0.7090085798726015,-0.10000095351476734,nan,nan,nan,0.0016161706119058013,1.6161706119058012,0.0016161706990924316,1.6161706990924316,8.695443079571017e-25,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.023537800520644223,0.7734774306665091,-0.7100406854390565,-0.10000465676685713,nan,nan,nan,0.7734851230287453,-0.7076952155968576,-0.10000655673461646,nan,nan,nan,0.002345482456361935,2.345482456361935,0.0023454832259001772,2.3454832259001774,0.0393153125328851,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.0609130240460612,1.1699567726014395e-27,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.025722317861470907,1.7365935770777384e-24,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.0250559068915231,2.1423713441413177e-27,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.02506349665954665,8.695443079571017e-25,0.09999999999999959,2.0735725867324377e-06,0.0,0.0,4.1887902047863905,0.023537800520644223,False,False,nan,nan,nan,-1,nan,,,,,,,,,,,,,,,,,,,,
2,solved,0,lti,5,lti,5,5,1,"bad:low_clearance,tip_angle",False,,,,nan,nan,,,25,25,25,29,-0.04999999999999994,0.1499999999999982,0.0,0.0,0.0,6.283185307179586,0.052622131877202216,0.6587894720563632,-0.6839273166922001,-0.1,0.00032016179702719415,0.8816710021669347,-0.4718642366214932,0.0005325711147053807,0.028037097525743765,0.7705954592208659,-0.7053088209640768,-0.1000150447695034,-0.9655622319447599,0.2601719052237642,-0.0003949355521319132,5.168301523309482e-05,0.05168301523309482,5.1686249905923916e-05,0.051686249905923916,1,4.442149592123823,0.4741207816295876,,28,0.4411132122727045,0.0030396923824255826,3.039692382425583,0.0009603076175744175,0.9603076175744175,44.883256269878835,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.31185778974640604,0.31186211806010283,0.9603076175744175,44.883256269878835,305.36739388597675,2.887430079515533e-09,9.121637377982344e-07,0,0,6.800996854539287e-14,14523901.303942824,2.001000000001541e-06,29.062326509211974,0,0,True,29.46217866551193,29.46207432158568,0.07745966744054612,2.4819347291981716e-07,1e-09,23,106.26792451824124,106.26792451824124,16.890812513691962,10,solved,4.442149592123823,0.4741207816295876,,nan,nan,,nan,nan,,nan,nan,,nan,nan,-0.04999999999999994,0.1499999999999982,0.0,0.0,0.0,6.283185307179586,0.052622131877202216,0.7724721914818793,-0.7085131159100225,-0.10000969569454111,nan,nan,nan,0.7724269036866245,-0.7085380187143735,-0.10000911745086125,nan,nan,nan,5.168301523309482e-05,0.05168301523309482,5.1686249905923916e-05,0.051686249905923916,-0.04999999999999994,0.1499999999999982,0.0,0.0,0.0,6.283185307179586,0.028180870244837734,0.7719791049801894,-0.7076816642441002,-0.10001143993577478,nan,nan,nan,0.7718922718166474,-0.707696227822101,-0.10001024053690306,nan,nan,nan,8.804598852242321e-05,0.08804598852242321,8.805415749721397e-05,0.08805415749721397,-0.04999999999999994,0.1499999999999982,0.0,0.0,0.0,6.283185307179586,0.028599229020271566,0.7715047067318478,-0.7068695667781099,-0.1000127572495064,nan,nan,nan,0.7713712612658247,-0.7068448909891497,-0.10001067440834119,nan,nan,nan,0.00013570772624627223,0.13570772624627223,0.00013572370902039426,0.13572370902039427,-0.04999999999999994,0.1499999999999982,0.0,0.0,0.0,5.7161500860152765,0.029314438671891995,0.7710410102809233,-0.7060724736457379,-0.10001386825807844,nan,nan,nan,0.7708551354347316,-0.7059901233001074,-0.10001113303711232,nan,nan,nan,0.00020330036367959928,0.20330036367959928,0.00020331876279869218,0.20331876279869218,-0.049999999999999975,0.14999999999999897,0.0,0.0,0.0,2.135885092036259,0.030350378717280857,0.7705954592208659,-0.7053088209640768,-0.1000150447695034,nan,nan,nan,0.77033395362375,-0.7051389089171155,-0.10001340170668661,nan,nan,nan,0.00031185778974640604,0.31185778974640604,0.0003118621180601028,0.31186211806010283,-0.04999999999999994,0.1499999999999982,0.0,0.0,0.0,6.283185307179586,0.052622131877202216,-0.04999999999999994,0.1499999999999982,0.0,0.0,0.0,6.283185307179586,0.028180870244837734,-0.04999999999999994,0.1499999999999982,0.0,0.0,0.0,6.283185307179586,0.028599229020271566,-0.04999999999999994,0.1499999999999982,0.0,0.0,0.0,5.7161500860152765,0.029314438671891995,-0.049999999999999975,0.14999999999999897,0.0,0.0,0.0,2.135885092036259,0.030350378717280857,False,False,nan,nan,nan,-1,nan,,,,,,,,,,,,,,,,,,,,
3,solved,0,lti,5,lti,5,5,1,bad:low_clearance,False,,,,nan,nan,,,30,30,30,34,-0.09999999999999971,0.19999999999999865,0.0,0.0,0.0,4.230280194429454,0.05468193869029963,0.6487894720563632,-0.6639273166922001,-0.1,0.00023792255342718123,0.8022369718654105,-0.5970054060363676,0.000574045666358439,0.032282919543811545,0.7680110909418177,-0.7008317271401285,-0.10001957411573337,-0.8290234043535676,0.5592136997484186,-0.00048275014928474103,6.527319341596925e-05,0.06527319341596924,6.527324144990003e-05,0.06527324144990003,1,3.646343096079484,0.7613148711144507,,33,0.6105748603438617,0.0030359820779933947,3.0359820779933946,0.0009640179220066054,0.9640179220066053,25.962079939765665,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.37560620344328477,0.3756064651115504,0.9640179220066053,25.962079939765665,1138.5598059703038,3.1797797757678704e-09,3.734125425123589e-06,0,0,3.089098558124762e-14,9632037.506695572,2.0010000000003485e-06,19.273707050901198,0,0,True,19.53896928900934,19.538813230631998,0.07745966744054612,2.4819347291981716e-07,1e-09,28,5.558141743751378e-11,1.5163212338157954e-10,5.562330064482068e-11,10,solved,3.646343096079484,0.7613148711144507,,nan,nan,,nan,nan,,nan,nan,,nan,nan,-0.09999999999999971,0.19999999999999865,0.0,0.0,0.0,4.230280194429454,0.05468193869029963,0.7698538268951908,-0.7040283036268888,-0.10001640351134541,nan,nan,nan,0.7698209665307382,-0.7039719051674528,-0.10001648269883442,nan,nan,nan,6.527319341596925e-05,0.06527319341596924,6.527324144990003e-05,0.06527324144990003,-0.09999999999999971,0.19999999999999865,0.0,0.0,0.0,4.230280194429454,0.037723993935013064,0.7693866248638299,-0.7032201892225088,-0.1000173645835561,nan,nan,nan,0.7693219984457415,-0.7031052730874966,-0.10001718457694854,nan,nan,nan,0.0001318419204998826,0.13184192049988258,0.0001318420433832703,0.1318420433832703,-0.09999999999999971,0.19999999999999865,0.0,0.0,0.0,3.7037772052969467,0.03907056918955968,0.768925403478739,-0.7024205432839385,-0.10001822398311012,nan,nan,nan,0.7688221744906653,-0.7022391414737753,-0.10001803775379543,nan,nan,nan,0.0002087171308475132,0.2087171308475132,0.00020871721392969864,0.20871721392969864,-0.09999999999999981,0.19999999999999876,0.0,0.0,0.0,1.951543601094375,0.04010514994902065,0.7684687737494212,-0.7016274072135759,-0.10001894351795432,nan,nan,nan,0.7683219707648521,-0.7013732317553981,-0.10001899639141792,nan,nan,nan,0.00029352389990982793,0.2935238999098279,0.00029352390467196675,0.29352390467196676,-0.09999999999999991,0.19999999999999887,0.0,0.0,0.0,0.7200306087909646,0.040709449139495896,0.7680110909418177,-0.7008317271401285,-0.10001957411573337,nan,nan,nan,0.7678216429474847,-0.7005073978668456,-0.1000200174762143,nan,nan,nan,0.0003756062034432848,0.37560620344328477,0.00037560646511155036,0.3756064651115504,-0.09999999999999971,0.19999999999999865,0.0,0.0,0.0,4.230280194429454,0.05468193869029963,-0.09999999999999971,0.19999999999999865,0.0,0.0,0.0,4.230280194429454,0.037723993935013064,-0.09999999999999971,0.19999999999999865,0.0,0.0,0.0,3.7037772052969467,0.03907056918955968,-0.09999999999999981,0.19999999999999876,0.0,0.0,0.0,1.951543601094375,0.04010514994902065,-0.09999999999999991,0.19999999999999887,0.0,0.0,0.0,0.7200306087909646,0.040709449139495896,False,False,nan,nan,nan,-1,nan,,,,,,,,,,,,,,,,,,,,
4,solved,0,lti,5,lti,5,5,1,bad:low_clearance,False,,,,nan,nan,,,36,36,36,40,-0.14999999999999988,0.24999999999999883,0.0,0.0,0.0,1.1921789861491396,0.0999999999999985,0.6337894720563632,-0.6389273166922,-0.1,0.00022224532596043604,0.7857280888373231,-0.6185717292897238,0.0005802952555233875,0.037894681785599044,0.7649191674524656,-0.6954532581652052,-0.10002331982188213,-0.7119534494178825,0.7022264948635762,-0.0004855652314967955,2.867037425440281e-05,0.02867037425440281,2.8676024374773597e-05,0.028676024374773595,1,0.9756531474910732,0.5778756807737038,,39,0.8144198877480895,0.0030204825193413743,3.0204825193413742,0.0009795174806586258,0.9795174806586258,15.357607638005089,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.18519724924435244,0.18519949996087653,0.9795174806586258,15.357607638005089,2962.706269700067,2.9148415880655936e-09,8.931990075114426e-06,0,0,5.744954902924562e-12,5830332.854191425,2.001000000016442e-06,11.666496041332906,0,0,True,11.827221850753133,11.826965677116407,0.07745966744054612,2.4819347291981716e-07,1e-09,34,4.058222133041983e-11,1.5171290267693496e-10,5.479246290586575e-11,10,solved,0.9756531474910732,0.5778756807737038,,nan,nan,,nan,nan,,nan,nan,,nan,nan,-0.14999999999999988,0.24999999999999883,0.0,0.0,0.0,1.1921789861491396,0.0999999999999985,0.7668826649796885,-0.6988729638551702,-0.10002102682544393,nan,nan,nan,0.7668963585031828,-0.6988981526974262,-0.10002159604776877,nan,nan,nan,2.867037425440281e-05,0.02867037425440281,2.8676024374773597e-05,0.028676024374773595,-0.14999999999999988,0.24999999999999886,0.0,0.0,0.0,0.7400817063790294,0.05124392787360162,0.7662836411040608,-0.6978301689575316,-0.10002176253693737,nan,nan,nan,0.7663197680558831,-0.6978948812087286,-0.10002244113360903,nan,nan,nan,7.411364316340166e-05,0.07411364316340166,7.411674976950097e-05,0.07411674976950097,-0.14999999999999988,0.2499999999999989,0.0,0.0,0.0,0.4564111234635174,0.04327619749896735,0.7657798943404257,-0.6969510002724839,-0.10002225503512018,nan,nan,nan,0.7658219179905502,-0.6970276120618001,-0.10002310531282499,nan,nan,nan,8.738050945155301e-05,0.08738050945155301,8.738464627260472e-05,0.08738464627260471,-0.1499999999999999,0.2499999999999989,0.0,0.0,0.0,0.23920779423849656,0.04213947109424474,0.7653460086971318,-0.6961948211368291,-0.1000227303868236,nan,nan,nan,0.765324109359494,-0.6961603189942859,-0.10002373290854795,nan,nan,nan,4.086537445127056e-05,0.04086537445127056,4.087766968468651e-05,0.040877669684686514,-0.1499999999999999,0.2499999999999989,0.0,0.0,0.0,0.0881747904258619,0.043928515622563016,0.7649191674524656,-0.6954532581652052,-0.10002331982188213,nan,nan,nan,0.7648273136950017,-0.6952924448934661,-0.1000242328706672,nan,nan,nan,0.00018519724924435243,0.18519724924435244,0.00018519949996087653,0.18519949996087653,-0.14999999999999988,0.24999999999999883,0.0,0.0,0.0,1.1921789861491396,0.0999999999999985,-0.14999999999999988,0.24999999999999886,0.0,0.0,0.0,0.7400817063790294,0.05124392787360162,-0.14999999999999988,0.2499999999999989,0.0,0.0,0.0,0.4564111234635174,0.04327619749896735,-0.1499999999999999,0.2499999999999989,0.0,0.0,0.0,0.23920779423849656,0.04213947109424474,-0.1499999999999999,0.2499999999999989,0.0,0.0,0.0,0.0881747904258619,0.043928515622563016,False,False,nan,nan,nan,-1,nan,,,,,,,,,,,,,,,,,,,,
5,solved,0,lti,5,lti,5,5,1,bad:low_clearance,False,,,,nan,nan,,,42,42,42,45,-0.2000129829923395,0.3000065017139325,-2.8779691889755044e-08,0.0,0.0,0.11134970920279925,0.09999996433544368,0.614404887495722,-0.6089269031397608,-0.1,0.00021948230079959097,0.7827766036732986,-0.622302500883716,0.000581345928109875,0.04312763286194177,0.7622869074817697,-0.6908826790955145,-0.10002687812575714,-0.6011537483852364,0.7991332485510639,-0.00047102293276224063,1.5393532289131127e-05,0.015393532289131127,1.5401825668652898e-05,0.015401825668652898,1,0.17124389724763753,0.24885408519438715,,44,1.0,0.0030114390972343385,3.0114390972343386,0.0009885609027656616,0.9885609027656616,6.916108149655354,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.15695771450804955,0.15819568303965448,0.9885609027656616,6.916108149655354,6618.305579532659,3.0960248799625234e-09,2.115216929538106e-05,0,0,6.129384990511619e-12,4403056.781182737,2.0009999998766063e-06,8.810516618603348,0,0,True,8.932040893876126,8.931702499013435,0.07745966744054612,2.4819347291981716e-07,1e-09,40,1.3877787807814224e-11,1.5171290267693496e-10,6.065289135471336e-11,10,solved,0.17124389724763753,0.24885408519438715,,nan,nan,,nan,nan,,nan,nan,,nan,nan,-0.2000129829923395,0.3000065017139325,-2.8779691889755044e-08,0.0,0.0,0.11134970920279925,0.09999996433544368,0.7639408040271571,-0.6937568788229752,-0.10002451764187167,nan,nan,nan,0.7639484325385271,-0.6937702491876155,-0.10002401227310428,nan,nan,nan,1.5393532289131127e-05,0.015393532289131127,1.5401825668652898e-05,0.015401825668652898,-0.2000118095943098,0.3000059693507384,-2.9460081772610508e-08,0.0,0.0,0.0962519117512892,0.06407029232630256,0.7633028129559675,-0.692649680870478,-0.10002543009375676,nan,nan,nan,0.7633278390588005,-0.6926932426341518,-0.10002465795055752,nan,nan,nan,5.023876070708999e-05,0.050238760707089984,5.0244694073149474e-05,0.05024469407314947,-0.2000090246850901,0.30000463997919374,-3.075306718424441e-08,0.0,0.0,0.09217855741247558,0.05071751132822938,0.7627834702127849,-0.69174816492992,-0.10002619829455917,nan,nan,nan,0.7628288156376284,-0.69182665551163,-0.10002527983978966,nan,nan,nan,9.0647553587604e-05,0.090647553587604,9.065220642974533e-05,0.09065220642974532,-0.20000603049099228,0.3000031449899864,-3.253403307859412e-08,0.0,0.0,0.08905914399023453,0.049822888661396066,0.7622539212568551,-0.6908226721362896,-0.10004574438890507,nan,nan,nan,0.7623297340421499,-0.6909601062868106,-0.10002599217412311,nan,nan,nan,0.00015695771450804954,0.15695771450804955,0.00015819568303965449,0.15819568303965448,-0.16918938026933572,0.3000004215881117,-3.461010942584565e-08,0.0,0.0,0.08687038717716171,-0.0029631028342356302,0.7622869074817697,-0.6908826790955145,-0.10002687812575714,nan,nan,nan,0.7623308044587956,-0.6909592674427882,-0.10002649394238287,nan,nan,nan,8.827638149662027e-05,0.08827638149662027,8.827721748561122e-05,0.08827721748561122,-0.2000129829923395,0.3000065017139325,-2.8779691889755044e-08,0.0,0.0,0.11134970920279925,0.09999996433544368,-0.2000118095943098,0.3000059693507384,-2.9460081772610508e-08,0.0,0.0,0.0962519117512892,0.06407029232630256,-0.2000090246850901,0.30000463997919374,-3.075306718424441e-08,0.0,0.0,0.09217855741247558,0.05071751132822938,-0.20000603049099228,0.3000031449899864,-3.253403307859412e-08,0.0,0.0,0.08905914399023453,0.049822888661396066,-0.16918938026933572,0.3000004215881117,-3.461010942584565e-08,0.0,0.0,0.08687038717716171,-0.0029631028342356302,False,False,nan,nan,nan,-1,nan,,,,,,,,,,,,,,,,,,,,
