pair_index,contact_frame,no_contact_frame,contact_progress,no_contact_progress,mean_progress,progress_difference,pose_position_difference_mm,pose_rotation_difference_deg,pose_length_difference_mm,full_matrix_relative_change,source_matrix_relative_change,dL_column_relative_change
0,0,0,0.013737373737374261,0.013737373737374261,0.013737373737374261,0.0,0.0,0.0,0.0,0.0002886073645747007,0.0002946557288539883,0.00028090222274579417
1,1,1,0.014545454545455134,0.014545454545455134,0.014545454545455134,0.0,0.0012653350282070806,0.00019047381982728161,1.080756907578806e-07,0.00010936273091334603,0.00010477293456519478,0.00011473994961785631
2,2,2,0.015757575757576442,0.015757575757576442,0.015757575757576442,0.0,0.001055162633593598,9.559215160109911e-05,2.9447496177614774e-07,3.192626920175329e-05,3.848639020730987e-05,2.3614244926194958e-05
3,3,3,0.0165656565656572,0.0165656565656572,0.0165656565656572,0.0,0.003291706376644637,7.676369965777437e-05,1.5337856262842564e-06,8.693863334430654e-05,4.808544357931255e-05,0.0001233788783738426
4,4,4,0.017777777777778503,0.017777777777778503,0.017777777777778503,0.0,0.0034426192479549123,5.254697626942831e-05,1.0195569114662684e-05,8.326867273843449e-05,4.465121230771438e-05,0.00010540140942569092
5,5,5,0.01858585858585937,0.01858585858585937,0.01858585858585937,0.0,0.026894592893745215,0.0007469070288320968,2.2542677596132377e-05,0.00023843945941660438,0.0001965244822035718,0.00029310198842099787
6,6,6,0.019797979797980564,0.019797979797980564,0.019797979797980564,0.0,0.04134504750294469,0.001190551150252323,1.6582678334653433e-05,0.00017707858464405664,0.0002159104973682471,0.00012889187979768946
7,7,7,0.02060605354337191,0.02060605354337191,0.02060605354337191,0.0,0.04764414697247414,0.0011642167135583303,0.00010975049341901966,0.0003758348645991775,0.0003248855217837464,0.0004304670360916072
8,8,8,0.02141407059843531,0.02141407059843531,0.02141407059843531,0.0,0.05152189935684435,0.0016449140834625278,6.723283707890659e-05,0.0004791066522941412,0.0006365509785174183,0.00019353583184321266
9,9,9,0.022625974624213084,0.022625974624213084,0.022625974624213084,0.0,0.052500017292581996,0.0023532851561175166,3.396867540375603e-05,0.0013066550044860074,0.0006562839533448132,0.0017504426870257833
10,10,10,0.023433914222144848,0.023433914222144848,0.023433914222144848,0.0,0.04890138279302823,0.0030777046696304805,6.077185955855047e-06,0.0009036442875566705,0.0009085065253713343,0.0008988342887792767
11,11,11,0.02464594586864694,0.02464594586864694,0.02464594586864694,0.0,0.04638365798245703,0.0036983779384554116,7.112066742823164e-05,0.0010544987263418771,0.001070758886178107,0.001039182591300554
12,12,12,0.02545402548523877,0.02545402548523877,0.02545402548523877,0.0,0.042801191324298916,0.004665753228524087,0.00033188219087862403,0.0005048529872985562,0.0006139479957970651,0.000382210074453186
13,13,13,0.026666146697360095,0.026666146697360095,0.026666146697360095,0.0,0.03862233575351646,0.0047915042765790256,7.705110921171765e-05,0.00467592591985836,0.004999380752309816,0.004374062084151397
14,14,14,0.027474227505440894,0.027474227505440894,0.027474227505440894,0.0,0.033047580109487204,0.005325233652386847,0.00033616252363005694,0.0036123423564550384,0.003970959093884356,0.0032941833720723066
15,15,15,0.02868634871756212,0.02868634871756212,0.02868634871756212,0.0,0.14520825154053907,0.060539502143889506,0.030445573051898073,0.0020398407444434294,0.0026729650917510623,0.0012602914343094783
16,16,16,0.029494429525643018,0.029494429525643018,0.029494429525643018,0.0,0.8385013293792846,0.20952476319317798,0.1659755119158765,0.024350689064593294,0.01543221031567465,0.029557232540952615
17,17,17,0.030706550737764245,0.030706550737764245,0.030706550737764245,0.0,2.253019972503558,0.07808287115246393,0.019750336553978065,0.024803343696809022,0.01899611635969932,0.029115961083255527
18,18,18,0.0315146315458451,0.0315146315458451,0.0315146315458451,0.0,2.409425121648216,0.08470285857471288,0.007556745545374277,0.02204421340314908,0.015094014862424263,0.02646659670721724
19,19,19,0.03272675275796637,0.03272675275796637,0.03272675275796637,0.0,3.4340053867984226,0.05781686127429011,0.0016209074396311696,0.06775002755385101,0.027792896885502478,0.09016430882648567
20,20,20,0.03353483356604722,0.03353483356604722,0.03353483356604722,0.0,2.7505640531177904,0.06620491296841935,0.0013518792713745897,0.06773571092119253,0.014408050491088044,0.09174758072571754
21,21,21,0.03474695477816845,0.03474695477816845,0.03474695477816845,0.0,1.875207884789948,0.2070930526532718,0.0005487180325391972,0.07948685671442889,0.037049918665887686,0.10456703541891597
22,22,22,0.035555035586249346,0.035555035586249346,0.035555035586249346,0.0,0.50155148515347,0.2005596237003828,0.0056150081812755825,0.26202896806361925,0.0710378031493719,0.3565479772259558
23,23,23,0.03676715679837057,0.03676715679837057,0.03676715679837057,0.0,0.6284635591671209,5.316703189683547,0.21206605805625806,0.19428399205707217,0.10697341191308797,0.24865112361887146
24,24,24,0.03757523760645137,0.03757523760645137,0.03757523760645137,0.0,0.8804303669017075,3.6298973123848954,0.2642803114235315,0.16260001811907757,0.10203575662040769,0.20169646380475598
