sample_index,time_s,path_s_m,path_speed_m_s,path_acceleration_m_s2,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,beam_feasible,insertion_m,insertion_rate_m_s,insertion_acceleration_m_s2,q1_rad,qd1_rad_s,qdd1_rad_s2,q2_rad,qd2_rad_s,qdd2_rad_s2,q3_rad,qd3_rad_s,qdd3_rad_s2,q4_rad,qd4_rad_s,qdd4_rad_s2,q5_rad,qd5_rad_s,qdd5_rad_s2,q6_rad,qd6_rad_s,qdd6_rad_s2,desired_x,desired_y,desired_z,achieved_x,achieved_y,achieved_z,desired_tangent_x,desired_tangent_y,desired_tangent_z,achieved_tangent_x,achieved_tangent_y,achieved_tangent_z
0,0.0,0.0,0.0,0.015035397341350499,0.000419645899192399,0.419645899192399,0.017408654253073447,0.997442415703579,1,0.037,0.0,0.007907342304436106,-0.70356781,0.0,0.3875405483889006,-1.97418179,0.0,0.0914985242863532,-1.74700725,-0.0,-0.11073472472008539,-1.00891139,-0.0,-0.06221566192830225,1.56476402,0.0,0.12438168023027171,-1.83646852,-0.0,-0.00013443781527397485,0.525575,-0.670028,0.020433,0.5253140219715052,-0.6703566096099932,0.02043002114584927,0.0,0.0,1.0,-0.01082900010508759,-0.013629504227662605,0.9998484732054314
1,0.1,7.529687102619421e-05,0.0015307230695019494,0.018117258777068372,0.0002669531111208155,0.2669531111208155,0.01092375756650417,0.6258852049847876,1,0.037039999334593336,0.0008293993888163947,0.010807370065062806,-0.7016639941907022,0.03719957708358786,0.3485949577614805,-1.973732147576133,0.008792019558486016,0.08278535296826871,-1.7475514282060998,-0.010640725702006946,-0.10020628128446486,-1.00921715584513,-0.005979800973225981,-0.05637228862449742,1.5653750980920629,0.011942046350913062,0.11202850411252954,-1.8364691650464682,-1.1966104166035684e-05,-7.166560552085568e-05,0.525575,-0.670028,0.020508296871026194,0.5254113249268684,-0.6702357109336738,0.020471819453289245,0.0,0.0,1.0,-0.0067635628292456364,-0.008577759082274662,0.9999403363536153
2,0.2,0.000263153138023433,0.0018797338336352743,0.005522925664135157,0.00010791589557962081,0.10791589557962081,0.00028896981231957237,0.016556750652598998,1,0.037155448853525466,0.0013524021555592423,0.008712321638546868,-0.6983629697860981,0.014816863763489384,-0.3850648092671335,-1.9729465016912586,0.0036348461267581497,-0.0888646158915746,-1.7485024596985432,-0.004403691853940181,0.10748098261965747,-1.009752424318474,-0.002494668636404024,0.06005770504755214,1.5664364728472038,0.0047970062852696884,-0.12296331945070735,-1.836469669140928,8.757427072989828e-06,0.00032458640414148566,0.525575,-0.670028,0.02069615313802343,0.5255802698447772,-0.67002379427616,0.020588448072489086,0.0,0.0,1.0,0.0002217542443631436,0.000185279802642335,0.9999999582482241
3,0.30000000000000004,0.0004526260235422141,0.0017776005025728428,-0.0012553509436005214,0.0001426958870279342,0.1426958870279342,0.0004769688149357373,0.02732830005517417,1,0.037310425656407575,0.001578199556941036,0.00026321634056714386,-0.6983033514547148,-0.005918392466536571,0.013505786051099875,-1.9729156699548425,-0.0012625970305327966,0.0017244427574884275,-1.7485402228960203,0.0015267212912976596,-0.0019810252870563136,-1.009776846090089,0.0008191684837776223,-0.0012056667549364595,1.5664607264987844,-0.0018578689846102294,0.0039013802962068337,-1.8364685228090931,1.4572172857625216e-06,-0.0003963414710820697,0.525575,-0.670028,0.020885626023542214,0.5255825574447548,-0.6700188680137051,0.02074342332304121,0.0,0.0,1.0,0.00030083989807846696,0.0003701278007403708,0.999999886250377
4,0.4,0.0006256747605482675,0.0016957718244692724,-0.0005914190021488728,0.00015786908119149167,0.15786908119149168,0.000332974180657219,0.01907801523848526,1,0.03746801390432546,0.0015748916256736276,1.903696806528543e-05,-0.6985429892744413,0.0007769104913170309,0.035162780916531626,-1.9729670103793808,0.00017395900413935827,0.007657019542990808,-1.7484777060847694,-0.00020391735503425484,-0.009271896301562332,-1.00974564189346,-0.00014802530562087716,-0.004953136271732579,1.5663854959393255,0.0002466247189200905,0.01105259963376089,-1.836470416196785,-3.1290254321524486e-05,-3.244901444874752e-05,0.525575,-0.670028,0.021058674760548266,0.5255698391207132,-0.6700342226424848,0.0209010128093941,0.0,0.0,1.0,-0.0002156351563717808,-0.0002537189001754495,0.999999944564098
5,0.5,0.0007923993188578497,0.0016410751245223732,-0.00047672929162515497,0.00016688722471642158,0.1668872247164216,7.5927471575462e-05,0.004350323670373496,1,0.03762552061661488,0.001575322197396559,-1.891349965370677e-05,-0.6984259091121345,0.0005088307129663075,-0.019463759005089832,-1.9729408284473922,0.00012124859397440151,-0.004167123501018122,-1.7485090314939962,-0.0001480380904865852,0.004949805926036357,-1.0097646795585669,-7.487446492360015e-05,0.0031672056617241904,1.5664223625679705,0.00015766567444068028,-0.006168188585690429,-1.8364727297067986,-7.941830456773096e-06,0.0003084494062983112,0.525575,-0.670028,0.02122539931885785,0.5255760755814125,-0.6700267073467913,0.021058520566627804,0.0,0.0,1.0,4.536077957195385e-05,6.088826352618103e-05,0.9999999971175095
6,0.6000000000000001,0.0009546556525467016,0.0016085326030088303,-0.000179686416333775,0.00017161975332522276,0.17161975332522275,3.011891469882467e-05,0.0017256866957571927,1,0.037783037849072845,0.0015752288526216332,2.0065600857021356e-05,-0.6984369573565918,-0.00039009537518887197,0.0009780471895308564,-1.9729419641221815,-7.125006465824355e-05,0.00020860374589125308,-1.7485080442804273,8.180295805558426e-05,-0.00022439812198757093,-1.009762293654973,6.532245080605508e-05,-0.0002789864806619606,1.5664185888482975,-0.00012464658156170194,0.00036047362029346914,-1.8364725551190577,5.926697650387562e-06,-2.2933587394492322e-05,0.525575,-0.670028,0.021387655652546703,0.5255755297211961,-0.670027379529686,0.021216037838368063,0.0,0.0,1.0,1.6267060001756004e-05,2.5348214828147532e-05,0.9999999995464255
7,0.7000000000000001,0.0011147564801564376,0.001594920791845773,-0.0001101758642489415,0.0001742184646939019,0.1742184646939019,2.856647820666811e-05,0.0016367386367945273,1,0.03794053930696203,0.0015749262266157,-5.2926754667254565e-06,-0.6984542513457054,3.524924699824052e-05,0.0026126231245203187,-1.972944449357093,1.954878303184696e-05,0.0005540959806173316,-1.7485052492034376,-2.3780577217927802e-05,-0.000645590728289205,-1.00975993491187,-1.5305503249761328e-05,-0.0004840608592849639,1.5664132673445526,1.460864973356871e-05,0.0008430413683204243,-1.836472345957449,-1.5094148879088018e-06,-4.472209705709122e-05,0.525575,-0.670028,0.021547756480156437,0.5255745778641329,-0.6700285187921714,0.02137353929932661,0.0,0.0,1.0,-2.1117555991830657e-05,-1.923779637497943e-05,0.9999999995919782
8,0.8,0.0012737912435615117,0.0015864267493560281,-6.530774245954831e-05,0.00017575897786403446,0.17575897786403447,5.369403462968699e-06,0.00030764415693103526,1,0.03809803228709011,0.0015749385752622867,1.4011443775917054e-06,-0.6984461036533928,5.008559950209594e-05,-0.0014808721274728344,-1.9729415397806416,2.1954201248402383e-05,-0.00032479038629038134,-1.748508737173354,-2.6512555222955536e-05,0.0003795300645082389,-1.0097623019978488,-1.7480724199286316e-05,0.0002824608099393218,1.566416158192294,1.7664075155976134e-05,-0.000497033380607522,-1.8364725729849722,-1.6781139222026952e-06,2.6247156518387648e-05,0.525575,-0.670028,0.02170679124356151,0.5255750565013788,-0.6700279348229934,0.0215310322868641,0.0,0.0,1.0,-1.1007273477984803e-06,5.255393505617375e-06,0.9999999999855848
9,0.9,0.001432148552150942,0.0015812045095244971,-4.1930086370292794e-05,0.0001766238953061184,0.1766238953061184,5.097286278085023e-06,0.0002920529907042195,1,0.03825552468516812,0.0015749017596732888,-4.765396330438113e-06,-0.6984462558768751,-3.083677870799326e-05,-0.00014282624319051122,-1.9729404652932576,4.534530950037719e-06,-2.479156743867219e-05,-1.7485100783419696,-6.1500364566325105e-06,2.9110219822827476e-05,-1.009763077146609,-2.3887502179832672e-06,2.0412853384366913e-05,1.5664163009914145,-6.2451581325747535e-06,1.6901454992482692e-05,-1.8364726553414628,-4.240678681864017e-07,-1.0616741251658658e-06,0.525575,-0.670028,0.02186514855215094,0.5255750654551741,-0.6700279249677538,0.021688524684910726,0.0,0.0,1.0,-1.464299367663699e-06,4.8824326939493934e-06,0.9999999999870088
