s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
1.666666666666666557e-03,7.964661560317608524e-01,-7.112742279545716251e-01,-1.000010610329078037e-01,-1.196858862917486169e-05,9.995500268055327320e-01,-2.999411297451579778e-02,3.113786823918743025e-04
3.333333333333333114e-03,7.948024885109935544e-01,-7.111742925540568416e-01,-1.000020972981849054e-01,-2.280574003190616271e-05,9.983435435030357796e-01,-5.753326043224650521e-02,3.042527497704699668e-04
4.999999999999999237e-03,7.931468557397458596e-01,-7.109828326672971155e-01,-1.000031054204507247e-01,-3.078667052595045065e-05,9.966895653568644819e-01,-8.130080490364507972e-02,2.974608292494784257e-04
6.666666666666666227e-03,7.915022221042822270e-01,-7.107127270904290972e-01,-1.000040853308624689e-01,-3.801477626252439248e-05,9.948309378231795508e-01,-1.015446632101961455e-01,2.916817748361300055e-04
8.333333333333333218e-03,7.898699267832980375e-01,-7.103759944783605285e-01,-1.000050397103823124e-01,-4.424098535075548735e-05,9.929499773613382763e-01,-1.185337858226725438e-01,2.865648230074093502e-04
9.999999999999998473e-03,7.882500945849675311e-01,-7.099836673696036105e-01,-1.000059707119924368e-01,-4.839938626137411785e-05,9.911822467417340521e-01,-1.325053656088720500e-01,2.819332664175140256e-04
1.166666666666666546e-02,7.866419537563058562e-01,-7.095458774374872046e-01,-1.000068808255593217e-01,-5.186481799431401124e-05,9.896272264177137234e-01,-1.436588761740848486e-01,2.780993039020629334e-04
1.333333333333333245e-02,7.850440802564485621e-01,-7.090719816054804614e-01,-1.000077733715637324e-01,-5.482213054439638990e-05,9.883480538872295718e-01,-1.522105316226066707e-01,2.746543711506469355e-04
1.499999999999999944e-02,7.834546406610214397e-01,-7.085705249462554978e-01,-1.000086504035890139e-01,-5.732094006976879412e-05,9.871986590205978906e-01,-1.594952375790292254e-01,2.711675722441481183e-04
