controller,bend_angle_deg,log_csv,n_steps,success,num_failed_steps,num_infeasible_steps,first_failure_k,final_status,final_i_ref,max_i_ref,mean_pred_err_xy_mm,max_pred_err_xy_mm,mean_clearance_mm,min_clearance_mm,mean_tip_vessel_angle_deg,max_tip_vessel_angle_deg,mean_cond_H_beam,max_cond_H_beam,mean_cond_H_mpc,max_cond_H_mpc,mean_sqp_du_final,max_sqp_du_final,mean_sqp_du_rel_final,max_sqp_du_rel_final,mean_curvature_ahead_1pm,max_curvature_ahead_1pm,mean_rollout_steps_used,max_rollout_steps_used,mean_hierarchy_level,max_hierarchy_level,mean_hierarchy_confidence,min_hierarchy_confidence,mean_hierarchy_risk,max_hierarchy_risk,frac_lti,frac_ltv_oneshot,frac_sqp_full,frac_vxy_saturated,frac_wz_saturated,frac_dL_saturated,num_hier_curvature,num_hier_sqp_du_rel,num_hier_clearance,num_hier_beam_cond,num_hier_mpc_cond,num_hier_hard,num_hier_moderate,num_hier_easy,num_hier_escalate,num_hier_downgrade_held,num_hier_downgrade_allowed,num_level_switches,num_rollout_switches,num_solver_switches,unique_rollout_steps,unique_solver_modes,num_rollout_good_increase,num_rollout_bad_tip_angle,num_rollout_bad_low_clearance,mean_sqp_iters_done,max_sqp_iters_done,sum_sqp_iters_done,mean_N_sqp_used,max_N_sqp_used,sum_N_sqp_used,mean_solver_complexity_proxy,sum_solver_complexity_proxy,family,nominal_solver,nominal_rollout,jacobian_model,ablation,Np,score
fixed_sqp_rollout1_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5/bend_m90_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,21,True,0,0,-1,solved,41.0,41.0,0.0424928927746221,0.333207091263463,2.278770405390177,0.9871032615298424,44.18175453498391,67.53332329155157,1611.5290784606332,8237.884884454466,6587632.393687267,13441440.292116515,1.137853554533367,3.1328807695474876,0.0971838059549874,0.2797175559227411,71.0075932667466,233.18519139449108,1.0,1.0,,,,,,,0.0,0.0,1.0,0.47619047619047616,0.9523809523809523,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqp_full,2,12,4,5.0,5.0,105.0,5.0,5.0,105.0,5.0,105.0,fixed_baseline,sqp_full,1.0,contact,,,7.332181308990805
fixed_sqp_rollout1_no_contact_model,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5_no_contact_model/bend_m90_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13,False,1,1,12,primal infeasible,34.0,34.0,0.09502415238504162,0.8636008197188904,3.246816568207526,2.462298679091401,48.23834650192054,68.77108085153174,56.92857267557633,415.1097419674626,4862078.332981379,5264354.386020959,0.11988746183048656,0.2565787641150048,0.008903162799103,0.020392741312093,112.31104373236485,233.18519139449108,1.0,1.0,,,,,,,0.0,0.0,1.0,0.6923076923076923,0.9230769230769231,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqp_full,1,8,0,4.615384615384615,5.0,60.0,5.0,5.0,65.0,5.0,65.0,fixed_baseline,sqp_full,1.0,no_contact,,,-105.1444405378016
hierarchy_full_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_ablation_full/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,20,True,0,0,-1,solved,41.0,41.0,0.11687853119871083,0.6669827224961886,2.4128321782846807,0.977167085154375,43.708092547422,67.53332329155157,2110.4963916781394,12641.051785504977,11575386.886533674,58459567.8183012,1.4690191418026928,4.601327385444137,0.23844049212234983,2.195186449605373,75.75279324059687,233.18519139449108,1.0,1.0,1.6,2.0,0.2,0.0,0.8,1.0,0.0,0.4,0.6,0.4,0.75,0.25,9,1,8,0,0,10,8,2,2,4,1,2,0,2,1,"ltv_oneshot,sqp_full",1,11,6,3.4,5.0,68.0,3.4,5.0,68.0,3.4,68.0,hierarchy,adaptive,,contact,full,,4.94602058727686
hierarchy_full_no_contact_model,-90.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_simple_v1_no_contact_model/bend_m90_jac_no_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,16,True,0,0,-1,solved,41.0,41.0,0.18082140560457882,0.6053537526688819,2.7407213978774854,0.9732920049583648,43.403393409391946,68.77108085153174,24.62143081896869,248.31048705505552,5470841.217539231,7612057.483119903,0.44232145819056806,2.8811119626585633,0.03673035928499824,0.2791255498277378,97.19725025630879,233.18519139449108,1.0625,2.0,1.5625,2.0,0.21875,0.0,0.78125,1.0,0.0625,0.3125,0.625,0.8125,1.0,0.375,9,0,5,0,0,8,6,2,2,3,2,3,2,3,"1,2","lti,ltv_oneshot,sqp_full",2,9,4,3.5,5.0,56.0,3.5,5.0,56.0,3.5,56.0,hierarchy,adaptive,,no_contact,full,,4.895330256657605
fixed_sqp_rollout1_contact,-60.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5/bend_m60_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13,True,0,0,-1,solved,40.0,40.0,0.055222699718861464,0.2731266035800569,3.6052657196534224,2.879380138757872,24.29158971402562,47.434642988779075,707.7442291148291,1422.4097586548378,5650210.433482076,9681454.126818214,1.7831860451096184,4.676548909121227,0.18955367559096933,0.5153069974433817,56.91954243350547,155.41949702483305,1.0,1.0,,,,,,,0.0,0.0,1.0,0.46153846153846156,0.7692307692307693,0.3076923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqp_full,7,4,0,5.0,5.0,65.0,5.0,5.0,65.0,5.0,65.0,fixed_baseline,sqp_full,1.0,contact,,,15.294876768687796
fixed_sqp_rollout1_no_contact_model,-60.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5_no_contact_model/bend_m60_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13,True,0,0,-1,solved,40.0,40.0,0.15799782324151973,0.5605616053589519,3.5887870992557187,2.8793801124477647,23.542189894342812,47.449064976118486,9.4926134447616,21.614109954963467,4983133.908621822,6705173.63287273,1.352452917388154,3.0649531304692608,0.15499557752451135,0.4127353629596387,56.93450427250051,155.41949702483305,1.0,1.0,,,,,,,0.0,0.0,1.0,0.38461538461538464,0.8461538461538461,0.38461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqp_full,7,4,0,5.0,5.0,65.0,5.0,5.0,65.0,5.0,65.0,fixed_baseline,sqp_full,1.0,no_contact,,,12.414757955963083
hierarchy_full_contact,-60.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_ablation_full/bend_m60_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,11,True,0,0,-1,solved,42.0,42.0,0.22886817960153813,0.9948109485876576,2.7000657248589257,0.9977001171786264,30.335702226566013,50.41975565768232,12175.159638384082,125645.5847930944,5328608.3834882025,8851203.2911301,1.6331582546452474,4.360397639040223,8.893661403010055,96.78872011294462,65.8809986941094,155.41949702483305,1.7272727272727273,4.0,1.0,2.0,0.5,0.0,0.5,1.0,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.0,0.6363636363636364,0.2727272727272727,4,1,2,0,0,2,5,4,4,2,2,5,5,5,"1,2,3,4","lti,ltv_oneshot,sqp_full",2,4,2,2.090909090909091,5.0,23.0,2.090909090909091,5.0,23.0,2.090909090909091,23.0,hierarchy,adaptive,,contact,full,,11.008309362334332
hierarchy_full_no_contact_model,-60.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_simple_v1_no_contact_model/bend_m60_jac_no_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,11,True,0,0,-1,solved,42.0,42.0,0.3898356774140842,1.5684747807571504,2.7329838232945884,0.9969520682216728,30.21220585063496,50.564544264353934,5.356154601107357,7.656906389967801,5102501.4109242745,6674515.7012492195,1.0468256534116984,4.328522803362212,8.847094555402135,96.78871230259436,70.19692009487957,155.41949702483305,1.7272727272727273,4.0,1.0,2.0,0.5,0.0,0.5,1.0,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.0,0.8181818181818182,0.2727272727272727,4,1,2,0,0,2,5,4,4,2,2,5,5,5,"1,2,3,4","lti,ltv_oneshot,sqp_full",2,4,1,2.090909090909091,5.0,23.0,2.090909090909091,5.0,23.0,2.090909090909091,23.0,hierarchy,adaptive,,no_contact,full,,5.19505437404692
fixed_sqp_rollout1_contact,-30.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5/bend_m30_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13,True,0,0,-1,solved,41.0,41.0,0.13238111085426535,0.4410290000291591,3.4598499521072674,2.745722480870152,17.71096802951936,30.515694407102004,778.3297712960576,7601.436002958118,4769026.900250674,5027593.85095223,2.5694199317067614,4.6858786113135995,0.30382479652885536,1.0303857064663535,27.862738751138522,77.6985621902522,1.0,1.0,,,,,,,0.0,0.0,1.0,0.0,0.6153846153846154,0.6153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqp_full,12,0,0,5.0,5.0,65.0,5.0,5.0,65.0,5.0,65.0,fixed_baseline,sqp_full,1.0,contact,,,21.38343223686761
fixed_sqp_rollout1_no_contact_model,-30.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5_no_contact_model/bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13,True,0,0,-1,solved,41.0,41.0,0.11001438239607501,0.4406708960092882,3.5157435896482054,2.7457224591186025,17.658413034573865,30.51568495812922,11.7231374465563,102.93420352374665,4749592.902743088,4830052.7108396655,1.5310051719885065,4.685878611258633,0.19618412902037274,0.6419546419923553,27.862738751138522,77.6985621902522,1.0,1.0,,,,,,,0.0,0.0,1.0,0.0,0.5384615384615384,0.6923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqp_full,12,0,0,5.0,5.0,65.0,5.0,5.0,65.0,5.0,65.0,fixed_baseline,sqp_full,1.0,no_contact,,,21.387017056655424
