controller,bend_angle_deg,log_csv,n_steps,success,num_failed_steps,num_infeasible_steps,first_failure_k,final_status,final_i_ref,max_i_ref,mean_pred_err_xy_mm,max_pred_err_xy_mm,mean_clearance_mm,min_clearance_mm,mean_tip_vessel_angle_deg,max_tip_vessel_angle_deg,mean_cond_H_beam,max_cond_H_beam,mean_cond_H_mpc,max_cond_H_mpc,mean_sqp_du_final,max_sqp_du_final,mean_sqp_du_rel_final,max_sqp_du_rel_final,mean_curvature_ahead_1pm,max_curvature_ahead_1pm,mean_rollout_steps_used,max_rollout_steps_used,mean_hierarchy_level,max_hierarchy_level,mean_hierarchy_confidence,min_hierarchy_confidence,mean_hierarchy_risk,max_hierarchy_risk,frac_lti,frac_ltv_oneshot,frac_sqp_full,frac_vxy_saturated,frac_wz_saturated,frac_dL_saturated,num_hier_curvature,num_hier_sqp_du_rel,num_hier_clearance,num_hier_beam_cond,num_hier_mpc_cond,num_hier_hard,num_hier_moderate,num_hier_easy,num_hier_escalate,num_hier_downgrade_held,num_hier_downgrade_allowed,num_level_switches,num_rollout_switches,num_solver_switches,unique_rollout_steps,unique_solver_modes,num_rollout_good_increase,num_rollout_bad_tip_angle,num_rollout_bad_low_clearance,mean_sqp_iters_done,max_sqp_iters_done,sum_sqp_iters_done,mean_N_sqp_used,max_N_sqp_used,sum_N_sqp_used,mean_solver_complexity_proxy,sum_solver_complexity_proxy,family,nominal_solver,nominal_rollout,jacobian_model,ablation,Np,score
fixed_lti_rollout1_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_lti_rollout1_np5/bend_m90_jac_contact_plant_contact_1_lti_rollout1_Np5_sqp5/log.csv,38,True,0,0,-1,solved,41.0,41.0,0.1766744237607872,2.398297033766141,2.1708866369200055,0.926641216809466,54.49188334754617,73.4288465700081,693.3218538404141,5761.6249435469545,6775328.931737535,47304733.89626958,0.8418154827099128,4.686729137835434,2.604850193969473,93.74950843116166,116.96096145330189,233.18519139449108,1.0,1.0,,,,,,,1.0,0.0,0.0,0.39473684210526316,0.7894736842105263,0.07894736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,lti,1,28,8,1.0,1.0,38.0,5.0,5.0,190.0,5.0,190.0,fixed_baseline,lti,1.0,contact,,,-14.188478545428003
fixed_lti_rollout5_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_lti_rollout5_np5/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,9,True,0,0,-1,solved,41.0,41.0,1.7091773666198642,4.29074632160601,1.5006430047490233,0.8579968993525519,38.31413008096517,71.2872199344952,1057.2388949501726,5497.238909792025,12334430.29709143,66775034.37278724,2.7594236624559247,4.686077998182361,10.737699359389092,93.74950843116166,139.45852096144446,233.18519139449108,5.0,5.0,,,,,,,1.0,0.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,lti,0,1,4,1.0,1.0,9.0,5.0,5.0,45.0,5.0,45.0,fixed_baseline,lti,5.0,contact,,,-33.97242870604438
fixed_ltv_rollout1_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_ltv_rollout1_np5/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout1_Np5_sqp5/log.csv,31,False,1,1,30,primal infeasible,27.0,27.0,0.1793941299435274,0.9409428320619364,3.143362972006456,0.9963020969623384,61.37558369510571,72.51256318703571,363.55092045990904,1389.800951928698,5488820.882571108,12370805.939840728,1.6652833320923144,4.686109824929111,3.2895061039274167,93.73146553967491,154.74233008704562,233.18519139449108,1.0,1.0,,,,,,,0.0,1.0,0.0,0.25806451612903225,0.9032258064516129,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ltv_oneshot,1,28,1,0.967741935483871,1.0,30.0,5.0,5.0,155.0,5.0,155.0,fixed_baseline,ltv_oneshot,1.0,contact,,,-111.50690117137519
fixed_ltv_rollout3_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_ltv_rollout3_np5/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np5_sqp5/log.csv,100,True,0,0,-1,solved,23.0,23.0,0.03195632379381139,1.2503545651266963,2.813718707044771,1.9427377298217636,48.826521468624094,53.9171013663185,1.6532536932190807,4.660504284571554,4720472.589452562,4775286.186632342,0.7441900116386678,4.68588318399485,1.1887857244240145,93.73146553967491,228.27847715768684,233.18519139449108,3.0,3.0,,,,,,,0.0,1.0,0.0,0.23,0.13,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ltv_oneshot,0,99,0,1.0,1.0,100.0,5.0,5.0,500.0,5.0,500.0,fixed_baseline,ltv_oneshot,3.0,contact,,,-11.070386197794365
fixed_sqp_rollout1_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5/bend_m90_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,21,True,0,0,-1,solved,41.0,41.0,0.0424928927746221,0.333207091263463,2.278770405390177,0.9871032615298424,44.18175453498391,67.53332329155157,1611.5290784606332,8237.884884454466,6587632.393687267,13441440.292116515,1.137853554533367,3.1328807695474876,0.0971838059549874,0.2797175559227411,71.0075932667466,233.18519139449108,1.0,1.0,,,,,,,0.0,0.0,1.0,0.47619047619047616,0.9523809523809523,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqp_full,2,12,4,5.0,5.0,105.0,5.0,5.0,105.0,5.0,105.0,fixed_baseline,sqp_full,1.0,contact,,,7.332181308990805
hierarchy_full_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_ablation_full/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,20,True,0,0,-1,solved,41.0,41.0,0.11687853119871083,0.6669827224961886,2.4128321782846807,0.977167085154375,43.708092547422,67.53332329155157,2110.4963916781394,12641.051785504977,11575386.886533674,58459567.8183012,1.4690191418026928,4.601327385444137,0.23844049212234983,2.195186449605373,75.75279324059687,233.18519139449108,1.0,1.0,1.6,2.0,0.2,0.0,0.8,1.0,0.0,0.4,0.6,0.4,0.75,0.25,9,1,8,0,0,10,8,2,2,4,1,2,0,2,1,"ltv_oneshot,sqp_full",1,11,6,3.4,5.0,68.0,3.4,5.0,68.0,3.4,68.0,hierarchy,adaptive,,contact,full,,4.94602058727686
fixed_lti_rollout1_contact,-60.0,/Users/jackhilton-jones/Proper-Research/run_baseline_lti_rollout1_np5/bend_m60_jac_contact_plant_contact_1_lti_rollout1_Np5_sqp5/log.csv,23,True,0,0,-1,solved,41.0,41.0,0.060390816223649085,0.3487297992237027,2.3948080793119253,0.9974979870744256,34.90438416404634,52.17205948985325,493.7877872804341,2830.834814319682,4934698.955320449,7159469.323686862,1.12911161397399,4.686043900435823,4.45358011494159,99.77400737753436,57.31021495499433,155.41949702483305,1.0,1.0,,,,,,,1.0,0.0,0.0,0.0,0.8695652173913043,0.08695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,lti,2,11,2,1.0,1.0,23.0,5.0,5.0,115.0,5.0,115.0,fixed_baseline,lti,1.0,contact,,,16.581327888682313
fixed_lti_rollout5_contact,-60.0,/Users/jackhilton-jones/Proper-Research/run_baseline_lti_rollout5_np5/bend_m60_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,6,True,0,0,-1,solved,42.0,42.0,0.6410045078492347,2.345482456361935,1.3876389848814004,0.9603076175744176,31.781889406047938,55.97139605192311,1838.7261939851205,6618.305579532659,7304601.110167977,14523901.303942824,3.0638615237310796,4.685750151670041,17.139331039726777,99.77400737753436,66.28780012835382,155.41949702483305,5.0,5.0,,,,,,,1.0,0.0,0.0,0.0,0.16666666666666666,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,lti,0,1,4,1.0,1.0,6.0,5.0,5.0,30.0,5.0,30.0,fixed_baseline,lti,5.0,contact,,,-4.835692545028152
fixed_ltv_rollout1_contact,-60.0,/Users/jackhilton-jones/Proper-Research/run_baseline_ltv_rollout1_np5/bend_m60_jac_contact_plant_contact_1_ltv_oneshot_rollout1_Np5_sqp5/log.csv,24,True,0,0,-1,solved,40.0,40.0,0.06704807421700208,0.3442116202006904,2.857572419434598,1.86329082063149,33.84687475630263,50.40918223531089,931.3086502340469,6467.19105854868,5141331.6217403775,8631602.454978546,1.0103396665079691,4.685785586108732,4.129256725287035,96.78872011294462,56.16276661139059,155.41949702483305,1.0,1.0,,,,,,,0.0,1.0,0.0,0.041666666666666664,0.875,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ltv_oneshot,6,11,0,1.0,1.0,24.0,5.0,5.0,120.0,5.0,120.0,fixed_baseline,ltv_oneshot,1.0,contact,,,16.394210903868743
fixed_ltv_rollout3_contact,-60.0,/Users/jackhilton-jones/Proper-Research/run_baseline_ltv_rollout3_np5/bend_m60_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np5_sqp5/log.csv,9,True,0,0,-1,solved,42.0,42.0,0.6868074538340735,2.569169520746438,1.5062733346496662,0.9722147928114692,33.51224454926627,53.292842065569495,2897.7378841421896,10522.250480730205,6946866.8357549505,13896302.53609216,2.650384347080728,4.686070235452507,11.257160821011432,96.78872011294462,71.8137305355675,155.41949702483305,3.0,3.0,,,,,,,0.0,1.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ltv_oneshot,0,2,5,1.0,1.0,9.0,5.0,5.0,45.0,5.0,45.0,fixed_baseline,ltv_oneshot,3.0,contact,,,-5.70346221340545
