k,status,infeasible,solver_mode,rollout_steps,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,rollout_steps_used,rollout_steps_next,rollout_adaptation_reason,adapt_pred_err_xy_mm,adapt_pred_err_xyz_mm,adapt_clearance_mm,adapt_tip_vessel_angle_deg,cond_H_beam,lambda_min_H_beam,lambda_max_H_beam,num_negative_H_beam,num_near_zero_H_beam,stationarity_norm,cond_H_mpc,lambda_min_H_mpc,lambda_max_H_mpc,num_negative_H_mpc,num_near_zero_H_mpc,valid_H_mpc,norm_H_mpc,norm_H_track,norm_H_effort,norm_H_smooth,qp_reg,sqp_status_0,sqp_du_0,sqp_du_rel_0,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL,u_plan_5_vx,u_plan_5_vy,u_plan_5_vz,u_plan_5_wx,u_plan_5_wy,u_plan_5_wz,u_plan_5_dL,u_plan_6_vx,u_plan_6_vy,u_plan_6_vz,u_plan_6_wx,u_plan_6_wy,u_plan_6_wz,u_plan_6_dL,u_plan_7_vx,u_plan_7_vy,u_plan_7_vz,u_plan_7_wx,u_plan_7_wy,u_plan_7_wz,u_plan_7_dL,u_plan_8_vx,u_plan_8_vy,u_plan_8_vz,u_plan_8_wx,u_plan_8_wy,u_plan_8_wz,u_plan_8_dL,u_plan_9_vx,u_plan_9_vy,u_plan_9_vz,u_plan_9_wx,u_plan_9_wy,u_plan_9_wz,u_plan_9_dL
0,solved,0,lti,10,18,18,18,27,-0.04997949865238617,0.025566284649641335,2.9416934996939604e-08,0.0,0.0,0.5870624123322202,0.09935142571526022,0.6617604270505555,-0.7004161333566711,-0.1,0.0004621511962194655,0.9812315274492004,-0.1928323193972953,0.0004153935968778662,0.02418459869688986,0.7739609223847078,-0.7106328050592626,-0.10000101471131852,-0.9990291432295004,-0.0440534196890831,0.00025921386469639885,5.991691305638808e-05,0.05991691305638808,5.991699019853264e-05,0.05991699019853264,1,6.314051931796667,99.83392684373948,,22,0.6916505868973498,0.002995355954404528,2.995355954404528,0.0010046440455954721,1.0046440455954722,51.84305297993952,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,10,1,"bad:prediction_error,tip_angle",2.3265628916897563,2.3265635718279505,1.0046440455954722,51.84305297993952,2.833622189107586,1.874178445170669e-09,5.4940758474935224e-09,0,0,6.25124373448905e-18,17104709.937788267,2.0009999999916957e-06,34.22652458537228,0,0,True,34.62917978344484,34.62900395942296,0.10954451223132997,3.8157568056677834e-07,1e-09,solved,6.314051931796667,99.83392684373948,-0.04997949865238617,0.025566284649641335,2.9416934996939604e-08,0.0,0.0,0.5870624123322202,0.09935142571526022,0.7801457952193784,-0.7099279334814346,-0.10000410775119838,nan,nan,nan,0.7801457833502227,-0.7098680165695538,-0.10000420389819151,nan,nan,nan,5.991691305638808e-05,0.05991691305638808,5.991699019853264e-05,0.05991699019853264,-0.04998220845370057,0.04999966240340549,2.9326205755492687e-08,0.0,0.0,2.094395086777842,0.048126864856814,0.7791833760752626,-0.7099894622438393,-0.10000378896968558,nan,nan,nan,0.779183213656699,-0.7096945352736722,-0.1000040929891772,nan,nan,nan,0.0002949270148896627,0.2949270148896627,0.0002949271715857639,0.29492717158576387,-0.04998712165655232,0.04999936620447449,2.9158604801539022e-08,0.0,0.0,2.094395076884491,0.04564319105843792,0.7782709444954836,-0.7100618295320744,-0.10000345078811144,nan,nan,nan,0.7782703174456946,-0.7095210583631484,-0.10000398607261048,nan,nan,nan,0.0005407715324728812,0.5407715324728812,0.0005407717973993866,0.5407717973993866,-0.015029146939766454,0.049999109908059725,2.8937209171602122e-08,0.0,0.0,2.094395066552973,0.0419599652673999,0.7774325704099645,-0.7101431183624665,-0.1000030399775316,nan,nan,nan,0.777431085738786,-0.709347538807294,-0.10000383617928309,nan,nan,nan,0.0007955809404812289,0.7955809404812288,0.0007955813388926526,0.7955813388926526,0.022830872159159087,0.04999882692878674,2.9154615112322586e-08,0.0,0.0,2.094395055151243,0.03740204780163712,0.7766857905132385,-0.7102307238620957,-0.10000255807560961,nan,nan,nan,0.7766830123690591,-0.7091739759558459,-0.10000364262390221,nan,nan,nan,0.0010567515580535386,1.0567515580535385,0.0010567521145914873,1.0567521145914873,-0.04997949865238617,0.025566284649641335,2.9416934996939604e-08,0.0,0.0,0.5870624123322202,0.09935142571526022,-0.04998220845370057,0.04999966240340549,2.9326205755492687e-08,0.0,0.0,2.094395086777842,0.048126864856814,-0.04998712165655232,0.04999936620447449,2.9158604801539022e-08,0.0,0.0,2.094395076884491,0.04564319105843792,-0.015029146939766454,0.049999109908059725,2.8937209171602122e-08,0.0,0.0,2.094395066552973,0.0419599652673999,0.022830872159159087,0.04999882692878674,2.9154615112322586e-08,0.0,0.0,2.094395055151243,0.03740204780163712,0.03784189026412237,0.049998730853869695,2.799408501636062e-08,0.0,0.0,2.0943950512795375,0.032575798746449315,0.03801130324873976,0.04999884727193301,2.4875032845677367e-08,0.0,0.0,2.0943950559672744,0.028380499381386665,0.028862073340977852,0.04999911448198377,1.994052284249422e-08,0.0,0.0,2.0943950667292213,0.025722795605861323,0.015398738063772713,0.04999944225876175,1.3721705997533454e-08,0.0,0.0,2.094395081321275,0.02503830849992828,0.0034133500057539046,0.04999978181553758,6.883766244731174e-09,0.0,0.0,2.0943944506474446,0.025029037911318133
1,solved,0,lti,10,25,25,25,34,0.05341335000575391,0.09999978181553759,1.888401872946592e-06,0.0,0.0,4.18878955304064,0.06881612237843457,0.6595178737958044,-0.680416176993564,-0.1,0.00025324036588472384,0.8179676720213308,-0.5752638537162198,0.0005674547432005353,0.03117423309995936,0.7686285990062598,-0.7019248647347599,-0.10001864935737027,-0.8695626950954004,0.49382234925718244,-0.00045461251752641454,0.00025345752514017804,0.25345752514017805,0.00025345753178034725,0.25345753178034724,1,6.625636547524679,1.0000318665800452,,32,0.35514332814798594,0.0030485725145966715,3.0485725145966716,0.0009514274854033286,0.9514274854033286,30.371393476716236,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,10,1,bad:low_clearance,1.0107177206239213,1.0107881233864846,0.9514274854033286,30.371393476716236,82.3801577491204,2.8304104674872666e-09,2.4130767658127485e-07,0,0,3.689396311978089e-14,40755382.530890524,2.000999999992505e-06,81.55152044400648,0,0,True,82.50986865877749,82.50979339179817,0.10954451223132997,3.8157568056677834e-07,1e-09,solved,6.625636547524679,1.0000318665800452,0.05341335000575391,0.09999978181553759,1.888401872946592e-06,0.0,0.0,4.18878955304064,0.06881612237843457,0.7726061580571837,-0.7087301505655341,-0.10000897047834992,nan,nan,nan,0.7725347503118378,-0.7089733411306365,-0.10000891246109603,nan,nan,nan,0.00025345752514017804,0.25345752514017805,0.00025345753178034725,0.25345753178034724,-0.011715301615732629,0.09999978181553759,1.8884016704074657e-06,0.0,0.0,4.18878955304064,0.02852527759081564,0.772099447091664,-0.7078841538872421,-0.10001075958667617,nan,nan,nan,0.7719697591093392,-0.7081673042152133,-0.10000953958335822,nan,nan,nan,0.0003114371220482399,0.3114371220482399,0.00031143951161948945,0.31143951161948946,-0.020283815903447376,0.09999978181553759,1.6858621283838307e-06,0.0,0.0,4.18878955304064,0.02785491411692934,0.7716311027919766,-0.7070838039049513,-0.1000120290891021,nan,nan,nan,0.7714453153628891,-0.707323445789691,-0.10000959324298203,nan,nan,nan,0.00030322467203135564,0.3032246720313556,0.0003032344556194824,0.3032344556194824,-0.019677748179045957,0.09999978181553759,1.4482680868599077e-06,0.0,0.0,4.18878955304064,0.028684712876843012,0.7711706051218155,-0.7062943904647349,-0.10001309726110799,nan,nan,nan,0.770927879929868,-0.7064731793088157,-0.100009125071327,nan,nan,nan,0.0003014647070117744,0.3014647070117744,0.0003014908752605146,0.3014908752605146,-0.019375840844380814,0.09999978181553759,1.2004530501645825e-06,0.0,0.0,4.18878955304064,0.029685694277275215,0.7707251054286479,-0.7055366261249221,-0.10001451812325779,nan,nan,nan,0.7704100465391032,-0.7056232769203978,-0.10000845503805264,nan,nan,nan,0.0003267575006602811,0.3267575006602811,0.0003268137470180202,0.32681374701802024,0.05341335000575391,0.09999978181553759,1.888401872946592e-06,0.0,0.0,4.18878955304064,0.06881612237843457,-0.011715301615732629,0.09999978181553759,1.8884016704074657e-06,0.0,0.0,4.18878955304064,0.02852527759081564,-0.020283815903447376,0.09999978181553759,1.6858621283838307e-06,0.0,0.0,4.18878955304064,0.02785491411692934,-0.019677748179045957,0.09999978181553759,1.4482680868599077e-06,0.0,0.0,4.18878955304064,0.028684712876843012,-0.019375840844380814,0.09999978181553759,1.2004530501645825e-06,0.0,0.0,4.18878955304064,0.029685694277275215,-0.0192172362399099,0.09999978181553759,9.564927379377877e-07,0.0,0.0,4.18878955304064,0.03069666011598861,-0.019195880044553183,0.09999978181553759,7.244838240967807e-07,0.0,0.0,4.18878955304064,0.03214219308020653,-0.019005997007282435,0.09999978181553759,5.043453236566576e-07,0.0,0.0,4.18878955304064,0.033339097130870916,-0.018657356745787862,0.09999978181553759,3.0446971707050507e-07,0.0,0.0,4.18878955304064,0.034214050469330945,-0.01841183616316395,0.09999978181553759,1.347713248026585e-07,0.0,0.0,4.18878955304064,0.03552299811678041
2,solved,0,lti,10,34,34,34,43,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.07260274067894677,0.6458355065631719,-0.650416220630457,-0.1,0.00012972602078470142,0.6804890831301915,-0.7327579556750392,0.0006077061197861852,0.04080574276439062,0.7634912415132079,-0.6929900433708468,-0.10002573373829819,-0.649014407466389,0.7607759633313288,-0.0004822015558164097,1.3944436355426656e-05,0.013944436355426656,1.395180410103577e-05,0.01395180410103577,1,6.627007665920487,0.5001328807522083,,42,0.6615930184631554,0.0030236823511024763,3.0236823511024764,0.0009763176488975238,0.9763176488975238,10.43086573946238,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,10,1,bad:low_clearance,0.33721108600400307,0.33723654596290475,0.9763176488975238,10.43086573946238,2372.5370511011292,2.9222869749148547e-09,7.170387827045858e-06,0,0,1.7594107504971572e-11,22008010.05700996,2.001000000006578e-06,44.038028124221704,0,0,True,44.5556342233875,44.55549701151815,0.10954451223132997,3.8157568056677834e-07,1e-09,solved,6.627007665920487,0.5001328807522083,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.07260274067894677,0.767814974945556,-0.7005129797114692,-0.10001977433736198,nan,nan,nan,0.7678076686712322,-0.7005011026048865,-0.10002022769417855,nan,nan,nan,1.3944436355426656e-05,0.013944436355426656,1.395180410103577e-05,0.01395180410103577,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.044745487239193575,0.7673130357985315,-0.6996393467493158,-0.10002045960902471,nan,nan,nan,0.7673096047121384,-0.6996339555633431,-0.10002118260816253,nan,nan,nan,6.390402180604374e-06,0.006390402180604374,6.431171571585188e-06,0.0064311715715851875,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.04435958588690791,0.7668069148923885,-0.6987581978740764,-0.10002113985126151,nan,nan,nan,0.7668119461193755,-0.698766574620978,-0.10002213090047826,nan,nan,nan,9.771547147100974e-06,0.009771547147100974,9.821675630870379e-06,0.009821675630870379,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.044076879999678936,0.7662902374443501,-0.6978586064621165,-0.1000218115635207,nan,nan,nan,0.7663145676068527,-0.6978990315730768,-0.10002308953326254,nan,nan,nan,4.718205594874801e-05,0.04718205594874801,4.719936027333249e-05,0.04719936027333249,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.04350566797348244,0.7657807880288156,-0.696970249840236,-0.10002242231010057,nan,nan,nan,0.7658174078342547,-0.6970313619147595,-0.10002406421157092,nan,nan,nan,7.124391765585813e-05,0.07124391765585814,7.126283493794674e-05,0.07126283493794675,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.07260274067894677,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.044745487239193575,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.04435958588690791,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.044076879999678936,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.04350566797348244,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.042801976596707834,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.04259452556762589,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.047724339664417845,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.04945103307430526,-0.06841183616316396,0.14999978181553758,0.0,0.0,0.0,2.0943944506474446,0.04971324654029661
3,solved,0,lti,10,45,45,45,45,-0.11841187106550514,0.19999979974061532,4.798739285241644e-10,0.0,0.0,-6.516080522789084e-07,0.10000000002910048,0.6221531351353359,-0.6104162614326917,-0.1,0.00010174012136354389,0.646193733045646,-0.763173160715813,0.0006130126558229817,0.04985829318823056,0.7624377094788557,-0.687844354341243,-0.10045812414001824,-0.4228596252323877,0.905661216018386,-0.031104648341089915,8.84156710091396e-05,0.0884156710091396,8.841580872982e-05,0.08841580872982,1,5.342228459468334,0.8038982034019252,,44,1.0,0.0014257439505332373,1.4257439505332374,0.0025742560494667627,2.574256049466763,5.303108670615867,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,10,1,bad:prediction_error,2.6928606779076367,2.871488569176403,2.574256049466763,5.303108670615867,9471.870507760294,3.2807833959353103e-09,3.202224254108531e-05,0,0,1.8545739406673234e-11,16496673.441148244,2.0009999997918454e-06,33.00984355230378,0,0,True,33.3979074413789,33.39772524019411,0.10954451223132997,3.8157568056677834e-07,1e-09,solved,5.342228459468334,0.8038982034019252,-0.11841187106550514,0.19999979974061532,4.798739285241644e-10,0.0,0.0,-6.516080522789084e-07,0.10000000002910048,0.7624501231241295,-0.6911850342127263,-0.10002697296842043,nan,nan,nan,0.7624951691741344,-0.6912611143300957,-0.10002712902402497,nan,nan,nan,8.84156710091396e-05,0.0884156710091396,8.841580872982e-05,0.08841580872982,-0.11841187018260796,0.19999979940458099,4.803510364867203e-10,0.0,0.0,-6.516083117682716e-07,0.01390501229352003,0.7623043362499295,-0.6909299992791498,-0.10002708209689032,nan,nan,nan,0.7623256021128881,-0.6909642300088721,-0.10002763062120419,nan,nan,nan,4.0298632541253343e-05,0.04029863254125334,4.030236548414835e-05,0.04030236548414835,-0.11841186151993317,0.19999980392075237,4.806095039779395e-10,0.0,0.0,-6.536598770056508e-07,-0.004999727473465347,0.7623576021106425,-0.691020493562097,-0.10002708914367461,nan,nan,nan,0.7624210167205401,-0.6909156311877144,-0.10002803854528598,nan,nan,nan,0.00012254603343083806,0.12254603343083806,0.00012254971102802222,0.12254971102802222,-0.11841185266002277,0.19999980757656916,4.813456075615312e-10,0.0,0.0,0.0412339730206379,-0.004999357281261062,0.7624121587846284,-0.6911128100379824,-0.10002731522543962,nan,nan,nan,0.7629014951139322,-0.6906130263794162,-0.09998948724069369,nan,nan,nan,0.0006994524633928481,0.6994524633928481,0.0007004746283601295,0.7004746283601295,-0.11841186291233327,0.199999796347885,4.800074722211932e-10,0.0,0.0,0.3289241969791887,0.047741736875332695,0.7619996645346668,-0.6901432388986402,-0.10002801570897754,nan,nan,nan,0.7629228978734924,-0.6906159099096023,-0.10002880960287269,nan,nan,nan,0.0010371970316786754,1.0371970316786754,0.0010371973355107367,1.0371973355107367,-0.11841187106550514,0.19999979974061532,4.798739285241644e-10,0.0,0.0,-6.516080522789084e-07,0.10000000002910048,-0.11841187018260796,0.19999979940458099,4.803510364867203e-10,0.0,0.0,-6.516083117682716e-07,0.01390501229352003,-0.11841186151993317,0.19999980392075237,4.806095039779395e-10,0.0,0.0,-6.536598770056508e-07,-0.004999727473465347,-0.11841185266002277,0.19999980757656916,4.813456075615312e-10,0.0,0.0,0.0412339730206379,-0.004999357281261062,-0.11841186291233327,0.199999796347885,4.800074722211932e-10,0.0,0.0,0.3289241969791887,0.047741736875332695,-0.11841185960746793,0.19999979472645357,4.826716164059459e-10,0.0,0.0,0.5638101953835863,0.035404300786855115,-0.11841185583571176,0.19999979278289146,4.836583845871945e-10,0.0,0.0,0.7453652511386873,0.03312556993104347,-0.11841185158223591,0.1999997905272836,4.91412348229049e-10,0.0,0.0,0.8694416979953267,0.07597524351943907,-0.11841184434023819,0.1999997898612803,3.270370971534067e-10,0.0,0.0,0.9804372565769875,0.10000036867500214,-0.11841184168574882,0.19999978499996207,6.122937439115203e-11,0.0,0.0,1.0551373105212005,0.05647437383643076
