step,t_s,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,converged
1,12.2077,0.525575,-0.670416,0.014154,0.525575,-0.680316,0.009065,11.131,-0.703615,-1.974171,-1.746939,-1.008911,1.564743,-1.836430,0.040000,0
2,12.3077,0.525575,-0.670346,0.014114,0.525575,-0.680316,0.009065,11.175,-0.703592,-1.974202,-1.746916,-1.008911,1.564752,-1.836433,0.040000,0
